   287.000000       1.33299994    
          37          37
   1.25000000       20.0000000    
   1.25000000       20.0000000    
           4           3
          25          70          15
   IIN     XIN       REL SPACING 
  149       0.02401   0.06266
  150       0.02295   0.06142
  151       0.02192   0.06016
  152       0.02091   0.05887
  153       0.01992   0.05757
  154       0.01895   0.05626
  155       0.01802   0.05492
  156       0.01710   0.05357
  157       0.01619   0.05221
  158       0.01530   0.05084
  159       0.01442   0.04946
  160       0.01356   0.04807
  161       0.01271   0.04667
  162       0.01188   0.04526
  COORDINATES GOING ROUND THE BLADE AFTER ANY ROTATION
     N        XSURF        YSURF 
         1     0.01106     0.04384
         2     0.00618     0.03289
         3     0.00272     0.02194
         4     0.00065     0.01097
         5     0.00000     0.00000
         6     0.00013    -0.00408
         7     0.00048    -0.00816
         8     0.00099    -0.01225
         9     0.00155    -0.01633
        10     0.00216    -0.02041
        11     0.00288    -0.02450
        12     0.00376    -0.02858
        13     0.00478    -0.03267
        14     0.00585    -0.03676
        15     0.00690    -0.04084
        16     0.00801    -0.04493
        17     0.00921    -0.04902
        18     0.01050    -0.05310
        19     0.03816    -0.10676
        20     0.06583    -0.13797
        21     0.09350    -0.15843
        22     0.12116    -0.17187
        23     0.14067    -0.17841
        24     0.16093    -0.18211
        25     0.17969    -0.18389
        26     0.19920    -0.18392
        27     0.21871    -0.18218
        28     0.23822    -0.17890
        29     0.25773    -0.17410
        30     0.27724    -0.16785
        31     0.29674    -0.16011
        32     0.31625    -0.15090
        33     0.33576    -0.14011
        34     0.35527    -0.12770
        35     0.37478    -0.11359
        36     0.39429    -0.09762
        37     0.41380    -0.07976
        38     0.43331    -0.05979
        39     0.45282    -0.03769
        40     0.47233    -0.01331
        41     0.49184     0.01346
        42     0.51134     0.04261
        43     0.53085     0.07425
        44     0.55036     0.10833
        45     0.56987     0.14488
        46     0.58938     0.18385
        47     0.60889     0.22520
        48     0.62840     0.26886
        49     0.64791     0.31474
        50     0.66742     0.36280
        51     0.68693     0.41303
        52     0.70644     0.46539
        53     0.72594     0.51986
        54     0.74545     0.57639
        55     0.76496     0.63491
        56     0.78447     0.69525
        57     0.80398     0.75717
        58     0.82349     0.82036
        59     0.84300     0.88454
        60     0.86251     0.94944
        61     0.88202     1.01486
        62     0.90153     1.08073
        63     0.92103     1.14717
        64     0.94054     1.21464
        65     0.96005     1.28362
        66     0.96665     1.30724
        67     0.97324     1.33105
        68     0.97983     1.35522
        69     0.98642     1.37994
        70     0.99302     1.40554
        71     0.99961     1.43235
        72     0.99992     1.43417
        73     1.00000     1.43602
        74     0.99984     1.43786
        75     0.99944     1.43966
        76     0.99880     1.44140
        77     0.99795     1.44304
        78     0.99690     1.44455
        79     0.99565     1.44592
        80     0.99424     1.44712
        81     0.99269     1.44812
        82     0.99102     1.44891
        83     0.98926     1.44948
        84     0.98743     1.44982
        85     0.98558     1.44992
        86     0.98374     1.44979
        87     0.98192     1.44941
        88     0.98017     1.44881
        89     0.97851     1.44798
        90     0.97697     1.44695
        91     0.97558     1.44572
        92     0.97435     1.44433
        93     0.97332     1.44279
        94     0.97111     1.43591
        95     0.96890     1.43161
        96     0.96669     1.42709
        97     0.96447     1.42229
        98     0.96226     1.41746
        99     0.96005     1.41255
       100     0.94054     1.37070
       101     0.92103     1.33011
       102     0.90153     1.28987
       103     0.88202     1.25029
       104     0.86251     1.21146
       105     0.84300     1.17336
       106     0.82349     1.13603
       107     0.80398     1.09951
       108     0.78447     1.06380
       109     0.76496     1.02891
       110     0.74545     0.99479
       111     0.72594     0.96141
       112     0.70644     0.92874
       113     0.68693     0.89675
       114     0.66742     0.86538
       115     0.64791     0.83461
       116     0.62840     0.80440
       117     0.60889     0.77469
       118     0.58938     0.74549
       119     0.56987     0.71672
       120     0.55036     0.68836
       121     0.53085     0.66039
       122     0.51134     0.63277
       123     0.49184     0.60553
       124     0.47233     0.57865
       125     0.45282     0.55219
       126     0.43331     0.52615
       127     0.41380     0.50058
       128     0.39429     0.47549
       129     0.37478     0.45083
       130     0.35527     0.42665
       131     0.33576     0.40279
       132     0.31625     0.37927
       133     0.29674     0.35592
       134     0.27724     0.33272
       135     0.25773     0.30959
       136     0.23822     0.28656
       137     0.21871     0.26362
       138     0.19920     0.24101
       139     0.17969     0.21874
       140     0.16018     0.19716
       141     0.14067     0.17632
       142     0.12116     0.15625
       143     0.09772     0.13318
       144     0.07428     0.11078
       145     0.05084     0.08867
       146     0.02739     0.06626
       147     0.02624     0.06508
       148     0.02511     0.06388
       149     0.02401     0.06266
       150     0.02295     0.06142
       151     0.02192     0.06016
       152     0.02091     0.05887
       153     0.01992     0.05757
       154     0.01895     0.05626
       155     0.01802     0.05492
       156     0.01710     0.05357
       157     0.01619     0.05221
       158     0.01530     0.05084
       159     0.01442     0.04946
       160     0.01356     0.04807
       161     0.01271     0.04667
       162     0.01188     0.04526
  LEADING EDGE POINT =            5  TE POINT =          73

  NO OF SUCT S POINTS          69  NO PRESS S POINTS          95
  XMIN,XMAX, XCHORD     0.00000000       1.00000000       1.00000000    

   SUCTION SURFACE POINTS FROM LE TO TE.
         1     0.00000     0.00000
         2     0.00013    -0.00408
         3     0.00048    -0.00816
         4     0.00099    -0.01225
         5     0.00155    -0.01633
         6     0.00216    -0.02041
         7     0.00288    -0.02450
         8     0.00376    -0.02858
         9     0.00478    -0.03267
        10     0.00585    -0.03676
        11     0.00690    -0.04084
        12     0.00801    -0.04493
        13     0.00921    -0.04902
        14     0.01050    -0.05310
        15     0.03816    -0.10676
        16     0.06583    -0.13797
        17     0.09350    -0.15843
        18     0.12116    -0.17187
        19     0.14067    -0.17841
        20     0.16093    -0.18211
        21     0.17969    -0.18389
        22     0.19920    -0.18392
        23     0.21871    -0.18218
        24     0.23822    -0.17890
        25     0.25773    -0.17410
        26     0.27724    -0.16785
        27     0.29674    -0.16011
        28     0.31625    -0.15090
        29     0.33576    -0.14011
        30     0.35527    -0.12770
        31     0.37478    -0.11359
        32     0.39429    -0.09762
        33     0.41380    -0.07976
        34     0.43331    -0.05979
        35     0.45282    -0.03769
        36     0.47233    -0.01331
        37     0.49184     0.01346
        38     0.51134     0.04261
        39     0.53085     0.07425
        40     0.55036     0.10833
        41     0.56987     0.14488
        42     0.58938     0.18385
        43     0.60889     0.22520
        44     0.62840     0.26886
        45     0.64791     0.31474
        46     0.66742     0.36280
        47     0.68693     0.41303
        48     0.70644     0.46539
        49     0.72594     0.51986
        50     0.74545     0.57639
        51     0.76496     0.63491
        52     0.78447     0.69525
        53     0.80398     0.75717
        54     0.82349     0.82036
        55     0.84300     0.88454
        56     0.86251     0.94944
        57     0.88202     1.01486
        58     0.90153     1.08073
        59     0.92103     1.14717
        60     0.94054     1.21464
        61     0.96005     1.28362
        62     0.96665     1.30724
        63     0.97324     1.33105
        64     0.97983     1.35522
        65     0.98642     1.37994
        66     0.99302     1.40554
        67     0.99961     1.43235
        68     0.99992     1.43417
        69     1.00000     1.43602

   PRESSURE SURFACE POINTS FROM LE TO TE.
         1     0.00000     0.00000
         2     0.00065     0.01097
         3     0.00272     0.02194
         4     0.00618     0.03289
         5     0.01106     0.04384
         6     0.01188     0.04526
         7     0.01271     0.04667
         8     0.01356     0.04807
         9     0.01442     0.04946
        10     0.01530     0.05084
        11     0.01619     0.05221
        12     0.01710     0.05357
        13     0.01802     0.05492
        14     0.01895     0.05626
        15     0.01992     0.05757
        16     0.02091     0.05887
        17     0.02192     0.06016
        18     0.02295     0.06142
        19     0.02401     0.06266
        20     0.02511     0.06388
        21     0.02624     0.06508
        22     0.02739     0.06626
        23     0.05084     0.08867
        24     0.07428     0.11078
        25     0.09772     0.13318
        26     0.12116     0.15625
        27     0.14067     0.17632
        28     0.16018     0.19716
        29     0.17969     0.21874
        30     0.19920     0.24101
        31     0.21871     0.26362
        32     0.23822     0.28656
        33     0.25773     0.30959
        34     0.27724     0.33272
        35     0.29674     0.35592
        36     0.31625     0.37927
        37     0.33576     0.40279
        38     0.35527     0.42665
        39     0.37478     0.45083
        40     0.39429     0.47549
        41     0.41380     0.50058
        42     0.43331     0.52615
        43     0.45282     0.55219
        44     0.47233     0.57865
        45     0.49184     0.60553
        46     0.51134     0.63277
        47     0.53085     0.66039
        48     0.55036     0.68836
        49     0.56987     0.71672
        50     0.58938     0.74549
        51     0.60889     0.77469
        52     0.62840     0.80440
        53     0.64791     0.83461
        54     0.66742     0.86538
        55     0.68693     0.89675
        56     0.70644     0.92874
        57     0.72594     0.96141
        58     0.74545     0.99479
        59     0.76496     1.02891
        60     0.78447     1.06380
        61     0.80398     1.09951
        62     0.82349     1.13603
        63     0.84300     1.17336
        64     0.86251     1.21146
        65     0.88202     1.25029
        66     0.90153     1.28987
        67     0.92103     1.33011
        68     0.94054     1.37070
        69     0.96005     1.41255
        70     0.96226     1.41746
        71     0.96447     1.42229
        72     0.96669     1.42709
        73     0.96890     1.43161
        74     0.97111     1.43591
        75     0.97332     1.44279
        76     0.97435     1.44433
        77     0.97558     1.44572
        78     0.97697     1.44695
        79     0.97851     1.44798
        80     0.98017     1.44881
        81     0.98192     1.44941
        82     0.98374     1.44979
        83     0.98558     1.44992
        84     0.98743     1.44982
        85     0.98926     1.44948
        86     0.99102     1.44891
        87     0.99269     1.44812
        88     0.99424     1.44712
        89     0.99565     1.44592
        90     0.99690     1.44455
        91     0.99795     1.44304
        92     0.99880     1.44140
        93     0.99944     1.43966
        94     0.99984     1.43786
        95     1.00000     1.43602
  POINTS ON THE BLADE TO BE USED FOR PLOTTING 
  AND FINAL INTERPOLATION 
  N           X          YUP        YLOW        THICK 
    1      0.0000      0.0000      0.0000      0.0000
    2      0.0001     -0.0019      0.0010      0.0030
    3      0.0002     -0.0055      0.0042      0.0097
    4      0.0006     -0.0088      0.0094      0.0183
    5      0.0010     -0.0123      0.0128      0.0251
    6      0.0016     -0.0163      0.0158      0.0321
    7      0.0022     -0.0209      0.0194      0.0403
    8      0.0030     -0.0253      0.0230      0.0483
    9      0.0040     -0.0295      0.0259      0.0554
   10      0.0050     -0.0336      0.0293      0.0629
   11      0.0062     -0.0382      0.0330      0.0712
   12      0.0075     -0.0431      0.0359      0.0790
   13      0.0089     -0.0481      0.0391      0.0872
   14      0.0105     -0.0531      0.0426      0.0957
   15      0.0122     -0.0563      0.0457      0.1021
   16      0.0140     -0.0598      0.0487      0.1085
   17      0.0159     -0.0635      0.0517      0.1152
   18      0.0179     -0.0675      0.0547      0.1222
   19      0.0201     -0.0716      0.0578      0.1294
   20      0.0223     -0.0760      0.0607      0.1367
   21      0.0247     -0.0807      0.0634      0.1441
   22      0.0272     -0.0856      0.0661      0.1516
   23      0.0299     -0.0906      0.0686      0.1593
   24      0.0326     -0.0960      0.0712      0.1672
   25      0.0355     -0.1015      0.0740      0.1755
   26      0.0384     -0.1071      0.0768      0.1839
   27      0.0415     -0.1106      0.0798      0.1903
   28      0.0447     -0.1142      0.0828      0.1970
   29      0.0481     -0.1179      0.0860      0.2039
   30      0.0515     -0.1218      0.0893      0.2111
