
OVERALL TURBINE PERFORMANCE
============================================================
Blade-jet speed ratio     0.3965
Pitchline loading         2.7095
Total-Total PR            5.0254
Total-Static PR           5.5853
Energy Extraction           342.3555
Corrected Speed           32.5766
Flow function           0.9440

STAGE PERFORMANCE
====================================================================================================
Stage  Location     Alpha1    Alpha2     Beta2     Beta3    Alpha3      Phi       Psi    Reaction
    1       Hub      -2.16      78.08      68.85     -76.18     -40.91    0.3342    1.8800      0.3418
    1      Mean      -3.64      72.54      51.08     -64.35     -17.73    0.6975    1.5787      0.4161
    1       Tip      -5.18      80.09       2.60     -48.52      17.92    0.4902    0.9765      0.4588
    2       Hub     -61.68      73.68       1.93     -67.83     -14.29    0.4516    1.5441      0.3751
    2      Mean     -27.21      64.63      -6.62     -59.55       3.49    0.7023    1.1870      0.4236
    2       Tip      16.84      70.75     -48.49     -54.33      17.74    0.6426    0.8712      0.4865


Span station K = 19

  J       %dVm        Vx(m/s)      Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)    Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density(kg/m3)     mdot(kg/s)
  39     36.923       77.211          -8.441        0.825       335929.1          704.6    0.6150    0.1707      709.09       77.239      -76.607       -0.510     1.66113    12.16769
  40     42.374       80.286          -6.429        0.811       335398.2          704.3    0.6132    0.1749      709.06       80.315      -76.079       -0.561     1.65910    12.17221
  41     45.944       82.300          -4.511        0.794       335081.3          704.1    0.6111    0.1780      709.05       82.329      -75.695       -0.594     1.65794    12.17068
  42     50.982       85.141          -3.372        0.787       334546.8          703.8    0.6111    0.1836      709.08       85.170      -75.227       -0.629     1.65598    12.17550
  43     57.772       88.971          -0.870        0.752       333713.0          703.4    0.6094    0.1898      709.09       89.000      -74.571       -0.692     1.65271    12.17435
  44     61.440       91.041           2.165        0.691       333268.3          703.2    0.6056    0.1927      708.99       91.070      -74.102       -0.740     1.65105    12.17861
  45     66.208       93.730           3.821        0.665       332971.6          702.9    0.6049    0.1981      709.09       93.760      -73.624       -0.786     1.65018    12.17701
  46     72.922       97.518           6.690        0.611       331791.2          702.3    0.6033    0.2050      709.00       97.547      -72.933       -0.851     1.64557    12.17988
  47     77.603      100.158          10.345        0.522       331258.8          702.1    0.5993    0.2096      709.02      100.187      -72.322       -0.906     1.64351    12.18156
  48     83.261      103.350          13.772        0.438       330587.3          701.7    0.5964    0.2158      709.10      103.379      -71.644       -0.972     1.64095    12.18291
  49     87.895      105.964          17.942        0.326       329710.5          701.4    0.5918    0.2211      709.10      105.993      -70.971       -1.036     1.63730    12.18495
  50     92.596      108.615          21.769        0.221       329179.1          701.2    0.5878    0.2269      709.32      108.645      -70.298       -1.098     1.63503    12.18751
  51     98.087      111.712          26.263        0.093       328046.9          700.6    0.5837    0.2339      709.27      111.743      -69.504       -1.174     1.63056    12.18743
  52    102.435      114.164          31.130       -0.054       327307.0          700.2    0.5782    0.2400      709.25      114.196      -68.725       -1.241     1.62783    12.19154
  53    107.742      117.156          36.026       -0.201       326275.7          699.6    0.5736    0.2476      709.19      117.189      -67.860       -1.309     1.62403    12.19163
  54    112.800      120.008          41.855       -0.376       325086.9          698.9    0.5675    0.2556      709.06      120.042      -66.890       -1.371     1.61964    12.19684
  55    117.455      122.633          47.935       -0.562       323989.8          698.2    0.5610    0.2638      708.98      122.668      -65.886       -1.435     1.61563    12.19777
  56    122.383      125.411          54.518       -0.764       322645.5          697.4    0.5540    0.2730      708.90      125.448      -64.767       -1.502     1.61056    12.20196
  57    127.372      128.224          61.823       -0.983       321149.8          696.6    0.5464    0.2833      708.92      128.263      -63.518       -1.566     1.60473    12.20279
  58    132.415      131.067          69.909       -1.219       319400.3          695.8    0.5380    0.2947      708.96      131.107      -62.112       -1.628     1.59780    12.20736
  59    137.192      133.760          78.843       -1.474       317442.5          694.8    0.5286    0.3073      709.00      133.802      -60.551       -1.690     1.59003    12.20950
  60    141.863      136.392          88.617       -1.740       315232.3          693.7    0.5184    0.3213      709.07      136.437      -58.796       -1.745     1.58122    12.21544
  61    146.058      138.756          99.285       -2.017       312681.5          692.3    0.5073    0.3366      709.09      138.804      -56.845       -1.803     1.57102    12.21791
  62    150.024      140.989         110.704       -2.296       309905.2          690.9    0.4956    0.3533      709.16      141.041      -54.674       -1.860     1.55996    12.22396
  63    153.168      142.758         122.958       -2.572       306700.3          689.2    0.4831    0.3714      709.12      142.814      -52.278       -1.919     1.54717    12.22513
  64    155.605      144.128         135.745       -2.832       303291.0          687.3    0.4702    0.3904      709.08      144.189      -49.663       -1.973     1.53360    12.23230
  65    157.316      145.088         149.035       -3.061       299640.1          685.4    0.4570    0.4105      709.09      145.154      -46.826       -2.023     1.51896    12.23444
  66    157.775      145.341         162.825       -3.247       295535.0          683.2    0.4430    0.4314      708.96      145.413      -43.744       -2.055     1.50237    12.24123
  67    157.769      145.332         176.479       -3.380       291476.2          681.0    0.4295    0.4526      708.95      145.410      -40.514       -2.073     1.48593    12.24528
  68    157.363      145.098         190.254       -3.457       287099.8          678.7    0.4165    0.4746      708.89      145.181      -37.077       -2.075     1.46811    12.25006
  69    156.745      144.744         204.302       -3.474       282428.9          676.2    0.4042    0.4977      708.87      144.832      -33.390       -2.054     1.44896    12.25335
  70    156.083      144.364         218.580       -3.434       277366.8          673.5    0.3930    0.5219      708.83      144.459      -29.471       -2.011     1.42810    12.25695
  71    155.511      144.034         233.068       -3.349       272013.5          670.6    0.3831    0.5472      708.81      144.136      -25.342       -1.946     1.40595    12.26000
  72    155.360      143.942         247.749       -3.236       266313.4          667.5    0.3748    0.5737      708.79      144.051      -21.017       -1.864     1.38228    12.26171
  73    155.699      144.125         262.621       -3.110       260280.0          664.2    0.3686    0.6014      708.78      144.242      -16.517       -1.771     1.35716    12.26335
