
OVERALL TURBINE PERFORMANCE
============================================================
Blade-jet speed ratio     0.3965
Pitchline loading         2.7095
Total-Total PR            5.0254
Total-Static PR           5.5853
Energy Extraction           342.3555
Corrected Speed           32.5766
Flow function           0.9440

STAGE PERFORMANCE
====================================================================================================
Stage  Location     Alpha1    Alpha2     Beta2     Beta3    Alpha3      Phi       Psi    Reaction
    1       Hub      -2.16      78.08      68.85     -76.18     -40.91    0.3342    1.8800      0.3418
    1      Mean      -3.64      72.54      51.08     -64.35     -17.73    0.6975    1.5787      0.4161
    1       Tip      -5.18      80.09       2.60     -48.52      17.92    0.4902    0.9765      0.4588
    2       Hub     -61.68      73.68       1.93     -67.83     -14.29    0.4516    1.5441      0.3751
    2      Mean     -27.21      64.63      -6.62     -59.55       3.49    0.7023    1.1870      0.4236
    2       Tip      16.84      70.75     -48.49     -54.33      17.74    0.6426    0.8712      0.4865


Span station K = 1

  J       %dVm        Vx(m/s)      Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)    Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density(kg/m3)     mdot(kg/s)
--------------------------------------------------------------------------------------------------------------------------------------------
   1      6.403       60.023           0.000       -0.032       341688.4          707.4    0.5397    0.1154      709.00       60.023      -77.656       -0.030     1.68293     0.00000
   2     -9.298       51.144           0.062       -1.509       342447.9          708.0    0.5359    0.0983      709.11       51.166      -79.430       -1.688     1.68539     0.00000
   3    -12.902       49.132          -0.253       -0.349       342206.1          707.9    0.5358    0.0945      708.98       49.133      -79.850       -0.407     1.68431     0.00000
   4    -17.091       46.763          -0.571       -0.793       342315.9          708.0    0.5355    0.0900      708.99       46.770      -80.339       -0.971     1.68460     0.00000
   5    -20.603       44.788          -0.977       -0.270       342435.4          708.1    0.5356    0.0863      709.00       44.788      -80.753       -0.345     1.68497     0.00000
   6    -23.978       42.884          -1.516       -0.245       342426.7          708.1    0.5361    0.0829      708.96       42.885      -81.155       -0.327     1.68488     0.00000
   7    -27.103       41.122          -2.171       -0.026       342567.4          708.2    0.5368    0.0798      708.99       41.122      -81.532       -0.036     1.68537     0.00000
   8    -29.925       39.530          -2.886        0.147       342571.6          708.2    0.5378    0.0771      708.96       39.530      -81.873        0.214     1.68535     0.00000
   9    -32.798       37.909          -3.614        0.264       342645.1          708.3    0.5388    0.0746      708.97       37.909      -82.220        0.399     1.68561     0.00000
  10    -35.492       36.387          -4.357        0.435       342686.2          708.3    0.5399    0.0724      708.97       36.390      -82.544        0.686     1.68574     0.00000
  11    -38.372       34.761          -5.163        0.515       342727.8          708.3    0.5411    0.0702      708.97       34.765      -82.889        0.849     1.68588     0.00000
  12    -41.220       33.152          -6.064        0.618       342777.8          708.4    0.5425    0.0684      708.97       33.158      -83.229        1.076     1.68606     0.00000
  13    -44.221       31.458          -7.044        0.693       342782.8          708.4    0.5442    0.0667      708.96       31.465      -83.587        1.276     1.68607     0.00000
  14    -47.148       29.805          -8.042        0.761       342812.5          708.4    0.5459    0.0655      708.97       29.814      -83.933        1.491     1.68619     0.00000
  15    -50.192       28.086          -9.019        0.809       342786.0          708.4    0.5475    0.0646      708.95       28.097      -84.290        1.692     1.68609     0.00000
  16    -53.182       26.397          -9.988        0.840       342801.0          708.4    0.5493    0.0643      708.96       26.410      -84.636        1.908     1.68617     0.00000
  17    -56.418       24.569         -11.019        0.873       342753.7          708.3    0.5511    0.0644      708.94       24.585      -85.007        2.272     1.68602     0.00000
  18    -59.721       22.702         -12.137        0.906       342753.2          708.3    0.5532    0.0654      708.97       22.722      -85.380        3.312     1.68598     0.00000
  19    -62.597       20.599         -13.189        0.945       342677.5          708.4    0.5551    0.0667      709.01       21.099      -85.703        8.522     1.68557     0.00000
  20    -61.677       18.425         -14.065        0.959       342652.3          708.4    0.5568    0.0686      709.10       21.618      -85.609        4.341     1.68533     0.00000
  21    -60.198       16.275         -14.728        0.890       342549.3          708.4    0.5581    0.0707      709.09       22.453      -85.457        2.937     1.68492     0.00000
  22    -59.117       14.830         -15.408        0.631       342531.5          708.3    0.5594    0.0731      709.08       23.063      -85.346        1.457     1.68494     0.00000
  23    -60.060       14.376         -16.087        0.271       342453.5          708.3    0.5607    0.0747      709.04       22.530      -85.453       -1.973     1.68473     0.00000
  24    -61.935       14.906         -16.925        0.064       342472.9          708.3    0.5622    0.0759      709.07       21.473      -85.663       -6.091     1.68482     0.00000
  25    -63.835       15.680         -16.862       -0.050       342402.7          708.2    0.5619    0.0750      709.03       20.401      -85.878       -6.840     1.68455     0.00000
  26    -66.154       16.171         -11.848        1.119       342472.4          708.4    0.5519    0.0645      709.08       19.093      -86.131       -4.135     1.68438     0.00000
  27    -63.112       18.170          -7.614        2.788       342526.3          708.5    0.5442    0.0627      709.20       20.809      -85.772       -0.474     1.68446     0.00000
  28    -59.637       21.245          -6.593        3.540       342400.4          708.4    0.5428    0.0677      709.19       22.769      -85.400        0.580     1.68408     0.00000
  29    -56.315       23.848          -6.410        3.992       342147.6          708.3    0.5429    0.0743      709.11       24.643      -85.050        1.540     1.68321     0.00000
  30    -53.591       25.661          -6.103        4.583       342026.4          708.2    0.5427    0.0785      709.11       26.180      -84.759        2.922     1.68278     0.00000
  31    -50.205       27.573          -6.060        5.151       341876.5          708.1    0.5431    0.0829      709.12       28.090      -84.392        7.930     1.68224     0.00000
  32    -46.461       29.649          -6.284        5.631       341639.3          708.0    0.5441    0.0870      709.09       30.202      -83.995        9.194     1.68136     0.00000
  33    -42.948       31.581          -6.709        6.115       341404.5          707.9    0.5454    0.0911      709.09       32.184      -83.635        9.888     1.68046     0.00000
  34    -38.277       34.142          -7.124        6.763       341184.2          707.7    0.5470    0.0960      709.10       34.818      -83.164       10.270     1.67967     0.00000
  35    -33.507       36.770          -6.472        7.345       340860.2          707.6    0.5466    0.0996      709.06       37.509      -82.672       10.402     1.67842     0.00000
  36    -30.547       38.362          -5.497        7.911       340716.3          707.5    0.5453    0.1017      709.06       39.179      -82.344       10.771     1.67787     0.00000
  37    -26.954       40.328          -5.129        8.418       340518.8          707.4    0.5454    0.1053      709.08       41.206      -81.967       10.975     1.67709     0.00000
  38    -23.015       42.476          -4.987        9.012       340168.1          707.3    0.5460    0.1095      709.07       43.428      -81.570       11.268     1.67574     0.00000
  39    -17.595       45.413          -4.104        9.905       339924.8          707.2    0.5456    0.1140      709.12       46.486      -81.012       11.693     1.67480     0.00000
  40    -13.710       47.517          -2.710       10.544       339513.2          707.0    0.5441    0.1168      709.05       48.677      -80.576       11.909     1.67317     0.00000
  41    -10.549       49.234          -1.780       11.039       339415.6          707.0    0.5432    0.1197      709.12       50.460      -80.229       12.029     1.67276     0.00000
  42     -5.859       51.776          -1.015       11.790       338872.7          706.7    0.5432    0.1245      709.05       53.106      -79.744       12.222     1.67069     0.00000
  43     -0.595       54.621           0.850       12.671       338573.8          706.6    0.5414    0.1289      709.14       56.075      -79.161       12.476     1.66942     0.00000
  44      3.208       56.654           2.951       13.406       338055.1          706.4    0.5388    0.1321      709.04       58.220      -78.686       12.728     1.66736     0.00000
  45      7.384       58.889           3.956       14.188       337960.3          706.4    0.5384    0.1366      709.19       60.576      -78.234       12.968     1.66701     0.00000
  46     13.318       62.095           6.021       15.173       337108.1          706.0    0.5370    0.1423      709.15       63.924      -77.567       13.198     1.66352     0.00000
  47     17.922       64.530           8.621       16.145       336731.8          705.9    0.5341    0.1467      709.24       66.521      -76.977       13.447     1.66190     0.00000
  48     23.472       67.559          11.257       16.937       336081.8          705.6    0.5317    0.1525      709.23       69.651      -76.292       13.498     1.65936     0.00000
  49     27.494       69.660          14.605       17.886       335469.3          705.4    0.5275    0.1568      709.16       71.921      -75.683       13.798     1.65692     0.00000
  50     32.649       72.398          17.382       18.909       334979.4          705.2    0.5249    0.1627      709.23       74.828      -74.992       14.016     1.65501     0.00000
  51     38.109       75.311          21.027       19.944       333963.3          704.7    0.5212    0.1693      709.08       77.909      -74.204       14.230     1.65108     0.00000
  52     43.186       77.984          24.968       21.033       333300.1          704.4    0.5168    0.1756      709.11       80.773      -73.391       14.435     1.64847     0.00000
  53     48.844       81.018          28.987       22.042       332230.3          703.9    0.5129    0.1830      709.03       83.964      -72.507       14.568     1.64427     0.00000
  54     54.572       84.005          33.945       23.365       331234.9          703.5    0.5076    0.1911      709.06       87.195      -71.493       14.866     1.64026     0.00000
  55     60.705       87.260          39.101       24.573       329932.8          702.9    0.5023    0.2001      709.02       90.655      -70.385       15.036     1.63503     0.00000
  56     66.587       90.399          44.820       25.668       328593.4          702.4    0.4963    0.2095      709.04       93.973      -69.208       15.161     1.62959     0.00000
  57     72.979       93.754          51.262       27.046       326942.1          701.7    0.4898    0.2204      709.04       97.579      -67.859       15.385     1.62288     0.00000
  58     79.627       97.300          58.523       28.286       325010.7          700.9    0.4826    0.2327      709.06      101.329      -66.329       15.484     1.61498     0.00000
  59     86.036      100.669          66.768       29.647       322719.2          699.9    0.4742    0.2462      709.02      104.944      -64.625       15.671     1.60565     0.00000
