
OVERALL TURBINE PERFORMANCE
============================================================
Blade-jet speed ratio     0.3965
Pitchline loading         2.7099
Total-Total PR            5.0265
Total-Static PR           5.5864
Energy Extraction           342.3371
Corrected Speed           32.5765
Flow function           0.9440

STAGE PERFORMANCE
====================================================================================================
Stage  Location     Alpha1    Alpha2     Beta2     Beta3    Alpha3      Phi       Psi    Reaction
    1       Hub      -2.16      78.08      68.94     -76.15     -40.86    0.3337    1.8782      0.3418
    1      Mean      -3.64      72.54      51.08     -64.31     -17.72    0.6973    1.5795      0.4162
    1       Tip      -5.12      80.10       2.55     -49.32      16.49    0.4884    0.9920      0.4572
    2       Hub     -61.59      73.68       1.83     -67.81     -14.27    0.4511    1.5417      0.3747
    2      Mean     -27.45      64.62      -6.70     -59.55       3.50    0.7021    1.1862      0.4233
    2       Tip      17.03      70.70     -48.29     -54.35      17.69    0.6753    0.8694      0.4861


Span station K = 19

  J       %dVm        Vx(m/s)      Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)    Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density(kg/m3)     mdot(kg/s)
--------------------------------------------------------------------------------------------------------------------------------------------
   1      2.781       58.130           0.000        0.002       341859.8          707.5    0.5849    0.1117      709.00       58.130      -78.989        0.002     1.68354    12.29566
   2      1.348       57.319          -0.546        0.022       341877.8          707.5    0.5857    0.1102      708.97       57.319      -79.157        0.017     1.68361    12.12156
   3      1.018       57.133          -1.154        0.056       341859.7          707.5    0.5868    0.1099      708.96       57.133      -79.212        0.045     1.68355    12.12770
   4      0.486       56.832          -1.753        0.090       341889.2          707.5    0.5878    0.1095      708.96       56.832      -79.288        0.074     1.68366    12.13214
   5     -0.225       56.429          -2.450        0.122       341907.9          707.5    0.5890    0.1089      708.96       56.430      -79.384        0.100     1.68374    12.13329
   6     -1.086       55.942          -3.315        0.153       341930.8          707.6    0.5905    0.1083      708.96       55.943      -79.501        0.123     1.68383    12.13520
   7     -1.964       55.445          -4.330        0.180       341933.3          707.6    0.5924    0.1078      708.96       55.446      -79.623        0.143     1.68384    12.13423
   8     -2.899       54.916          -5.411        0.206       341936.1          707.6    0.5943    0.1075      708.96       54.918      -79.752        0.159     1.68385    12.13755
   9     -3.828       54.390          -6.487        0.230       341928.3          707.5    0.5963    0.1072      708.95       54.392      -79.879        0.173     1.68383    12.13629
  10     -4.918       53.773          -7.556        0.256       341919.3          707.5    0.5982    0.1069      708.96       53.776      -80.021        0.189     1.68380    12.14186
  11     -6.050       53.132          -8.683        0.282       341915.7          707.5    0.6003    0.1068      708.97       53.136      -80.167        0.205     1.68379    12.14117
  12     -7.310       52.419          -9.931        0.311       341866.9          707.5    0.6026    0.1068      708.96       52.423      -80.327        0.226     1.68361    12.14522
  13     -8.473       51.761         -11.276        0.338       341831.3          707.5    0.6051    0.1073      708.97       51.765      -80.478        0.243     1.68348    12.14407
  14     -9.722       51.053         -12.643        0.362       341753.7          707.4    0.6077    0.1079      708.96       51.059      -80.636        0.258     1.68320    12.14806
  15    -10.879       50.398         -13.942        0.384       341696.1          707.4    0.6102    0.1087      708.97       50.404      -80.782        0.268     1.68298    12.14560
