
OVERALL TURBINE PERFORMANCE
============================================================
Blade-jet speed ratio     0.3965
Pitchline loading         2.7099
Total-Total PR            5.0265
Total-Static PR           5.5864
Energy Extraction           342.3371
Corrected Speed           32.5765
Flow function           0.9440

STAGE PERFORMANCE
====================================================================================================
Stage  Location     Alpha1    Alpha2     Beta2     Beta3    Alpha3      Phi       Psi    Reaction
    1       Hub      -2.16      78.08      68.94     -76.15     -40.86    0.3337    1.8782      0.3418
    1      Mean      -3.64      72.54      51.08     -64.31     -17.72    0.6973    1.5795      0.4162
    1       Tip      -5.12      80.10       2.55     -49.32      16.49    0.4884    0.9920      0.4572
    2       Hub     -61.59      73.68       1.83     -67.81     -14.27    0.4511    1.5417      0.3747
    2      Mean     -27.45      64.62      -6.70     -59.55       3.50    0.7021    1.1862      0.4233
    2       Tip      17.03      70.70     -48.29     -54.35      17.69    0.6753    0.8694      0.4861


Span station K = 37

  J       %dVm        Vx(m/s)      Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)    Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density(kg/m3)     mdot(kg/s)
--------------------------------------------------------------------------------------------------------------------------------------------
   1      5.301       59.555           0.000        0.026       341727.5          707.4    0.6316    0.1145      709.00       59.555      -79.559        0.025     1.68307     0.00000
   2     -7.586       52.253          -0.675        1.215       342235.2          707.9    0.6304    0.1005      709.07       52.267      -80.832        1.329     1.68457     0.00000
   3    -10.848       50.420          -1.410        0.417       342086.6          707.9    0.6313    0.0970      708.99       50.422      -81.170        0.472     1.68384     0.00000
   4    -14.558       48.317          -2.121        0.824       342132.8          707.9    0.6321    0.0932      708.98       48.324      -81.550        0.977     1.68390     0.00000
   5    -17.784       46.497          -2.899        0.487       342244.5          708.0    0.6330    0.0900      709.00       46.499      -81.883        0.599     1.68424     0.00000
   6    -20.951       44.705          -3.793        0.494       342200.6          708.0    0.6343    0.0870      708.95       44.708      -82.211        0.631     1.68400     0.00000
   7    -23.770       43.112          -4.794        0.364       342328.5          708.1    0.6359    0.0845      708.99       43.114      -82.507        0.481     1.68444     0.00000
   8    -26.507       41.565          -5.837        0.238       342283.3          708.1    0.6375    0.0824      708.95       41.565      -82.793        0.324     1.68421     0.00000
   9    -29.092       40.103          -6.874        0.145       342384.9          708.2    0.6392    0.0806      708.99       40.104      -83.062        0.204     1.68457     0.00000
  10    -31.921       38.504          -7.906        0.027       342340.8          708.2    0.6409    0.0789      708.95       38.504      -83.353        0.032     1.68439     0.00000
  11    -34.763       36.896          -9.027       -0.058       342415.9          708.2    0.6428    0.0775      708.97       36.896      -83.644       -0.101     1.68467     0.00000
  12    -37.780       35.190         -10.291       -0.164       342342.4          708.2    0.6450    0.0764      708.93       35.190      -83.949       -0.292     1.68439     0.00000
  13    -40.612       33.587         -11.674       -0.229       342381.8          708.2    0.6474    0.0762      708.98       33.588      -84.237       -0.431     1.68450     0.00000
  14    -43.620       31.885         -13.041       -0.299       342292.2          708.2    0.6499    0.0763      708.97       31.887      -84.537       -0.601     1.68411     0.00000
  15    -46.393       30.316         -14.352       -0.355       342321.6          708.2    0.6523    0.0769      708.97       30.319      -84.814       -0.765     1.68432     0.00000
  16    -49.643       28.477         -15.670       -0.425       342197.9          708.0    0.6548    0.0779      708.88       28.480      -85.129       -1.129     1.68399     0.00000
  17    -53.121       26.500         -17.074       -0.519       342187.8          708.2    0.6573    0.0796      709.13       26.513      -85.463       -3.491     1.68346     0.00000
  18    -55.106       23.994         -18.394       -0.620       342006.9          708.8    0.6595    0.0817      709.70       25.391      -85.650       -5.626     1.68133     0.00000
  19    -53.845       21.513         -19.384       -0.674       341965.8          709.2    0.6612    0.0843      710.19       26.104      -85.539       -4.360     1.68012     0.00000
  20    -51.512       19.095         -20.186       -0.608       341762.2          708.9    0.6630    0.0873      709.94       27.424      -85.332       -2.958     1.67986     0.00000
  21    -49.935       17.573         -20.928       -0.409       341737.2          708.4    0.6647    0.0904      709.50       28.316      -85.193       -0.974     1.68095     0.00000
  22    -49.821       16.982         -21.656       -0.066       341558.9          708.1    0.6663    0.0926      709.24       28.380      -85.188        0.943     1.68080     0.00000
  23    -51.418       17.749         -22.041        0.265       341559.9          708.0    0.6670    0.0936      709.27       27.476      -85.332        3.841     1.68083     0.00000
