
OVERALL TURBINE PERFORMANCE
============================================================
Blade-jet speed ratio     0.3965
Pitchline loading         2.7099
Total-Total PR            5.0265
Total-Static PR           5.5864
Energy Extraction           342.3371
Corrected Speed           32.5765
Flow function           0.9440

STAGE PERFORMANCE
====================================================================================================
Stage  Location     Alpha1    Alpha2     Beta2     Beta3    Alpha3      Phi       Psi    Reaction
    1       Hub      -2.16      78.08      68.94     -76.15     -40.86    0.3337    1.8782      0.3418
    1      Mean      -3.64      72.54      51.08     -64.31     -17.72    0.6973    1.5795      0.4162
    1       Tip      -5.12      80.10       2.55     -49.32      16.49    0.4884    0.9920      0.4572
    2       Hub     -61.59      73.68       1.83     -67.81     -14.27    0.4511    1.5417      0.3747
    2      Mean     -27.45      64.62      -6.70     -59.55       3.50    0.7021    1.1862      0.4233
    2       Tip      17.03      70.70     -48.29     -54.35      17.69    0.6753    0.8694      0.4861


Span station K = 1

  J       %dVm        Vx(m/s)      Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)    Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density(kg/m3)     mdot(kg/s)
  39    -17.848       45.391          -4.102        9.900       339932.3          707.2    0.5456    0.1139      709.12       46.463      -81.016       11.693     1.67483     0.00000
  40    -13.974       47.494          -2.708       10.540       339521.1          707.0    0.5441    0.1167      709.05       48.654      -80.580       11.910     1.67319     0.00000
  41    -10.823       49.210          -1.779       11.035       339423.5          707.0    0.5432    0.1196      709.12       50.436      -80.233       12.030     1.67279     0.00000
  42     -6.149       51.751          -1.014       11.785       338881.4          706.7    0.5432    0.1244      709.05       53.080      -79.748       12.222     1.67073     0.00000
  43     -0.901       54.594           0.850       12.665       338582.3          706.6    0.5414    0.1288      709.14       56.047      -79.165       12.477     1.66945     0.00000
  44      2.890       56.626           2.950       13.400       338064.0          706.4    0.5388    0.1320      709.04       58.192      -78.690       12.730     1.66739     0.00000
  45      7.053       58.860           3.954       14.181       337969.8          706.4    0.5384    0.1365      709.19       60.546      -78.239       12.968     1.66705     0.00000
  46     12.968       62.064           6.017       15.165       337117.8          706.0    0.5370    0.1422      709.15       63.892      -77.573       13.198     1.66355     0.00000
  47     17.559       64.498           8.617       16.137       336741.3          705.9    0.5340    0.1466      709.25       66.488      -76.983       13.447     1.66193     0.00000
  48     23.089       67.525          11.252       16.928       336092.3          705.6    0.5317    0.1524      709.23       69.616      -76.298       13.499     1.65939     0.00000
  49     27.100       69.624          14.597       17.877       335480.0          705.4    0.5275    0.1567      709.16       71.884      -75.689       13.798     1.65696     0.00000
  50     32.241       72.363          17.372       18.900       334990.1          705.2    0.5249    0.1626      709.23       74.792      -74.999       14.016     1.65505     0.00000
  51     37.687       75.276          21.016       19.935       333974.7          704.7    0.5212    0.1692      709.08       77.872      -74.211       14.230     1.65112     0.00000
  52     42.751       77.949          24.956       21.023       333311.5          704.4    0.5168    0.1755      709.11       80.736      -73.397       14.435     1.64852     0.00000
  53     48.395       80.983          28.973       22.032       332242.5          703.9    0.5129    0.1830      709.03       83.928      -72.513       14.568     1.64432     0.00000
  54     54.109       83.971          33.929       23.355       331247.3          703.5    0.5076    0.1910      709.06       87.160      -71.500       14.866     1.64031     0.00000
