
OVERALL TURBINE PERFORMANCE
============================================================
Blade-jet speed ratio     0.3962
Pitchline loading         3.1527
Total-Total PR            4.9704
Total-Static PR           5.6019
Energy Extraction           402.6880
Corrected Speed           32.5748
Flow function           0.9511

STAGE PERFORMANCE
====================================================================================================
Stage  Location     Alpha1    Alpha2     Beta2     Beta3    Alpha3      Phi       Psi    Reaction
    1       Hub      -2.39      78.08     -77.04     -77.26     -38.20    0.3297    0.8282      0.3583
    1      Mean      -3.88      72.47      44.21     -66.36     -16.31    0.6261    1.6465      0.4253
    1       Tip      -5.43      79.36     -83.12     -51.26      24.16    0.4688    0.3283      0.4669
    2       Hub     -53.89      73.33      -1.64     -69.73     -22.59    0.4447    1.3810      0.3991
    2      Mean     -20.04      64.32     -10.53     -59.85      -0.63    0.6939    1.1643      0.4588
    2       Tip      26.36      70.09     -50.76     -55.34      12.40    0.6493    0.8302      0.5255


Span station K = 1

  J       %dVm        Vx(m/s)      Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)    Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density(kg/m3)     mdot(kg/s)
--------------------------------------------------------------------------------------------------------------------------------------------
   1      6.263       55.940           0.000       -0.030       342087.9          707.6    0.5380    0.1075      709.00       55.940      -78.472       -0.031     1.68440     0.00000
   2     -9.778       47.475           0.015       -1.400       342735.7          708.1    0.5347    0.0913      709.11       47.495      -80.174       -1.687     1.68642     0.00000
   3    -13.396       45.590          -0.310       -0.334       342525.2          708.1    0.5346    0.0876      709.05       45.591      -80.570       -0.420     1.68535     0.00000
   4    -17.489       43.430          -0.642       -0.730       342624.2          708.3    0.5345    0.0836      709.10       43.436      -81.018       -0.962     1.68554     0.00000
   5    -20.953       41.612          -1.046       -0.258       342720.4          708.4    0.5347    0.0802      709.13       41.612      -81.401       -0.355     1.68578     0.00000
   6    -24.270       39.865          -1.569       -0.223       342719.7          708.4    0.5352    0.0770      709.13       39.866      -81.770       -0.320     1.68564     0.00000
   7    -27.458       38.188          -2.205       -0.026       342825.0          708.5    0.5360    0.0741      709.17       38.188      -82.129       -0.039     1.68596     0.00000
   8    -30.299       36.692          -2.901        0.138       342843.1          708.5    0.5369    0.0716      709.17       36.693      -82.450        0.216     1.68595     0.00000
   9    -33.206       35.161          -3.604        0.246       342878.2          708.6    0.5379    0.0693      709.19       35.162      -82.777        0.400     1.68600     0.00000
  10    -35.700       33.847          -4.322        0.402       342941.3          708.7    0.5390    0.0674      709.23       33.849      -83.059        0.682     1.68615     0.00000
  11    -38.377       32.436          -5.109        0.476       342949.2          708.7    0.5403    0.0656      709.25       32.440      -83.360        0.841     1.68611     0.00000
  12    -40.888       31.113          -5.996        0.573       343029.8          708.8    0.5417    0.0643      709.29       31.118      -83.642        1.060     1.68637     0.00000
  13    -43.838       29.558          -6.938        0.643       342996.5          708.8    0.5433    0.0628      709.28       29.565      -83.971        1.254     1.68620     0.00000
  14    -46.706       28.046          -7.836        0.709       343058.6          708.8    0.5448    0.0618      709.30       28.055      -84.287        1.467     1.68645     0.00000
  15    -49.824       26.403          -8.670        0.753       342981.6          708.8    0.5463    0.0607      709.28       26.414      -84.627        1.664     1.68611     0.00000
  16    -52.426       25.032          -9.556        0.780       343033.7          708.9    0.5478    0.0606      709.40       25.044      -84.910        1.823     1.68608     0.00000
