
OVERALL TURBINE PERFORMANCE
============================================================
Blade-jet speed ratio     0.3962
Pitchline loading         3.1527
Total-Total PR            4.9704
Total-Static PR           5.6019
Energy Extraction           402.6880
Corrected Speed           32.5748
Flow function           0.9511

STAGE PERFORMANCE
====================================================================================================
Stage  Location     Alpha1    Alpha2     Beta2     Beta3    Alpha3      Phi       Psi    Reaction
    1       Hub      -2.39      78.08     -77.04     -77.26     -38.20    0.3297    0.8282      0.3583
    1      Mean      -3.88      72.47      44.21     -66.36     -16.31    0.6261    1.6465      0.4253
    1       Tip      -5.43      79.36     -83.12     -51.26      24.16    0.4688    0.3283      0.4669
    2       Hub     -53.89      73.33      -1.64     -69.73     -22.59    0.4447    1.3810      0.3991
    2      Mean     -20.04      64.32     -10.53     -59.85      -0.63    0.6939    1.1643      0.4588
    2       Tip      26.36      70.09     -50.76     -55.34      12.40    0.6493    0.8302      0.5255


Span station K = 19

  J       %dVm        Vx(m/s)      Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)    Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density(kg/m3)     mdot(kg/s)
--------------------------------------------------------------------------------------------------------------------------------------------
   1      3.413       54.439           0.000        0.181       342210.3          707.7    0.5835    0.1046      709.00       54.439      -79.673        0.191     1.68484     0.00000
   2      1.241       53.295          -0.550        0.173       342211.9          707.8    0.5842    0.1025      709.01       53.296      -79.902        0.180     1.68470     0.00000
   3      0.893       53.112          -1.159        0.189       342201.5          707.8    0.5853    0.1022      709.01       53.112      -79.955        0.192     1.68465     0.00000
   4      0.407       52.856          -1.761        0.206       342235.0          707.8    0.5863    0.1018      709.02       52.857      -80.021        0.206     1.68477     0.00000
   5     -0.254       52.508          -2.453        0.225       342250.2          707.8    0.5876    0.1014      709.02       52.509      -80.106        0.220     1.68482     0.00000
   6     -1.033       52.098          -3.293        0.243       342274.2          707.8    0.5891    0.1009      709.04       52.099      -80.207        0.234     1.68490     0.00000
   7     -1.935       51.622          -4.272        0.261       342261.5          707.8    0.5908    0.1005      709.04       51.624      -80.322        0.246     1.68482     0.00000
   8     -2.855       51.138          -5.302        0.277       342275.9          707.8    0.5927    0.1002      709.05       51.140      -80.440        0.255     1.68486     0.00000
   9     -3.864       50.606          -6.309        0.293       342242.0          707.8    0.5945    0.0999      709.05       50.609      -80.564        0.263     1.68472     0.00000
  10     -4.824       50.100          -7.303        0.311       342261.2          707.8    0.5964    0.0998      709.08       50.103      -80.682        0.273     1.68475     0.00000
