
OVERALL TURBINE PERFORMANCE
============================================================
Blade-jet speed ratio     0.3962
Pitchline loading         3.1527
Total-Total PR            4.9704
Total-Static PR           5.6019
Energy Extraction           402.6880
Corrected Speed           32.5748
Flow function           0.9511

STAGE PERFORMANCE
====================================================================================================
Stage  Location     Alpha1    Alpha2     Beta2     Beta3    Alpha3      Phi       Psi    Reaction
    1       Hub      -2.39      78.08     -77.04     -77.26     -38.20    0.3297    0.8282      0.3583
    1      Mean      -3.88      72.47      44.21     -66.36     -16.31    0.6261    1.6465      0.4253
    1       Tip      -5.43      79.36     -83.12     -51.26      24.16    0.4688    0.3283      0.4669
    2       Hub     -53.89      73.33      -1.64     -69.73     -22.59    0.4447    1.3810      0.3991
    2      Mean     -20.04      64.32     -10.53     -59.85      -0.63    0.6939    1.1643      0.4588
    2       Tip      26.36      70.09     -50.76     -55.34      12.40    0.6493    0.8302      0.5255


Span station K = 37

  J       %dVm        Vx(m/s)      Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)    Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density(kg/m3)     mdot(kg/s)
  39     -8.612       47.459           1.375       -7.844       339960.4          651.0    0.6551    0.1246      653.05       48.109      -81.853       -9.082     1.85335     0.00000
  40     -3.117       50.281           3.131       -8.514       339708.8          648.7    0.6539    0.1305      650.90       51.002      -81.354       -9.343     1.86259     0.00000
  41      1.252       52.519           5.244       -9.068       339340.6          645.8    0.6522    0.1353      648.13       53.302      -80.924       -9.520     1.87346     0.00000
  42      5.458       54.673           6.645       -9.604       339189.3          643.1    0.6518    0.1409      645.63       55.516      -80.528       -9.692     1.88534     0.00000
  43     11.779       57.936           8.733      -10.262       338664.0          640.4    0.6506    0.1479      643.22       58.843      -79.945       -9.795     1.89505     0.00000
  44     15.531       59.843          11.335      -10.818       338365.9          637.5    0.6479    0.1523      640.44       60.819      -79.532       -9.967     1.90691     0.00000
  45     20.356       62.279          13.210      -11.616       338130.8          634.5    0.6472    0.1586      637.64       63.358      -79.061      -10.309     1.92045     0.00000
  46     26.553       65.455          15.768      -12.384       337472.1          631.2    0.6458    0.1660      634.59       66.621      -78.452      -10.459     1.93345     0.00000
  47     30.950       67.702          18.644      -12.952       337065.0          628.0    0.6433    0.1716      631.64       68.935      -77.962      -10.554     1.94722     0.00000
  48     36.050       70.283          21.455      -13.749       336638.5          625.1    0.6411    0.1782      628.96       71.620      -77.415      -10.792     1.95980     0.00000
  49     41.042       72.785          24.847      -14.639       336023.5          621.9    0.6380    0.1847      626.03       74.248      -76.831      -11.060     1.97208     0.00000
  50     46.098       75.343          28.050      -15.421       335550.3          618.5    0.6354    0.1918      622.92       76.910      -76.239      -11.241     1.98678     0.00000
  51     51.702       78.198          31.758      -16.184       334752.7          614.7    0.6325    0.1997      619.49       79.860      -75.568      -11.367     2.00214     0.00000
  52     56.102       80.421          35.731      -16.863       334115.5          610.9    0.6289    0.2067      615.97       82.176      -74.956      -11.489     2.01910     0.00000
  53     60.951       82.862          39.681      -17.661       333371.3          607.1    0.6256    0.2145      612.51       84.729      -74.304      -11.676     2.03598     0.00000
  54     66.072       85.407          44.351      -18.644       332461.2          603.2    0.6213    0.2231      609.07       87.424      -73.557      -11.924     2.05184     0.00000
  55     71.097       87.908          49.357      -19.585       331451.2          599.2    0.6165    0.2320      605.55       90.070      -72.762      -12.147     2.06764     0.00000
  56     76.119       90.449          54.732      -20.337       330350.9          595.0    0.6113    0.2417      601.84       92.714      -71.912      -12.241     2.08474     0.00000
  57     80.981       92.873          60.865      -21.207       329021.4          590.4    0.6051    0.2524      597.83       95.273      -70.978      -12.401     2.10317     0.00000
  58     85.929       95.328          67.374      -22.176       327538.0          585.8    0.5987    0.2636      593.78       97.878      -69.949      -12.640     2.12138     0.00000
  59     89.930       97.302          74.225      -22.996       325771.7          581.2    0.5917    0.2744      589.85       99.984      -68.915      -12.863     2.13676     0.00000
  60     93.767       99.186          81.620      -23.802       323962.0          577.1    0.5837    0.2858      586.53      102.004      -67.763      -13.021     2.14813     0.00000
  61     97.138      100.863          89.517      -24.419       321495.2          573.2    0.5748    0.2977      583.54      103.779      -66.499      -13.125     2.15227     0.00000
  62     99.387      101.981          97.777      -24.831       319094.9          569.9    0.5648    0.3094      581.23      104.963      -65.180      -13.200     2.15237     0.00000
  63    100.906      102.700         106.659      -25.260       316118.5          566.9    0.5534    0.3219      579.28      105.762      -63.715      -13.317     2.14609     0.00000
  64    101.490      102.952         115.964      -25.519       312983.3          564.4    0.5408    0.3350      577.90      106.070      -62.120      -13.418     2.13579     0.00000
  65    100.945      102.700         125.508      -25.347       309483.1          562.3    0.5270    0.3484      576.96      105.783      -60.426      -13.361     2.12074     0.00000
  66     98.425      101.382         135.394      -25.146       305804.1          560.6    0.5112    0.3617      576.53      104.456      -58.674      -13.426     2.10157     0.00000
  67     95.418       99.859         145.076      -24.714       301932.4          559.4    0.4949    0.3753      576.56      102.873      -56.828      -13.396     2.07906     0.00000
  68     90.902       97.598         154.567      -23.951       297840.8          558.5    0.4776    0.3885      576.85      100.496      -54.995      -13.299     2.05400     0.00000
  69     85.858       95.043         163.996      -23.223       293737.6          558.1    0.4595    0.4021      577.66       97.840      -53.070      -13.241     2.02670     0.00000
  70     80.320       92.265         173.234      -22.305       289110.9          557.8    0.4409    0.4159      578.57       94.925      -51.093      -13.127     1.99576     0.00000
  71     74.472       89.337         182.178      -21.313       284618.2          557.9    0.4219    0.4296      579.92       91.847      -49.094      -12.958     1.96399     0.00000
  72     69.094       86.652         190.779      -20.363       279700.3          558.3    0.4034    0.4435      581.45       89.015      -47.033      -12.797     1.92830     0.00000
  73     63.993       84.085         199.201      -19.547       274776.7          559.0    0.3851    0.4576      583.36       86.330      -44.915      -12.716     1.89077     0.00000
  74     60.083       82.233         207.601      -18.393       269618.2          559.5    0.3674    0.4728      585.14       84.272      -42.707      -12.144     1.85308     0.00000
  75     56.424       80.472         215.618      -17.374       264180.8          559.2    0.3503    0.4882      586.01       82.346      -40.623      -11.682     1.81897     0.00000
  76     53.317       78.942         222.138      -16.739       258935.1          558.5    0.3357    0.5016      586.15       80.710      -38.987      -11.552     1.78986     0.00000
  77     49.064       76.877         226.701      -15.672       253984.0          557.4    0.3225    0.5111      585.60       78.471      -38.217      -11.161     1.76456     0.00000
  78     43.838       74.273         229.732      -14.665       249963.0          556.6    0.3099    0.5177      584.93       75.720      -38.279      -10.855     1.74456     0.00000
  79     38.769       71.744         231.890      -13.694       246049.6          555.7    0.2984    0.5229      584.00       73.051      -38.878      -10.549     1.72411     0.00000
  80     33.897       69.325         233.657      -12.680       242429.0          554.8    0.2879    0.5276      583.03       70.487      -39.714      -10.156     1.70396     0.00000
  81     29.918       67.350         235.150      -11.830       238777.1          553.7    0.2789    0.5322      581.92       68.392      -40.539       -9.792     1.68251     0.00000
  82     26.403       65.611         236.118      -11.033       235346.6          552.7    0.2713    0.5359      580.89       66.542      -41.452       -9.410     1.66042     0.00000
  83     23.437       64.150         236.508      -10.298       232171.7          551.9    0.2653    0.5386      579.93       64.980      -42.468       -9.014     1.63833     0.00000
  84     20.592       62.747         236.543       -9.581       229268.0          551.2    0.2602    0.5405      579.04       63.483      -43.556       -8.601     1.61713     0.00000
  85     18.008       61.482         236.311       -8.839       226610.0          550.6    0.2561    0.5417      578.24       62.122      -44.657       -8.128     1.59652     0.00000
  86     15.345       60.160         235.854       -8.178       224189.6          550.1    0.2527    0.5422      577.50       60.720      -45.836       -7.708     1.57671     0.00000
  87     13.172       59.083         235.246       -7.595       222055.2          549.8    0.2504    0.5423      576.91       59.576      -46.988       -7.312     1.55798     0.00000
  88     11.088       58.048         234.449       -7.037       219995.8          549.4    0.2488    0.5419      576.26       58.480      -48.220       -6.917     1.53930     0.00000
  89      9.616       57.339         233.407       -6.427       218413.9          549.0    0.2483    0.5409      575.60       57.705      -49.457       -6.417     1.52368     0.00000
  90      8.084       56.588         232.347       -5.879       217010.0          548.3    0.2480    0.5394      574.63       56.898      -50.758       -5.951     1.51035     0.00000
  91      7.204       56.159         231.515       -5.525       216092.8          547.8    0.2477    0.5382      573.82       56.435      -51.891       -5.643     1.50093     0.00000
  92      6.430       55.795         230.841       -5.040       214946.1          547.2    0.2472    0.5371      573.03       56.027      -52.939       -5.189     1.49020     0.00000
  93      5.738       55.471         230.105       -4.530       214473.6          547.6    0.2463    0.5354      573.17       55.663      -53.984       -4.696     1.48294     0.00000
  94      3.837       54.489         228.982       -4.335       213954.2          548.8    0.2458    0.5317      573.96       54.662      -55.258       -4.548     1.47782     0.00000
  95      1.952       53.494         228.348       -4.221       215021.2          550.4    0.2442    0.5281      575.27       53.670      -56.352       -4.444     1.48497     0.00000
  96     -1.592       51.707         226.017       -3.108       215855.5          548.8    0.2465    0.5200      573.05       51.805      -57.750       -3.431     1.49112     0.00000
  97    -12.321       46.105         218.187       -1.826       217131.2          546.9    0.2571    0.4980      569.76       46.156      -61.207       -2.486     1.49704     0.00000
  98    -22.666       40.667         207.664       -1.261       219555.0          552.4    0.2720    0.4700      573.58       40.711      -64.630       -2.108     1.49328     0.00000
