
OVERALL TURBINE PERFORMANCE
============================================================
Blade-jet speed ratio     0.3962
Pitchline loading         3.1518
Total-Total PR            4.9700
Total-Static PR           5.6018
Energy Extraction           402.9360
Corrected Speed           32.5748
Flow function           0.9511

STAGE PERFORMANCE
====================================================================================================
Stage  Location     Alpha1    Alpha2     Beta2     Beta3    Alpha3      Phi       Psi    Reaction
    1       Hub      -2.40      78.08     -77.04     -77.27     -38.18    0.3297    0.8278      0.3582
    1      Mean      -3.88      72.47      44.21     -66.37     -16.29    0.6261    1.6469      0.4251
    1       Tip      -5.37      79.36     -83.19     -51.18      24.51    0.4686    0.3194      0.4672
    2       Hub     -53.87      73.33      -1.63     -69.74     -22.60    0.4450    1.3817      0.3989
    2      Mean     -20.02      64.32     -10.53     -59.84      -0.63    0.6937    1.1643      0.4587
    2       Tip      26.59      70.12     -50.75     -55.43      12.31    0.6834    0.8364      0.5251


Span station K = 1

  J       %dVm        Vx(m/s)      Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)    Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density(kg/m3)     mdot(kg/s)
--------------------------------------------------------------------------------------------------------------------------------------------
   1      5.707       55.794           0.000       -0.030       342101.6          707.6    0.5379    0.1072      709.00       55.794      -78.502       -0.031     1.68445              0.000
   2    -10.240       47.356           0.015       -1.395       342746.1          708.1    0.5346    0.0910      709.11       47.376      -80.198       -1.686     1.68646              0.000
   3    -13.823       45.484          -0.310       -0.334       342535.6          708.1    0.5346    0.0874      709.05       45.485      -80.592       -0.420     1.68539              0.000
   4    -17.881       43.337          -0.642       -0.728       342633.3          708.3    0.5345    0.0834      709.10       43.343      -81.037       -0.961     1.68558              0.000
   5    -21.317       41.529          -1.045       -0.258       342728.5          708.4    0.5347    0.0800      709.13       41.530      -81.417       -0.355     1.68581              0.000
   6    -24.608       39.792          -1.568       -0.223       342727.1          708.4    0.5352    0.0769      709.13       39.793      -81.785       -0.321     1.68568              0.000
   7    -27.771       38.124          -2.205       -0.025       342831.6          708.5    0.5359    0.0740      709.17       38.124      -82.142       -0.038     1.68599              0.000
   8    -30.588       36.636          -2.901        0.138       342849.4          708.6    0.5369    0.0715      709.17       36.636      -82.461        0.217     1.68597              0.000
   9    -33.474       35.113          -3.604        0.245       342883.7          708.6    0.5379    0.0692      709.19       35.113      -82.787        0.399     1.68603              0.000
  10    -35.948       33.805          -4.322        0.400       342946.5          708.7    0.5390    0.0673      709.23       33.807      -83.067        0.680     1.68618              0.000
  11    -38.607       32.400          -5.109        0.475       342954.1          708.7    0.5402    0.0655      709.24       32.404      -83.367        0.840     1.68614              0.000
  12    -41.103       31.081          -5.994        0.573       343034.4          708.8    0.5417    0.0642      709.29       31.086      -83.649        1.060     1.68639              0.000
  13    -44.038       29.530          -6.933        0.643       343000.8          708.8    0.5433    0.0628      709.28       29.537      -83.976        1.255     1.68622              0.000
  14    -46.892       28.022          -7.830        0.709       343062.6          708.8    0.5448    0.0617      709.30       28.031      -84.292        1.469     1.68647              0.000
  15    -49.995       26.383          -8.663        0.753       342985.5          708.8    0.5463    0.0607      709.28       26.393      -84.631        1.667     1.68613              0.000
  16    -52.582       25.016          -9.548        0.779       343037.2          708.9    0.5478    0.0605      709.40       25.028      -84.913        1.821     1.68610              0.000
  17    -55.343       23.557         -10.520        0.805       342953.2          709.0    0.5495    0.0607      709.49       23.571      -85.212        2.025     1.68550              0.000
  18    -57.895       22.208         -11.458        0.823       343012.7          708.8    0.5513    0.0614      709.36       22.224      -85.485        2.307     1.68616              0.000
  19    -61.026       20.553         -12.196        0.834       342906.5          708.3    0.5529    0.0619      708.85       20.571      -85.816        3.138     1.68688              0.000
  20    -62.675       19.061         -12.989        0.818       342932.5          708.6    0.5543    0.0631      709.19       19.701      -85.993        4.315     1.68625              0.000
  21    -62.221       17.644         -14.030        0.754       342786.3          710.1    0.5556    0.0649      710.75       19.940      -85.957        1.137     1.68193              0.000
  22    -62.085       17.008         -15.142        0.550       342813.5          710.2    0.5577    0.0670      710.86       20.012      -85.955       -2.233     1.68189              0.000
  23    -62.430       16.993         -15.616        0.288       342683.8          704.1    0.5612    0.0681      704.80       19.830      -86.000       -4.157     1.69609              0.000
  24    -62.830       17.604         -15.154        0.279       342719.9          692.1    0.5657    0.0675      692.76       19.619      -86.054       -5.519     1.72839              0.000
  25    -63.483       17.731         -12.229        0.410       342580.4          679.8    0.5656    0.0617      680.38       19.274      -86.120       -5.199     1.76408              0.000
  26    -64.821       16.946          -5.284        1.537       342653.8          672.2    0.5545    0.0535      672.73       18.568      -86.232       -0.762     1.78715              0.000
  27    -60.267       20.100          -1.032        3.363       342760.5          670.8    0.5467    0.0626      671.39       20.972      -85.704        7.200     1.79102              0.000
  28    -55.201       23.150          -1.157        4.211       342646.6          672.4    0.5466    0.0691      673.10       23.645      -85.147       10.398     1.78554              0.000
  29    -50.873       25.518          -2.421        4.535       342455.0          672.7    0.5495    0.0747      673.52       25.930      -84.686        9.493     1.78405              0.000
  30    -47.591       27.192          -3.016        5.035       342319.1          672.1    0.5514    0.0787      672.95       27.662      -84.344        9.872     1.78604              0.000
  31    -44.003       29.016          -3.399        5.583       342250.8          671.6    0.5528    0.0829      672.56       29.556      -83.967       10.449     1.78775              0.000
  32    -39.928       31.121          -3.823        6.040       342006.6          670.8    0.5547    0.0872      671.82       31.707      -83.550       10.522     1.78968              0.000
  33    -36.316       32.977          -4.076        6.486       341874.6          669.6    0.5563    0.0919      670.75       33.614      -83.194       10.761     1.79371              0.000
  34    -31.324       35.544          -3.964        7.080       341668.5          668.2    0.5574    0.0980      669.50       36.248      -82.693       10.933     1.79872              0.000
  35    -26.287       38.146          -2.824        7.627       341407.5          666.4    0.5567    0.1029      667.75       38.907      -82.174       10.994     1.80516              0.000
  36    -22.902       39.855          -1.426        8.187       341253.5          664.2    0.5555    0.1065      665.61       40.693      -81.794       11.300     1.81330              0.000
  37    -18.897       41.908          -0.576        8.696       341115.2          661.8    0.5557    0.1114      663.41       42.807      -81.365       11.414     1.82211              0.000
  38    -14.447       44.184           0.187        9.284       340791.3          659.1    0.5563    0.1173      660.88       45.156      -80.897       11.575     1.83177              0.000
  39     -8.468       47.219           1.739       10.185       340626.9          656.1    0.5559    0.1237      657.98       48.312      -80.267       11.903     1.84461              0.000
  40     -3.937       49.522           3.733       10.850       340223.8          652.7    0.5546    0.1286      654.76       50.704      -79.743       12.076     1.85728              0.000
  41     -0.278       51.383           5.238       11.375       340180.8          649.8    0.5539    0.1333      652.01       52.634      -79.322       12.196     1.86998              0.000
  42      4.965       54.045           6.550       12.151       339667.6          646.8    0.5541    0.1398      649.14       55.402      -78.759       12.365     1.88082              0.000
  43     10.699       56.948           8.980       13.038       339457.9          643.3    0.5525    0.1462      645.84       58.429      -78.108       12.573     1.89572              0.000
  44     15.164       59.190          11.683       13.799       338968.2          639.1    0.5505    0.1517      641.87       60.785      -77.534       12.767     1.91211              0.000
  45     19.876       61.552          13.314       14.619       338932.6          635.5    0.5505    0.1583      638.45       63.272      -76.999       12.991     1.93006              0.000
  46     26.196       64.744          15.921       15.615       338171.9          632.0    0.5492    0.1659      635.21       66.608      -76.275       13.192     1.94355              0.000
  47     31.175       67.211          18.905       16.587       337854.4          628.8    0.5468    0.1721      632.27       69.236      -75.630       13.441     1.95767              0.000
  48     37.084       70.229          21.882       17.377       337245.8          625.3    0.5450    0.1795      629.05       72.355      -74.900       13.471     1.97169              0.000
  49     41.345       72.309          25.547       18.324       336752.7          621.5    0.5415    0.1855      625.47       74.604      -74.256       13.749     1.98805              0.000
  50     46.821       75.034          28.636       19.335       336292.0          617.6    0.5397    0.1932      621.84       77.494      -73.522       13.940     2.00581              0.000
  51     52.383       77.805          32.545       20.345       335419.4          613.4    0.5369    0.2013      618.03       80.430      -72.722       14.135     2.02255              0.000
  52     57.626       80.387          36.644       21.398       334805.9          609.6    0.5335    0.2092      614.47       83.197      -71.897       14.332     2.03986              0.000
  53     63.240       83.198          40.733       22.357       333846.7          605.5    0.5307    0.2179      610.79       86.160      -71.035       14.458     2.05658              0.000
  54     68.793       85.899          45.658       23.591       332992.4          601.3    0.5267    0.2271      607.07       89.091      -70.070       14.721     2.07480              0.000
  55     74.794       88.873          50.664       24.717       331788.1          596.9    0.5231    0.2371      603.13       92.259      -69.014       14.876     2.09264              0.000
  56     80.471       91.707          56.186       25.707       330619.8          592.3    0.5189    0.2475      599.06       95.255      -67.907       14.968     2.11254              0.000
  57     86.663       94.750          62.402       26.943       329119.6          587.4    0.5142    0.2595      594.83       98.523      -66.634       15.138     2.13224              0.000
  58     92.928       97.846          69.098       28.170       327355.8          582.5    0.5093    0.2721      590.67      101.830      -65.236       15.325     2.15028              0.000
  59     98.418      100.496          76.310       29.454       325307.3          578.0    0.5038    0.2844      586.90      104.728      -63.782       15.605     2.16359              0.000
  60    104.084      103.275          84.171       30.603       323031.7          574.2    0.4976    0.2977      584.05      107.718      -62.126       15.733     2.16907              0.000
  61    108.963      105.695          92.750       31.504       320027.8          570.8    0.4902    0.3114      581.75      110.294      -60.316       15.813     2.16474              0.000
  62    113.246      107.790         102.016       32.390       317022.7          568.2    0.4818    0.3259      580.35      112.554      -58.311       15.938     2.15511              0.000
  63    116.648      109.522         112.042       32.869       313126.8          565.8    0.4725    0.3414      579.32      114.350      -56.079       15.914     2.13786              0.000
  64    118.343      110.341         122.671       33.253       309203.8          563.8    0.4615    0.3572      578.85      115.244      -53.680       15.981     2.11797              0.000
  65    119.831      111.115         133.595       33.407       304788.5          562.1    0.4504    0.3743      578.73      116.030      -51.024       15.946     2.09396              0.000
  66    119.368      110.936         144.889       33.152       299913.2          560.6    0.4378    0.3915      578.85      115.785      -48.216       15.862     2.06636              0.000
  67    118.452      110.494         156.016       32.942       295048.8          559.6    0.4251    0.4091      579.49      115.302      -45.252       15.832     2.03682              0.000
  68    117.115      109.931         167.022       32.360       289658.2          558.7    0.4126    0.4271      580.29      114.596      -42.149       15.660     2.00325              0.000
  69    114.806      108.888         178.055       31.580       284186.0          558.2    0.3995    0.4453      581.46      113.377      -38.901       15.456     1.96789              0.000
  70    112.578      107.826         189.169       31.020       278196.8          557.6    0.3871    0.4644      582.67      112.201      -35.443       15.360     1.92974              0.000
  71    110.662      107.021         200.235       30.152       271920.2          557.1    0.3754    0.4843      584.08      111.190      -31.817       15.070     1.88911              0.000
  72    107.898      105.806         211.284       29.079       265124.9          556.6    0.3638    0.5043      585.62      109.731      -28.094       14.757     1.84366              0.000
  73    105.214      104.535         222.307       28.359       258327.0          556.4    0.3530    0.5246      587.37      108.315      -24.281       14.615     1.79777              0.000
  74    103.536      103.954         233.299       27.074       250984.8          555.7    0.3437    0.5461      588.82      107.429      -20.445       13.996     1.75017              0.000
  75    101.159      102.995         243.539       25.702       243468.0          554.8    0.3343    0.5664      589.83      106.174      -16.869       13.401     1.70281              0.000
  76     98.571      101.819         251.038       24.787       236202.2          553.7    0.3264    0.5818      590.16      104.808      -14.272       13.142     1.65880              0.000
  77     93.812       99.612         254.216       23.218       229984.5          553.1    0.3175    0.5881      589.82      102.296      -13.233       12.639     1.62145              0.000
  78     86.523       96.078         253.777       21.407       225696.0          553.4    0.3064    0.5865      589.45       98.449      -13.511       12.126     1.59407              0.000
  79     79.090       92.426         252.262       19.754       222458.2          554.1    0.2946    0.5828      589.14       94.526      -14.300       11.686     1.57126              0.000
  80     72.891       89.425         251.719       18.116       219293.8          554.3    0.2834    0.5816      588.69       91.254      -14.728       11.131     1.54867              0.000
  81     68.088       87.111         252.085       16.758       215674.6          553.8    0.2747    0.5829      587.86       88.719      -14.638       10.615     1.52454              0.000
  82     63.989       85.142         251.931       15.522       212029.2          553.1    0.2690    0.5837      586.92       86.555      -14.648       10.092     1.49992              0.000
  83     59.691       83.072         250.254       14.206       208831.2          552.8    0.2655    0.5814      586.08       84.287      -15.283        9.496     1.47607              0.000
  84     55.071       80.796         247.418       13.025       206324.6          553.0    0.2632    0.5767      585.49       81.849      -16.429        8.970     1.45444              0.000
  85     51.098       78.873         244.240       11.747       204159.1          553.2    0.2617    0.5713      584.97       79.752      -17.692        8.308     1.43390              0.000
  86     46.905       76.802         241.344       10.610       202132.4          553.4    0.2595    0.5663      584.41       77.538      -18.843        7.724     1.41401              0.000
  87     44.135       75.457         239.030        9.634       200348.1          553.7    0.2578    0.5627      584.09       76.076      -19.764        7.154     1.39544              0.000
  88     41.304       74.081         237.188        8.569       198267.8          553.6    0.2553    0.5599      583.46       74.582      -20.528        6.497     1.37543              0.000
  89     39.089       72.999         235.669        7.729       196690.0          553.6    0.2526    0.5577      582.99       73.413      -21.229        5.969     1.35872              0.000
  90     37.003       71.979         234.180        6.873       194878.3          553.1    0.2497    0.5554      581.98       72.312      -22.052        5.387     1.34203              0.000
  91     35.012       71.008         232.756        5.943       193899.5          552.7    0.2460    0.5526      581.12       71.261      -22.966        4.738     1.33149              0.000
  92     32.504       69.738         231.377        5.213       192791.2          552.2    0.2411    0.5492      580.05       69.938      -24.060        4.250     1.32116              0.000
  93     30.336       68.650         229.626        4.333       192655.0          552.7    0.2356    0.5443      579.87       68.793      -25.442        3.590     1.31661              0.000
  94     24.665       65.689         226.505        3.798       192590.7          553.4    0.2295    0.5342      579.51       65.800      -28.041        3.280     1.31738              0.000
  95     19.069       62.721         222.721        3.813       194654.9          555.3    0.2263    0.5209      580.36       62.846      -30.833        3.400     1.33411              0.000
  96      9.884       57.982         215.313        1.044       196133.9          557.1    0.2309    0.4975      580.70       57.998      -34.898        1.045     1.33906              0.000
  97    -13.599       45.578         198.843       -1.296       197887.0          562.2    0.2455    0.4509      583.22       45.603      -41.751       -1.325     1.32901              0.000
  98    -29.263       37.318         180.018       -0.551       200467.0          573.7    0.2687    0.4042      592.43       37.336      -47.239       -0.496     1.30788              0.000
  99    -37.206       33.100         171.953       -1.121       201496.4          586.7    0.2712    0.3832      604.13       33.144      -50.957       -2.882     1.27148              0.000
 100    -34.811       34.356         176.636       -1.582       202140.7          598.6    0.2515    0.3901      615.81       34.408      -52.426       -2.995     1.23871              0.000
 101    -29.514       37.167         184.981       -1.470       201139.3          608.0    0.2289    0.4044      625.63       37.203      -53.017       -2.376     1.20443              0.000
 102    -26.082       38.965         192.894       -1.856       201051.8          615.8    0.2094    0.4172      634.15       39.015      -53.555       -2.817     1.18155              0.000
 103    -22.568       40.826         199.529       -1.798       200043.9          620.5    0.1949    0.4284      639.66       40.870      -53.771       -2.549     1.16153              0.000
 104    -19.840       42.250         204.683       -2.179       199820.1          624.2    0.1851    0.4367      644.06       42.310      -53.862       -3.033     1.14968              0.000
 105    -19.068       42.668         208.374       -1.995       198757.5          626.2    0.1784    0.4425      646.59       42.717      -54.238       -2.669     1.13735              0.000
 106    -17.116       43.682         211.027       -2.336       198979.7          628.9    0.1754    0.4464      649.70       43.747      -54.050       -3.135     1.13122              0.000
 107    -19.137       42.616         213.005       -2.232       197835.7          630.4    0.1720    0.4488      651.52       42.680      -54.626       -1.826     1.11944              0.000
 108    -17.027       43.086         214.286       -1.823       198877.8          634.1    0.1712    0.4497      655.43       43.794      -54.111       -0.220     1.11489              0.000
 109    -16.919       41.495         212.564       -4.078       197777.0          637.1    0.1734    0.4441      658.08       43.851      -55.363       -6.759     1.09834              0.000
 110    -26.716       32.050         212.438        2.915       198696.6          641.0    0.1666    0.4395      661.76       38.680      -57.909        7.290     1.09452              0.000
 111    -75.012       11.214         249.317       -6.943       201137.1          635.0    0.0702    0.5066      662.11       13.189      -67.593      -27.762     1.10370              0.000
 112    -69.422       15.447         244.458       -4.676       200958.7          618.9    0.0827    0.5035      644.99       16.140      -66.346      -16.158     1.13142              0.000
 113    -45.470       -5.059         232.955        2.684       201493.2          606.9    0.1198    0.4883      631.24       28.782      -56.520        7.580     1.15699              0.000
 114     13.295      -35.223         214.003        1.562       199303.6          587.5    0.2007    0.4699      609.59       59.799      -45.626        0.517     1.18301              0.000
 115     39.697      -49.035         221.962        3.376       199930.1          588.6    0.2195    0.4946      613.40       73.734      -35.658        2.684     1.18441              0.000
 116     36.791      -47.226         224.638        2.673       199869.5          592.8    0.2169    0.4967      618.28       72.200      -31.347        2.001     1.17533              0.000
 117     31.683      -45.533         224.798        2.641       201104.6          595.3    0.2159    0.4945      620.84       69.504      -29.159        2.423     1.17759              0.000
 118     29.290      -44.344         228.145        3.048       201286.0          596.8    0.2149    0.5000      623.22       68.241      -25.206        3.279     1.17551              0.000
 119     28.290      -44.304         232.873        2.782       201908.0          598.5    0.2150    0.5086      626.10       67.713      -21.451        2.041     1.17580              0.000
 120     26.108      -43.146         237.968        2.949       202101.1          599.8    0.2156    0.5177      628.74       66.562      -17.655        2.730     1.17425              0.000
 121     25.155      -42.459         243.065        2.720       202427.7          601.2    0.2180    0.5270      631.43       66.059      -14.020        1.759     1.17352              0.000
 122     23.752      -41.119         248.147        2.684       202524.7          602.2    0.2211    0.5363      633.89       65.318      -10.700        1.843     1.17196              0.000
 123     21.746      -39.610         253.088        2.367       202631.1          603.3    0.2245    0.5451      636.32       64.259       -7.745        1.452     1.17049              0.000
 124     18.107      -36.889         257.830        2.057       202674.6          604.3    0.2273    0.5532      638.61       62.338       -4.982        1.595     1.16880              0.000
 125     13.073      -33.654         262.436        1.690       202718.0          605.1    0.2298    0.5608      640.72       59.682       -2.245        1.184     1.16740              0.000
 126      7.724      -29.626         267.012        1.297       202743.4          605.8    0.2325    0.5684      642.64       56.858        0.499        1.178     1.16626              0.000
 127      1.844      -25.455         271.903        0.762       202663.4          606.2    0.2362    0.5768      644.42       53.755        3.353        0.265     1.16502              0.000
 128     -4.963      -20.326         276.754        0.078       202579.1          606.4    0.2404    0.5853      646.00       50.162        6.269       -1.171     1.16419              0.000
 129    -12.659      -14.323         281.524       -0.895       202364.1          606.4    0.2440    0.5936      647.39       46.100        9.178       -2.554     1.16290              0.000
 130    -20.586       -6.951         284.739       -2.020       202154.0          606.3    0.2461    0.5990      648.22       41.916       11.620       -5.081     1.16187              0.000
 131    -27.518        0.714         286.472       -2.783       201809.8          606.1    0.2458    0.6017      648.46       38.257       13.554       -8.034     1.16029              0.000
 132    -30.908        7.733         286.512       -2.827       201524.2          605.2    0.2452    0.6016      647.69       36.468       13.644       -5.711     1.16031              0.000
 133    -17.711       13.872         276.478       -2.465       200821.8          603.7    0.2508    0.5832      644.13       43.433        1.961       -2.725     1.15922              0.000
 134    -11.162       19.627         265.141       -2.244       200056.0          602.9    0.2564    0.5612      640.92       46.890       -9.200       -2.369     1.15636              0.000
 135    -11.976       24.257         259.736       -2.656       199791.4          603.3    0.2517    0.5499      639.98       46.461      -15.254       -4.042     1.15395              0.000
 136    -14.167       27.797         254.194       -2.732       199656.7          603.7    0.2510    0.5383      638.98       45.304      -21.972       -5.627     1.15247              0.000
 137    -15.903       31.609         249.746       -2.942       199348.8          603.9    0.2552    0.5293      638.19       44.388      -28.021       -7.546     1.15045              0.000
 138    -14.624       35.904         246.552       -3.205       198845.1          603.8    0.2610    0.5233      637.55       45.063      -30.073       -8.747     1.14773              0.000
 139    -11.077       40.427         243.946       -3.407       198321.0          603.6    0.2676    0.5189      637.10       46.935      -30.861       -9.279     1.14498              0.000
 140     -4.558       45.520         241.370       -3.645       197803.2          603.5    0.2742    0.5151      636.69       50.376      -31.681       -8.080     1.14222              0.000
 141      2.677       50.495         237.494       -3.755       197406.8          603.6    0.2773    0.5087      635.93       54.194      -32.248       -7.226     1.13988              0.000
 142      5.509       52.909         233.216       -3.835       197364.5          603.9    0.2757    0.5004      635.11       55.689      -32.458       -6.594     1.13904              0.000
 143      9.543       55.814         230.433       -3.923       197382.5          604.3    0.2770    0.4956      634.86       57.819      -32.161       -5.969     1.13854              0.000
 144     14.641       59.128         227.967       -4.192       196916.3          604.2    0.2803    0.4922      634.40       60.509      -32.384       -5.792     1.13596              0.000
 145     19.878       62.442         224.316       -4.043       196886.1          604.5    0.2816    0.4862      633.87       63.273      -32.949       -6.046     1.13532              0.000
 146     22.826       64.397         219.661       -3.849       196734.2          604.9    0.2799    0.4778      633.08       64.829      -33.496       -7.025     1.13376              0.000
 147     24.589       65.432         215.614       -4.002       197015.7          605.5    0.2788    0.4701      632.65       65.760      -33.757       -5.586     1.13437              0.000
 148     28.179       67.328         211.567       -4.057       196789.2          605.5    0.2804    0.4634      631.81       67.654      -34.476       -4.683     1.13308              0.000
 149     30.537       68.572         206.408       -3.897       196879.0          605.7    0.2807    0.4541      630.75       68.899      -35.630       -4.180     1.13338              0.000
 150     31.596       69.097         201.226       -3.730       196791.2          605.5    0.2804    0.4449      629.36       69.458      -36.595       -3.733     1.13322              0.000
 151     32.632       69.627         196.470       -3.608       196916.2          604.8    0.2820    0.4369      627.73       70.005      -37.558       -3.412     1.13491              0.000
 152     34.960       70.861         191.161       -3.547       196679.3          603.5    0.2850    0.4288      625.38       71.234      -38.994       -3.282     1.13571              0.000
 153     33.839       70.227         186.121       -3.594       196654.2          602.3    0.2855    0.4204      623.18       70.642      -40.164       -3.040     1.13747              0.000
 154     34.564       70.589         181.607       -3.462       196567.2          600.5    0.2892    0.4145      620.59       71.025      -40.957       -2.601     1.14011              0.000
 155     36.963       71.700         176.255       -3.470       196206.5          597.4    0.2956    0.4082      616.74       72.291      -42.537       -2.114     1.14333              0.000
 156     38.910       72.197         170.865       -3.323       196142.8          594.1    0.3025    0.4017      612.59       73.318      -45.051       -1.645     1.14884              0.000
 157     39.916       72.621         166.660       -3.147       196183.1          591.4    0.3086    0.3968      609.34       73.850      -46.342       -1.575     1.15403              0.000
 158     39.078       72.550         163.655       -3.250       196215.8          590.2    0.3122    0.3933      607.80       73.407      -46.759       -1.655     1.15653              0.000
 159     38.908       72.690         160.969       -3.491       196109.0          590.1    0.3162    0.3907      607.52       73.318      -46.972       -1.796     1.15598              0.000
 160     39.688       73.115         157.816       -3.732       195835.9          590.5    0.3215    0.3876      607.67       73.729      -47.574       -1.849     1.15342              0.000
 161     41.097       73.825         154.541       -3.375       195639.1          591.2    0.3275    0.3844      608.00       74.473      -48.262       -1.511     1.15091              0.000
 162     44.244       75.557         151.564       -3.039       195382.2          591.7    0.3348    0.3828      608.37       76.134      -48.454       -1.398     1.14822              0.000
 163     47.740       77.511         148.828       -3.166       194980.3          592.1    0.3424    0.3816      608.69       77.979      -48.498       -1.702     1.14489              0.000
 164     52.933       80.329         146.088       -3.522       194642.3          592.6    0.3512    0.3812      609.16       80.720      -48.458       -2.122     1.14175              0.000
 165     59.205       83.662         143.096       -4.171       193969.4          592.9    0.3609    0.3808      609.37       84.031      -48.490       -2.673     1.13713              0.000
 166     66.598       87.601         140.165       -4.473       193434.6          593.2    0.3713    0.3808      609.62       87.933      -48.459       -2.955     1.13336              0.000
 167     75.692       92.445         136.484       -4.427       192441.0          593.2    0.3838    0.3808      609.54       92.733      -48.537       -2.938     1.12750              0.000
 168     85.212       97.494         131.664       -4.315       191474.1          593.4    0.3981    0.3798      609.50       97.757      -48.868       -2.830     1.12157              0.000
 169     95.264      102.807         126.400       -4.370       190181.7          593.2    0.4134    0.3790      609.15      103.063      -49.216       -2.792     1.11435              0.000
 170    104.736      107.810         120.534       -4.570       188715.0          592.8    0.4290    0.3778      608.52      108.062      -49.730       -2.835     1.10651              0.000
 171    114.367      112.908         114.030       -4.742       187030.1          592.1    0.4457    0.3770      607.66      113.146      -50.264       -2.858     1.09782              0.000
 172    124.108      118.045         106.637       -5.247       184969.1          591.1    0.4640    0.3766      606.49      118.287      -50.849       -3.059     1.08741              0.000
 173    132.558      122.491          98.341       -5.835       182645.6          589.8    0.4830    0.3760      605.05      122.748      -51.578       -3.294     1.07577              0.000
 174    140.181      126.510          89.269       -6.356       180131.7          588.3    0.5030    0.3758      603.29      126.771      -52.394       -3.452     1.06345              0.000
 175    146.644      129.902          79.573       -7.072       177380.8          586.3    0.5239    0.3756      601.19      130.182      -53.282       -3.677     1.05016              0.000
 176    150.855      132.113          69.254       -7.432       174509.3          584.2    0.5446    0.3747      598.84      132.405      -54.302       -3.753     1.03627              0.000
 177    154.125      133.839          59.014       -7.528       171651.0          582.1    0.5651    0.3743      596.51      134.131      -55.275       -3.715     1.02239              0.000
 178    156.944      135.301          48.773       -8.060       168734.7          579.9    0.5858    0.3744      594.14      135.619      -56.266       -3.867     1.00825              0.000
 179    158.746      136.240          37.689       -8.360       165662.9          577.5    0.6078    0.3742      591.60      136.570      -57.404       -3.922     0.99329              0.000
 180    160.152      137.005          26.274       -8.130       162221.4          574.8    0.6308    0.3751      588.79      137.312      -58.477       -3.744     0.97647              0.000
 181    160.372      137.136          15.743       -7.996       158976.8          572.3    0.6516    0.3754      586.14      137.428      -59.517       -3.622     0.96054              0.000
 182    158.205      135.990           6.654       -8.042       156361.3          570.4    0.6681    0.3717      583.84      136.284      -60.645       -3.604     0.94772              0.000
 183    153.673      133.616          -0.181       -7.665       154452.5          569.2    0.6787    0.3639      581.97      133.892      -61.742       -3.430     0.93856              0.000
 184    148.889      131.116          -5.242       -7.097       153305.5          568.7    0.6855    0.3543      580.71      131.367      -62.731       -3.170     0.93321              0.000
 185    144.069      128.574          -9.875       -6.906       152223.5          568.2    0.6915    0.3439      579.46      128.823      -63.737       -3.061     0.92834              0.000
 186    140.588      126.734         -14.873       -6.882       151159.1          567.6    0.6993    0.3348      578.29      126.986      -64.673       -3.004     0.92359              0.000
 187    138.552      125.650         -19.813       -7.038       149648.8          566.6    0.7082    0.3287      576.94      125.911      -65.424       -3.024     0.91665              0.000
 188    136.250      124.436         -24.627       -7.109       148151.0          565.7    0.7167    0.3236      575.64      124.696      -66.166       -3.040     0.90969              0.000
 189    135.377      123.963         -29.653       -7.399       146577.0          564.6    0.7264    0.3197      574.36      124.235      -66.837       -3.172     0.90228              0.000
 190    135.133      123.814         -34.078       -7.818       144952.2          563.5    0.7355    0.3167      573.08      124.106      -67.356       -3.373     0.89471              0.000
 191    135.322      123.912         -37.190       -8.003       143727.0          562.7    0.7421    0.3150      572.25      124.206      -67.710       -3.493     0.88892              0.000
 192    135.158      123.801         -39.831       -8.347       142609.3          562.1    0.7475    0.3131      571.62      124.119      -68.076       -3.679     0.88332              0.000
 193    135.553      123.971         -41.757       -8.419       141809.7          562.1    0.7516    0.3116      571.54      124.328      -68.309       -3.672     0.87888              0.000
 194    136.727      124.516         -43.497       -8.409       141039.0          562.0    0.7556    0.3112      571.56      124.948      -68.438       -3.632     0.87442              0.000
 195    137.723      124.989         -45.698       -8.374       140112.8          561.8    0.7605    0.3117      571.37      125.474      -68.577       -3.592     0.86929              0.000
 196    138.819      125.561         -47.472       -8.402       139035.6          561.3    0.7646    0.3129      571.01      126.052      -68.652       -3.591     0.86346              0.000
