
OVERALL TURBINE PERFORMANCE
============================================================
Blade-jet speed ratio     0.3962
Pitchline loading         3.1518
Total-Total PR            4.9700
Total-Static PR           5.6018
Energy Extraction           402.9360
Corrected Speed           32.5748
Flow function           0.9511

STAGE PERFORMANCE
====================================================================================================
Stage  Location     Alpha1    Alpha2     Beta2     Beta3    Alpha3      Phi       Psi    Reaction
    1       Hub      -2.40      78.08     -77.04     -77.27     -38.18    0.3297    0.8278      0.3582
    1      Mean      -3.88      72.47      44.21     -66.37     -16.29    0.6261    1.6469      0.4251
    1       Tip      -5.37      79.36     -83.19     -51.18      24.51    0.4686    0.3194      0.4672
    2       Hub     -53.87      73.33      -1.63     -69.74     -22.60    0.4450    1.3817      0.3989
    2      Mean     -20.02      64.32     -10.53     -59.84      -0.63    0.6937    1.1643      0.4587
    2       Tip      26.59      70.12     -50.75     -55.43      12.31    0.6834    0.8364      0.5251


Span station K = 37

  J       %dVm        Vx(m/s)      Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)    Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density(kg/m3)     mdot(kg/s)
--------------------------------------------------------------------------------------------------------------------------------------------
   1      4.939       55.388           0.000        0.025       342132.6          707.7    0.6301    0.1065      709.00       55.388      -80.275        0.025     1.68457              0.000
   2     -8.294       48.391          -0.663        1.123       342555.1          708.1    0.6291    0.0930      709.08       48.404      -81.499        1.327     1.68571              0.000
   3    -11.540       46.689          -1.380        0.393       342422.5          708.1    0.6301    0.0899      709.05       46.690      -81.814        0.482     1.68496              0.000
   4    -15.106       44.802          -2.080        0.759       342472.2          708.2    0.6309    0.0864      709.09       44.808      -82.156        0.969     1.68496              0.000
   5    -18.191       43.178          -2.847        0.459       342555.4          708.3    0.6320    0.0836      709.13       43.180      -82.454        0.607     1.68514              0.000
   6    -21.165       41.608          -3.724        0.456       342529.1          708.3    0.6333    0.0810      709.12       41.610      -82.744        0.626     1.68491              0.000
   7    -23.936       40.146          -4.697        0.341       342620.0          708.4    0.6348    0.0788      709.17       40.148      -83.015        0.485     1.68517              0.000
   8    -26.644       38.718          -5.685        0.222       342596.6          708.4    0.6364    0.0769      709.17       38.718      -83.279        0.325     1.68498              0.000
   9    -29.274       37.330          -6.640        0.137       342655.4          708.5    0.6380    0.0752      709.20       37.330      -83.534        0.207     1.68515              0.000
  10    -31.893       35.948          -7.598        0.029       342638.8          708.5    0.6396    0.0737      709.20       35.948      -83.786        0.039     1.68503              0.000
  11    -34.468       34.588          -8.666       -0.049       342678.4          708.5    0.6414    0.0727      709.23       34.589      -84.034       -0.090     1.68513              0.000
  12    -37.072       33.214          -9.876       -0.146       342644.6          708.5    0.6435    0.0721      709.23       33.214      -84.283       -0.269     1.68497              0.000
  13    -39.755       31.797         -11.139       -0.207       342648.0          708.6    0.6458    0.0718      709.25       31.798      -84.539       -0.400     1.68495              0.000
  14    -42.582       30.305         -12.318       -0.273       342597.3          708.5    0.6479    0.0718      709.24       30.306      -84.803       -0.557     1.68474              0.000
  15    -45.167       28.940         -13.425       -0.319       342582.7          708.5    0.6499    0.0722      709.25       28.941      -85.043       -0.678     1.68469              0.000
  16    -47.666       27.620         -14.583       -0.363       342506.2          708.5    0.6520    0.0731      709.27       27.623      -85.274       -0.815     1.68433              0.000
  17    -50.004       26.385         -15.815       -0.403       342473.7          708.6    0.6543    0.0745      709.38       26.389      -85.489       -1.014     1.68400              0.000
  18    -52.626       25.001         -16.982       -0.441       342370.7          708.5    0.6565    0.0761      709.36       25.005      -85.725       -1.352     1.68363              0.000
  19    -55.080       23.704         -17.894       -0.465       342326.3          708.1    0.6584    0.0776      708.98       23.710      -85.944       -2.020     1.68442              0.000
  20    -56.529       22.447         -18.728       -0.449       342199.9          707.8    0.6602    0.0791      708.70       22.945      -86.075       -2.254     1.68456              0.000
  21    -55.640       21.564         -19.693       -0.408       342146.2          708.9    0.6615    0.0811      709.86       23.414      -86.008        0.225     1.68167              0.000
  22    -54.946       21.032         -20.944       -0.283       342004.8          710.7    0.6630    0.0836      711.70       23.780      -85.959        1.969     1.67684              0.000
  23    -54.081       21.156         -21.823       -0.058       341944.5          708.6    0.6658    0.0860      709.70       24.237      -85.895        4.297     1.68137              0.000
  24    -53.443       21.718         -21.547        0.076       341772.2          699.1    0.6703    0.0864      700.17       24.573      -85.854        5.898     1.70447              0.000
  25    -52.247       22.654         -18.503        0.241       341693.4          685.5    0.6719    0.0822      686.54       25.205      -85.753        7.093     1.74220              0.000
  26    -52.112       23.044          -9.592        0.046       341527.1          671.4    0.6614    0.0677      672.23       25.276      -85.708        5.347     1.78347              0.000
  27    -51.452       24.448          -2.898       -0.344       341856.2          664.1    0.6512    0.0718      664.93       25.624      -85.603        2.084     1.80681              0.000
  28    -49.618       26.153          -1.959       -0.657       341852.9          663.5    0.6496    0.0772      664.41       26.592      -85.434        1.205     1.80875              0.000
  29    -47.495       27.677          -3.557       -0.726       341869.2          664.0    0.6527    0.0796      665.00       27.713      -85.253        1.200     1.80762              0.000
  30    -46.667       28.128          -4.942       -0.719       341693.1          664.4    0.6554    0.0814      665.35       28.150      -85.189        0.568     1.80599              0.000
  31    -46.141       28.315          -5.338       -2.418       341895.8          664.3    0.6562    0.0821      665.29       28.428      -85.155       -3.726     1.80766              0.000
  32    -40.270       31.193          -5.167       -4.510       341673.8          663.3    0.6571    0.0875      664.43       31.527      -84.642       -7.281     1.81012              0.000
