Span station K = 1

J    %dVm      Vx(m/s)     Vtheta(m/s)   Vr(m/s)      Pstat(Pa)    Mrel      T0(K)      Vm(m/s)     Swirl(deg)  Pitch(deg)  Density
  58     39.603      136.853          90.675        0.143       303006.3    0.4883      709.13      136.855      -57.580       -0.041     1.51935
  59     40.444      137.677         100.571        0.269       300569.2    0.4765      709.21      137.680      -55.823        0.012     1.50870
  60     41.349      138.563         111.330        0.329       297545.1    0.4644      709.21      138.566      -53.792        0.026     1.49561
  61     41.503      138.714         123.020        0.255       294157.1    0.4508      709.06      138.718      -51.532       -0.008     1.48115
  62     41.302      138.516         135.406        0.512       290520.8    0.4366      708.95      138.521      -48.994        0.094     1.46567
  63     40.855      138.076         148.355        0.566       286295.1    0.4223      708.91      138.082      -46.134        0.108     1.44725
  64     39.301      136.553         161.505        0.418       281734.1    0.4069      708.79      136.559      -43.060        0.043     1.42721
  65     37.200      134.492         174.608        0.539       277205.2    0.3914      708.89      134.499      -39.738        0.092     1.40703
  66     34.682      132.022         187.721        0.590       272049.7    0.3760      708.80      132.031      -36.111        0.115     1.38399
  67     31.831      129.226         200.219        0.599       266945.0    0.3610      708.83      129.236      -32.329        0.131     1.36095
  68     29.067      126.515         212.259        0.645       261597.0    0.3473      708.82      126.526      -28.391        0.164     1.33677
  69     26.427      123.926         224.253        0.627       255969.3    0.3349      708.83      123.938      -24.224        0.174     1.31124
  70     24.107      121.652         236.163        0.623       249935.1    0.3243      708.80      121.664      -19.863        0.192     1.28384
  71     22.154      119.738         248.006        0.571       243587.7    0.3157      708.80      119.749      -15.379        0.188     1.25490
  72     20.558      118.174         259.880        0.515       236843.4    0.3089      708.80      118.185      -10.787        0.179     1.22403
  73     19.311      116.953         271.656        0.438       229701.5    0.3039      708.74      116.962       -6.168        0.159     1.19118
  74     18.641      116.298         283.205        0.347       222259.7    0.3011      708.70      116.305       -1.620        0.127     1.15675
  75     18.385      116.049         294.782        0.250       214468.5    0.3004      708.69      116.055        2.859        0.089     1.12045
  76     18.549      116.211         306.332        0.165       206333.7    0.3021      708.61      116.215        7.229        0.053     1.08238
  77     19.191      116.841         317.848        0.068       197985.9    0.3062      708.56      116.845       11.437        0.008     1.04308
  78     20.091      117.724         329.664       -0.014       189416.3    0.3128      708.62      117.727       15.510       -0.031     1.00241
  79     21.387      118.994         341.132       -0.110       180717.5    0.3217      708.72      118.997       19.184       -0.076     0.96074
  80     22.182      119.774         350.145       -0.179       172418.7    0.3293      708.66      119.777       21.894       -0.109     0.92049
  81     21.242      118.851         354.650       -0.177       165666.5    0.3312      708.78      118.855       23.509       -0.113     0.88690
  82     18.386      116.050         355.131       -0.398       160691.5    0.3265      709.11      116.056       24.583       -0.236     0.86147
  83     15.116      112.842         353.529       -0.564       157001.3    0.3198      709.39      112.850       25.156       -0.358     0.84221
  84     12.486      110.263         349.238       -0.505       153652.8    0.3175      709.10      110.272       24.122       -0.422     0.82476
  85      9.189      107.013         338.875       -0.597       150877.4    0.3239      708.59      107.040       20.769       -1.112     0.80959
  86      5.565      102.333         323.775       -0.839       149179.9    0.3379      708.43      103.487       16.752       -1.645     0.79921
  87      2.025       97.476         311.569       -0.959       148680.2    0.3476      708.85      100.017       13.379       -1.765     0.79452
  88     -1.485       94.577         306.676       -0.856       148642.6    0.3458      709.39       96.576       10.221       -2.002     0.79220
  89     -3.833       93.835         307.942       -0.800       148296.1    0.3366      709.67       94.274        7.496       -3.036     0.78903
  90     -4.021       94.040         312.805       -0.940       147348.2    0.3242      709.83       94.090        6.374       -1.583     0.78373
  91     -3.436       94.642         319.626       -0.852       145923.8    0.3091      709.95       94.663        7.008       -0.868     0.77669
  92     -2.361       95.706         326.883       -0.635       144067.3    0.2955      710.03       95.717        9.227       -0.565     0.76800
  93     -0.548       97.486         333.389       -0.602       141816.2    0.2881      709.91       97.495       12.926       -0.526     0.75771
  94      1.201       99.200         339.261       -0.728       138985.5    0.2848      709.76       99.209       17.678       -0.615     0.74455
  95      4.363      102.299         348.543       -0.904       136138.2    0.2857      710.30      102.309       23.998       -0.735     0.73156
  96      7.737      105.610         357.267       -0.322       133099.4    0.2863      710.20      105.617       30.282       -0.391     0.71802
  97      1.770       99.757         357.911        0.353       132575.5    0.2712      709.18       99.767       34.457        0.021     0.71512
  98    -12.522       85.726         342.908        0.278       135133.2    0.2482      708.59       85.756       28.701        0.205     0.72346
  99    -21.751       76.692         329.639       -0.262       138994.8    0.2468      709.36       76.708       23.488       -0.153     0.73873
 100    -16.510       81.834         332.292       -0.819       141305.8    0.2550      710.37       81.846       25.495       -0.614     0.75048
 101     -9.962       88.257         340.136       -0.852       140098.8    0.2647      709.55       88.266       29.079       -0.631     0.74774
 102     -6.747       91.410         348.518       -0.852       139630.2    0.2694      710.09       91.417       32.321       -0.673     0.74723
 103     -5.470       92.661         355.033       -0.969       138153.5    0.2720      709.73       92.669       35.167       -0.802     0.74179
 104     -4.856       93.258         360.115       -1.211       137273.8    0.2737      710.26       93.271       37.349       -1.100     0.73804
 105     -6.779       91.371         364.642       -1.232       135403.5    0.2735      709.62       91.386       39.962       -1.264     0.72993
 106     -5.570       92.557         368.466       -1.262       134868.0    0.2764      710.68       92.571       41.386       -1.168     0.72707
 107     -8.439       89.756         370.463       -0.620       133081.7    0.2732      709.76       89.759       43.150       -0.515     0.71875
 108     -6.344       91.805         372.801       -1.056       134564.0    0.2772      712.66       91.813       43.417       -0.824     0.72442
 109    -21.806       76.652         367.605       -0.444       131334.5    0.2472      708.83       76.654       46.985       -0.485     0.70794
 110    -23.438       75.049         341.118       -0.725       135958.6    0.2068      706.68       75.055       38.473       -0.642     0.72578
 111    -57.558       41.580         396.650       -1.493       135501.3    0.2424      725.47       41.607       69.970       -2.055     0.71945
 112    -40.886       57.811         328.930        4.007       139294.3    0.1499      689.64       57.950       38.687        3.956     0.75706
 113     12.504      -82.197         233.052      -25.934       130346.6    0.2828      661.92      110.290      -14.274      -13.528     0.72095
 114     40.615     -124.817         204.095       -6.056       124322.4    0.3845      629.18      137.847      -20.683       -2.900     0.72492
 115     75.834     -161.672         225.266        2.072       129891.2    0.4532      640.59      172.373      -11.594        0.368     0.75731
 116     83.711     -168.543         242.392        1.434       129448.7    0.4831      648.13      180.095       -4.824        1.262     0.75402
 117     83.866     -171.147         255.334        0.167       133785.8    0.4888      652.02      180.247       -0.637        0.006     0.77946
 118     67.764     -157.552         267.784        0.505       136735.6    0.4734      652.52      164.462        0.039        1.175     0.79741
 119     49.907     -142.416         276.547        0.144       140753.8    0.4597      653.30      146.956        2.753        0.077     0.82027
 120     31.750     -125.739         287.623       -0.328       143098.0    0.4472      654.84      129.157        6.778       -0.402     0.83369
 121     21.850     -113.733         302.569        0.235       144829.1    0.4409      659.16      119.451       11.858       -0.271     0.84213
 122     15.160     -103.641         316.431        0.749       145153.6    0.4424      662.40      112.894       16.092       -0.661     0.84440
 123     11.964      -96.941         327.129        0.555       145577.8    0.4493      665.07      109.760       19.006       -0.014     0.84756
 124      8.886      -90.413         336.728        0.540       145382.4    0.4580      667.42      106.743       21.406       -0.502     0.84742
 125      7.113      -85.397         345.171        0.379       144972.9    0.4693      669.54      105.005       22.984       -0.142     0.84637
 126      4.306      -79.396         353.413        0.355       144375.0    0.4800      671.25      102.253       24.375       -0.523     0.84466
 127      1.839      -73.910         360.889        0.033       143672.7    0.4910      672.93       99.834       25.266       -0.410     0.84227
 128     -2.719      -66.079         368.422       -0.903       142923.9    0.5016      674.63       95.366       26.547       -1.361     0.83958
 129     -9.917      -55.343         376.697       -2.346       142145.1    0.5122      676.68       88.310       28.190       -3.483     0.83658
 130    -18.731      -40.269         384.213       -3.633       141425.8    0.5207      677.97       79.669       30.119       -6.185     0.83443
 131    -23.671      -25.587         388.077       -4.190       140288.4    0.5246      677.27       74.827       31.042       -6.888     0.83055
 132    -25.551      -12.372         386.311       -3.290       138890.7    0.5190      675.82       72.984       30.901       -3.725     0.82312
 133     -9.403       -3.890         364.612       -2.641       138616.5    0.5109      672.17       88.813       21.257       -1.783     0.81816
 134      2.085        6.896         348.551       -2.089       136809.8    0.5154      667.14      100.075       12.329       -1.566     0.80924
 135      0.641       13.470         340.709       -1.605       136933.1    0.5000      665.11       98.660       10.403       -1.495     0.80883
 136     -1.319       15.950         328.364       -0.993       137646.5    0.4865      662.47       96.738        6.852       -1.108     0.81080
 137     -4.160       18.595         319.761       -0.707       138283.3    0.4717      660.63       93.954        3.792       -0.999     0.81284
 138     -5.121       23.598         313.574       -0.809       138223.2    0.4676      659.13       93.012        0.420       -1.453     0.81193
 139     -8.450       27.933         310.091       -0.948       138415.6    0.4611      658.78       89.747       -2.740       -2.295     0.81195
 140     -7.162       36.079         306.102       -0.631       138104.0    0.4621      657.65       91.011       -8.387       -3.026     0.80998
 141     -6.820       42.614         299.002       -0.110       138442.2    0.4559      655.72       91.346      -12.329       -3.512     0.81106
 142    -14.509       40.363         287.795        0.454       140658.6    0.4301      653.56       83.808      -12.839       -3.501     0.82042
