Span station K = 1

J    %dVm      Vx(m/s)     Vtheta(m/s)   Vr(m/s)      Pstat(Pa)    Mrel      T0(K)      Vm(m/s)     Swirl(deg)  Pitch(deg)  Density
 255     14.320      112.049           1.924       -1.380       116469.8    0.6317      573.25      112.070      -67.704       -0.782     0.71876
 256     16.399      114.089           3.607       -1.253       116215.4    0.6303      573.13      114.107      -67.305       -0.713     0.71749
 257     18.233      115.890           5.280       -1.190       116058.4    0.6287      573.14      115.905      -66.930       -0.667     0.71670
 258     20.563      118.176           6.735       -1.153       115734.5    0.6283      573.04      118.190      -66.506       -0.639     0.71509
 259     23.167      120.732           8.644       -1.000       115451.3    0.6272      573.04      120.743      -66.019       -0.556     0.71367
 260     25.772      123.285          11.152       -1.099       115088.5    0.6253      572.95      123.296      -65.493       -0.603     0.71184
 261     26.660      124.157          14.189       -1.065       114932.2    0.6206      572.83      124.167      -65.176       -0.584     0.71104
 262     28.097      125.568          16.912       -0.765       114753.6    0.6173      572.79      125.576      -64.776       -0.438     0.71018
 263     30.067      127.501          20.010       -0.719       114366.8    0.6142      572.61      127.507      -64.282       -0.422     0.70830
 264     31.308      128.717          23.415       -0.728       114114.7    0.6097      572.55      128.724      -63.856       -0.423     0.70701
 265     32.877      130.256          27.117       -0.467       113791.4    0.6053      572.44      130.261      -63.360       -0.305     0.70545
 266     34.798      132.140          31.562       -0.361       113386.1    0.6002      572.32      132.145      -62.725       -0.270     0.70346
 267     35.522      132.849          36.424       -0.559       113045.4    0.5932      572.10      132.855      -62.205       -0.364     0.70180
 268     35.907      133.226          41.549       -0.528       112804.3    0.5853      571.97      133.232      -61.684       -0.352     0.70069
 269     36.584      133.890          47.171       -0.346       112372.2    0.5774      571.69      133.895      -61.062       -0.287     0.69870
 270     37.376      134.667          53.590       -0.186       111940.9    0.5685      571.49      134.672      -60.307       -0.243     0.69670
 271     37.869      135.150          60.711       -0.145       111375.3    0.5583      571.16      135.155      -59.474       -0.242     0.69406
 272     37.885      135.164          68.196       -0.131       110881.2    0.5471      571.05      135.170      -58.590       -0.258     0.69157
 273     37.365      134.655          76.199        0.089       110237.8    0.5349      570.78      134.662      -57.652       -0.191     0.68838
 274     36.840      134.139          84.258        0.312       109671.2    0.5228      570.53      134.147      -56.613       -0.114     0.68572
 275     35.784      133.103          93.038        0.257       108885.6    0.5095      570.11      133.112      -55.516       -0.177     0.68198
 276     34.174      131.523         102.002        0.490       108205.4    0.4950      569.82      131.533      -54.306       -0.086     0.67869
 277     32.250      129.636         110.790        0.526       107344.4    0.4808      569.46      129.647      -53.077       -0.094     0.67446
 278     29.721      127.157         119.460        0.421       106664.0    0.4658      569.26      127.168      -51.829       -0.106     0.67104
 279     25.804      123.314         126.052        0.804       105751.7    0.4551      568.84      123.328      -50.860        0.127     0.66646
 280     21.342      118.936         135.958        0.574       104981.0    0.4371      568.87      118.953      -49.743       -0.289     0.66225
 281     21.489      119.082         146.636        0.490       103842.6    0.4188      568.82      119.097      -47.343       -0.187     0.65626
 282     20.191      117.811         153.952        0.722       102409.8    0.4085      568.29      117.825      -45.401        0.089     0.64886
 283     16.840      114.526         162.869        0.612       101462.8    0.3940      568.46      114.541      -43.629        0.001     0.64354
 284     15.009      112.731         172.196        0.704        99931.9    0.3801      568.21      112.745      -41.315        0.046     0.63539
 285     12.664      110.431         181.304        0.815        98490.5    0.3667      568.13      110.446      -39.006        0.119     0.62748
 286     11.147      108.944         190.389        0.796        96802.1    0.3546      568.03      108.960      -36.368        0.116     0.61819
 287      9.514      107.344         198.901        0.686        95101.9    0.3434      567.94      107.358      -33.724        0.088     0.60871
 288      8.158      106.015         207.155        0.648        93394.3    0.3329      567.91      106.029      -30.994        0.091     0.59912
 289      7.344      105.217         215.319        0.660        91591.2    0.3240      567.95      105.232      -28.089        0.114     0.58891
 290      6.396      104.289         222.937        0.557        89798.9    0.3150      567.99      104.302      -25.235        0.085     0.57872
 291      5.389      103.303         228.966        0.430        88155.2    0.3062      568.08      103.315      -22.744        0.036     0.56921
 292      3.595      101.545         232.438        0.359        86737.5    0.2979      568.15      101.556      -20.986        0.029     0.56072
 293      0.885       98.889         232.788        0.228        85748.6    0.2899      568.36       98.899      -20.249       -0.009     0.55436
 294     -2.601       95.473         231.013        0.105        85066.2    0.2825      568.51       95.482      -20.393       -0.062     0.54965
 295     -5.772       92.363         229.243        0.039        84646.8    0.2762      568.80       92.373      -20.777       -0.123     0.54645
 296     -8.397       89.788         228.478       -0.176        84179.0    0.2703      568.96       89.800      -21.015       -0.266     0.54317
 297    -10.425       87.800         228.710       -0.248        83735.0    0.2651      569.20       87.812      -20.940       -0.286     0.54011
 298    -11.662       86.586         229.673       -0.254        83089.7    0.2619      569.17       86.599      -20.503       -0.263     0.53618
 299    -12.564       85.700         231.505       -0.354        82406.3    0.2592      569.28       85.715      -19.696       -0.393     0.53206
 300    -12.406       85.852         233.767       -0.399        81701.6    0.2582      569.50       85.870      -18.641       -0.500     0.52783
 301    -11.774       86.471         235.856       -0.548        80986.0    0.2581      569.50       86.490      -17.641       -0.576     0.52367
 302    -11.468       86.772         238.193       -0.571        80284.4    0.2573      569.45       86.789      -16.674       -0.561     0.51963
 303    -10.595       87.630         240.475       -0.501        79577.1    0.2577      569.44       87.645      -15.675       -0.502     0.51556
 304    -10.174       88.042         242.336       -0.643        78856.6    0.2580      569.26       88.058      -14.881       -0.588     0.51146
 305     -9.714       88.492         244.070       -0.655        78283.0    0.2587      569.29       88.509      -14.060       -0.627     0.50810
 306     -9.169       89.026         245.254       -0.441        77615.5    0.2601      569.12       89.043      -13.498       -0.517     0.50425
 307     -7.707       90.461         248.131       -0.498        77227.1    0.2598      569.59       90.476      -12.425       -0.518     0.50180
 308     -6.706       91.448         249.025       -0.582        76738.3    0.2589      568.95       91.458      -12.246       -0.403     0.49932
 309     -8.070       90.113         247.773       -0.575        77355.2    0.2551      569.16       90.121      -13.014       -0.163     0.50251
 310    -10.485       87.735         242.692       -0.678        77889.6    0.2590      568.49       87.753      -14.864       -0.013     0.50559
 311     -9.074       89.109         241.041       -1.069        78575.7    0.2653      568.06       89.137      -14.406       -0.220     0.51028
 312     -2.117       95.928         248.998       -1.444        78632.1    0.2705      568.35       95.957      -10.063       -0.480     0.51233
 313      4.327      102.252         258.607       -1.418        77517.1    0.2751      567.39      102.273       -5.704       -0.539     0.50832
 314      6.898      104.774         266.501       -1.374        76944.9    0.2745      567.07      104.793       -2.314       -0.559     0.50654
 315      9.797      107.615         273.266       -1.406        76209.0    0.2772      566.82      107.636        0.567       -0.571     0.50353
 316     11.348      109.134         279.485       -1.341        75466.5    0.2795      566.56      109.157        3.133       -0.531     0.50035
 317     13.473      111.215         285.033       -1.656        74735.1    0.2843      566.55      111.239        5.421       -0.696     0.49698
 318     14.650      112.367         290.075       -1.087        74050.4    0.2878      566.43      112.393        7.493       -0.329     0.49382
 319     16.472      114.138         294.110       -2.649        73410.5    0.2923      566.62      114.180        9.199       -1.302     0.49050
 320     16.310      113.969         298.100        0.708        72889.6    0.2938      566.14      114.020       10.875        0.927     0.48847
 321     17.719      115.182         300.489       -6.362        72702.0    0.2962      566.87      115.402       11.928       -3.603     0.48723
 322     12.154      109.606         300.278        7.258        71660.7    0.2847      565.76      109.947       12.249        4.956     0.48052
 323    -44.784       54.110         267.993       -1.457        77639.9    0.1195      570.45       54.129       -2.941       -1.542     0.50291
 324    -42.723       53.466         269.199      -17.152        77927.5    0.1240      569.69       56.150       -1.607      -16.986     0.50584
 325    -32.088       61.848         292.588       -1.280        76779.8    0.1714      574.81       66.575       25.265       -1.816     0.50031
 326    -42.624       52.462         285.382       -0.729        76956.4    0.1420      569.94       56.247       29.264       -3.476     0.50388
 327    -44.911       46.325         272.438        1.020        76797.4    0.1324      563.22       54.004       -5.740        4.616     0.50627
 328    -45.340       37.087         261.538        1.661        76769.8    0.1475      558.43       53.584      -17.154        6.332     0.50849
 329    -42.091       26.488         256.512        1.836        76588.4    0.1614      556.16       56.769      -19.353        5.442     0.50860
 330    -34.539       14.601         251.004        1.357        76415.8    0.1863      554.35       64.172      -18.275        2.927     0.50848
 331    -26.529        3.983         245.421        0.167        76174.9    0.2162      552.68       72.024      -16.626        2.003     0.50813
 332    -20.825       -4.007         245.860       -0.588        76135.7    0.2319      552.60       77.617      -14.419        1.003     0.50861
 333    -17.986       -8.124         249.040       -1.247        76084.0    0.2373      552.89       80.399      -12.373       -0.566     0.50890
 334    -17.664      -10.291         252.211       -1.571        76188.2    0.2400      553.37       80.715      -11.302       -0.578     0.50996
 335    -18.099      -10.911         255.637       -1.976        76266.2    0.2414      553.94       80.289       -9.918       -1.362     0.51077
 336    -19.393      -10.631         258.810       -2.372        76414.3    0.2419      554.60       79.020       -8.686       -1.911     0.51188
 337    -21.658       -9.165         262.120       -2.765        76537.3    0.2419      555.21       76.800       -7.464       -2.642     0.51287
 338    -24.532       -6.950         265.536       -3.084        76721.4    0.2410      555.97       73.982       -6.144       -3.416     0.51414
 339    -27.893       -3.817         268.934       -3.362        76865.7    0.2396      556.66       70.688       -4.844       -3.275     0.51518
 340    -31.760        0.021         272.311       -3.947        77038.0    0.2375      557.42       66.897       -3.543       -4.220     0.51632
 341    -37.065        5.721         275.936       -5.180        77189.5    0.2337      558.21       61.697       -2.179       -7.156     0.51732
 342    -44.057       13.727         279.450       -6.467        77376.2    0.2260      559.10       54.842       -0.854      -10.503     0.51835
 343    -52.229       23.813         282.240       -6.627        77439.6    0.2191      559.78       46.830        0.677      -16.953     0.51871
 344    -57.004       32.379         285.445       -5.777        77548.4    0.2233      561.23       42.150        4.189      -21.136     0.51895
 345    -52.174       43.675         287.625       -4.947        76693.6    0.2409      561.26       46.885        3.697      -14.639     0.51421
 346    -46.147       51.656         289.086       -3.742        76252.1    0.2558      561.48       52.793        4.642       -9.308     0.51189
 347    -39.347       58.674         291.587       -3.259        75912.0    0.2692      562.20       59.459        5.209       -5.472     0.51004
 348    -32.320       65.687         294.874       -3.041        75494.6    0.2827      562.97       66.348        5.666       -3.648     0.50784
 349    -25.536       72.456         298.525       -2.687        75069.8    0.2950      563.82       72.998        6.037       -2.421     0.50561
 350    -18.646       79.282         302.963       -2.311        74549.8    0.3086      564.83       79.752        6.482       -1.573     0.50284
 351    -10.896       87.053         307.017       -2.305        74056.9    0.3224      566.01       87.350        6.380       -1.500     0.50008
 352     -4.130       93.767         308.100       -2.169        73611.3    0.3292      566.11       93.983        5.980       -1.424     0.49762
 353     -0.555       97.283         308.139       -1.856        73559.0    0.3304      566.27       97.488        5.926       -1.133     0.49724
 354      3.736      101.512         309.483       -1.660        73303.2    0.3364      566.66      101.694        5.901       -0.945     0.49583
 355      8.635      106.338         310.957       -1.425        72925.3    0.3444      567.01      106.497        5.686       -0.778     0.49378
 356     14.530      112.155         311.932       -1.321        72507.9    0.3535      567.31      112.276        5.231       -0.723     0.49147
 357     19.398      116.954         310.967       -1.200        72178.2    0.3582      567.01      117.048        4.520       -0.674     0.48961
 358     22.317      119.823         309.489       -1.026        72047.2    0.3594      566.65      119.909        3.983       -0.545     0.48883
 359     26.046      123.489         309.546       -0.917        71787.3    0.3648      566.75      123.565        3.597       -0.470     0.48736
 360     31.242      128.598         308.975       -0.823        71346.5    0.3725      566.59      128.658        2.850       -0.438     0.48491
 361     35.210      132.498         306.646       -0.732        71079.0    0.3760      565.99      132.549        1.933       -0.395     0.48336
 362     37.580      134.826         304.319       -0.615        70927.0    0.3768      565.36      134.872        1.188       -0.321     0.48247
 363     41.091      138.274         303.230       -0.546        70669.6    0.3820      565.19      138.314        0.513       -0.283     0.48101
 364     45.790      142.887         300.806       -0.477        70220.0    0.3886      564.53      142.920       -0.624       -0.272     0.47847
 365     48.890      145.930         297.120       -0.379        69991.1    0.3913      563.62      145.959       -1.841       -0.230     0.47711
 366     51.955      148.939         293.674       -0.348        69788.6    0.3944      562.90      148.964       -2.922       -0.209     0.47588
 367     54.082      151.026         289.279       -0.271        69552.1    0.3955      561.70      151.049       -4.212       -0.176     0.47446
 368     56.153      153.059         285.389       -0.245        69424.4    0.3975      560.88      153.080       -5.443       -0.163     0.47367
 369     59.653      156.493         280.775       -0.204        69059.6    0.4029      559.76      156.511       -6.940       -0.160     0.47155
 370     61.681      158.482         274.805       -0.133        68816.0    0.4047      558.27      158.499       -8.597       -0.135     0.47004
 371     63.047      159.823         269.260       -0.116        68698.1    0.4060      557.05      159.838      -10.124       -0.125     0.46925
 372     65.136      161.871         263.113       -0.070        68411.9    0.4096      555.55      161.886      -11.862       -0.116     0.46755
 373     67.085      163.783         256.107       -0.030        68142.5    0.4134      553.91      163.797      -13.781       -0.113     0.46592
 374     68.517      165.188         248.291        0.006        67862.7    0.4169      552.00      165.200      -15.816       -0.106     0.46424
 375     69.378      166.032         239.947        0.047        67627.7    0.4199      550.02      166.044      -17.927       -0.093     0.46281
 376     70.216      166.854         231.160        0.073        67337.0    0.4241      547.91      166.865      -20.117       -0.089     0.46109
 377     70.840      167.465         221.496        0.108        67000.6    0.4292      545.57      167.477      -22.460       -0.085     0.45912
 378     70.970      167.593         211.319        0.143        66651.6    0.4347      543.18      167.604      -24.863       -0.081     0.45702
 379     70.784      167.410         200.700        0.161        66279.1    0.4410      540.73      167.422      -27.320       -0.089     0.45478
 380     70.192      166.830         189.502        0.175        65848.6    0.4481      538.05      166.842      -29.859       -0.095     0.45225
 381     68.966      165.628         178.353        0.197        65429.7    0.4553      535.41      165.640      -32.320       -0.090     0.44978
 382     67.438      164.129         167.581        0.217        65010.2    0.4628      532.91      164.142      -34.622       -0.083     0.44730
 383     65.559      162.286         156.747        0.252        64542.5    0.4710      530.38      162.300      -36.927       -0.070     0.44453
 384     63.404      160.173         146.356        0.309        64074.1    0.4794      528.00      160.188      -39.064       -0.044     0.44175
 385     61.020      157.835         136.441        0.382        63585.3    0.4880      525.73      157.851      -41.095       -0.010     0.43885
 386     58.529      155.392         126.733        0.459        63079.5    0.4971      523.56      155.408      -43.041        0.028     0.43584
 387     55.670      152.588         117.377        0.539        62532.9    0.5062      521.44      152.606      -44.938        0.066     0.43257
 388     52.384      149.364         108.597        0.625        62020.1    0.5145      519.51      149.384      -46.744        0.113     0.42946
 389     48.551      145.605         100.535        0.705        61512.2    0.5217      517.69      145.627      -48.472        0.171     0.42639
 390     44.454      141.587          93.033        0.785        61086.1    0.5283      516.11      141.611      -50.189        0.234     0.42374
 391     40.053      137.270          86.793        0.864        60646.5    0.5331      514.68      137.296      -51.676        0.302     0.42104
 392     34.980      132.293          81.038        0.918        60319.3    0.5366      513.44      132.323      -53.347        0.363     0.41894
 393     30.371      127.771          75.756        0.975        60012.7    0.5405      512.37      127.805      -54.930        0.437     0.41694
 394     25.585      123.073          72.193        1.052        59706.7    0.5418      511.51      123.113      -56.285        0.532     0.41496
 395     20.227      117.814          69.925        1.081        59588.4    0.5401      511.03      117.860      -57.699        0.608     0.41399
 396     15.146      112.829          69.343        1.084        59461.0    0.5359      510.80      112.880      -58.926        0.679     0.41292
 397     10.178      107.961          70.410        1.008        59381.5    0.5287      510.96      108.010      -60.022        0.719     0.41201
 398      5.751      103.632          72.339        0.805        59321.0    0.5205      511.33      103.669      -60.920        0.690     0.41122
 399      1.899       99.868          74.352        0.557        59249.1    0.5129      511.70       99.894      -61.656        0.619     0.41044
 400     -1.575       96.468          75.824        0.350        59163.2    0.5069      511.93       96.487      -62.379        0.554     0.40970
 401     -4.640       93.465          77.052        0.279        59110.6    0.5021      512.12       93.483      -62.993        0.572     0.40923
 402     -7.601       90.560          78.084        0.325        59113.8    0.4976      512.35       90.580      -63.612        0.695     0.40909
 403    -10.585       87.633          79.091        0.327        59127.2    0.4932      512.55       87.655      -64.290        0.775     0.40905
 404    -13.503       84.773          80.096        0.257        59156.1    0.4888      512.70       84.795      -64.895        0.663     0.40914
 405    -16.184       82.145          80.789        0.120        59249.3    0.4851      512.82       82.166      -65.571        0.110     0.40965
 406    -18.446       79.902          81.478        0.003        59336.8    0.4819      512.83       79.948      -66.077       -1.678     0.41020
 407    -20.043       78.222          82.023       -0.041        59518.7    0.4794      513.03       78.383      -66.376       -1.894     0.41124
 408    -21.953       76.206          82.937       -0.078        59654.0    0.4755      513.08       76.510      -66.975       -1.461     0.41204
 409    -23.025       75.102          84.222       -0.041        59933.1    0.4720      513.55       75.460      -66.754       -0.731     0.41358
 410    -25.557       72.462          86.129       -0.073        59988.3    0.4652      513.44       72.978      -67.498       -0.823     0.41397
 411    -26.176       71.792          87.480       -0.119        60619.2    0.4614      514.41       72.371      -67.065       -1.268     0.41737
 412    -28.344       69.523          88.047       -0.295        60890.1    0.4571      514.18       70.246      -67.469       -1.871     0.41910
 413    -30.567       67.329          86.510       -0.457        61421.0    0.4568      514.31       68.066      -68.485       -1.893     0.42226
 414    -35.525       62.343          97.863        0.212        61661.7    0.4296      518.26       63.206      -64.714        0.289     0.42183
 415    -42.317       43.403         126.828        0.663        61314.2    0.4043      524.66       56.547      -45.762        1.581     0.41875
 416    -40.472       28.868         148.484        0.275        61784.7    0.3960      529.20       58.356      -38.437        0.629     0.42164
 417    -47.297       22.687         148.449       -0.518        61691.3    0.3657      526.92       51.665      -39.462       -0.314     0.42175
 418    -55.302       26.658         132.296       -1.294        62263.8    0.3528      523.37       43.818      -53.528       -2.574     0.42517
 419    -62.449       35.846         119.137       -1.196        63157.4    0.3581      522.06       36.812      -74.821       -6.461     0.42980
 420    -54.246       44.295         111.490       -1.048        63158.6    0.3802      520.31       44.854      -70.896       -2.685     0.43008
 421    -47.837       50.911         107.554       -0.796        63202.6    0.3941      519.56       51.137      -69.281       -1.178     0.43055
 422    -42.910       55.482         103.496       -0.605        63101.1    0.4065      518.80       55.967      -68.633       -0.461     0.43010
 423    -38.509       59.970          99.091       -0.875        62793.7    0.4201      517.49       60.281      -68.051       -2.179     0.42887
 424    -34.962       63.376          93.422       -0.853        62938.3    0.4351      516.85       63.758      -67.775       -3.520     0.43015
 425    -33.753       64.920          79.994       -1.472        62880.3    0.4625      514.14       64.943      -69.505       -1.604     0.43100
 426    -33.899       64.788          69.247       -0.494        62781.4    0.4832      512.06       64.800      -71.245        0.021     0.43114
 427    -34.794       63.916          62.090        0.003        62639.5    0.4970      510.58       63.922      -72.426        0.265     0.43083
 428    -35.414       63.312          57.803       -0.247        62558.3    0.5054      509.69       63.314      -73.076       -0.146     0.43069
 429    -35.501       63.227          54.988       -0.197        62495.1    0.5112      509.17       63.230      -73.406       -0.119     0.43049
 430    -35.212       63.510          53.546       -0.253        62373.0    0.5143      508.79       63.512      -73.507       -0.219     0.42988
 431    -34.639       64.071          52.606       -0.382        62282.2    0.5166      508.40       64.075      -73.478       -0.349     0.42953
 432    -33.784       64.909          52.982       -0.392        62226.3    0.5160      508.56       64.913      -73.277       -0.366     0.42903
 433    -32.342       66.324          52.458       -0.464        62197.3    0.5181      508.10       66.327      -72.998       -0.430     0.42925
 434    -30.675       67.951          46.524       -0.878        62115.0    0.5321      507.62       67.961      -73.060       -0.795     0.42893
