Span station K = 33

J    %dVm      Vx(m/s)     Vtheta(m/s)   Vr(m/s)      Pstat(Pa)    Mrel      T0(K)      Vm(m/s)     Swirl(deg)  Pitch(deg)  Density
--------------------------------------------------------------------------------------------------------------------------------------------
   1     -1.560       61.975           0.000        0.458       341463.4    0.6310      709.01       61.977      -79.117        0.423     1.68206
   2     -5.388       59.526           0.026        0.283       341445.6    0.6305      708.06       59.567      -79.530        0.203     1.68393
   3     -4.487       60.115           0.925       -0.420       341662.4    0.6291      707.98       60.134      -79.405       -0.407     1.68528
   4     -3.466       60.748           1.633       -1.125       341590.0    0.6282      707.71       60.777      -79.270       -1.021     1.68567
   5     -3.322       60.833           2.489       -1.355       341692.3    0.6268      707.56       60.868      -79.223       -1.232     1.68657
   6     -5.678       59.338           2.675       -0.595       341677.0    0.6258      707.79       59.385      -79.474       -0.700     1.68576
   7     -9.541       56.843           2.330        0.549       341599.2    0.6253      708.29       56.953      -79.906        0.256     1.68390
   8    -13.524       54.249           1.422        1.487       341731.4    0.6260      708.74       54.444      -80.365        1.262     1.68322
   9    -17.425       51.767          -0.875        1.770       341674.3    0.6296      708.76       51.989      -80.852        1.842     1.68268
  10    -20.006       50.166          -3.559        1.453       341878.0    0.6343      708.64       50.364      -81.195        1.600     1.68388
  11    -21.800       49.031          -6.176        0.795       341906.6    0.6392      708.16       49.234      -81.448        0.954     1.68514
  12    -22.413       48.587          -8.510        0.352       342091.4    0.6437      707.77       48.848      -81.564        0.475     1.68706
  13    -23.359       47.836         -10.426        0.381       342054.3    0.6473      707.54       48.253      -81.704        0.716     1.68749
  14    -24.298       47.044         -11.593        0.719       342193.2    0.6494      707.67       47.662      -81.823        1.250     1.68790
  15    -25.575       46.069         -11.663        1.115       342036.1    0.6493      707.74       46.858      -81.957        1.898     1.68696
  16    -25.815       45.827         -11.680        1.470       342210.2    0.6494      707.47       46.707      -81.984        2.061     1.68854
  17    -25.654       45.789         -12.184        1.897       342071.1    0.6505      707.48       46.808      -81.983        2.416     1.68795
  18    -24.452       46.203         -12.710        3.152       342312.3    0.6511      708.71       47.565      -81.872        3.683     1.68640
  19    -24.074       45.712         -13.278        4.692       342178.1    0.6516      710.20       47.802      -81.850        5.360     1.68234
  20    -24.853       44.472         -12.765        5.257       342415.8    0.6509      709.39       47.312      -81.918        6.371     1.68561
  21    -28.394       41.950         -12.325        5.060       342063.7    0.6513      706.08       45.083      -82.279        7.862     1.69185
  22    -33.582       39.808         -11.122        2.182       342285.4    0.6512      701.20       41.816      -82.762        5.042     1.70537
  23    -31.126       38.011         -19.185       -3.152       341889.7    0.6714      694.19       43.363      -82.623       -6.608     1.72303
  24    -24.130       38.699         -32.686       -7.369       342192.9    0.7030      689.58       47.767      -82.133       -9.441     1.74101
  25     -9.759       38.377         -45.862      -14.113       339905.0    0.7381      683.89       56.815      -81.039      -10.984     1.75181
  26      1.150       41.293         -61.846      -25.375       339830.1    0.7782      673.63       63.683      -80.712      -17.121     1.78146
  27     -1.609       40.079         -58.504      -18.808       346096.2    0.7663      688.27       61.946      -80.898      -10.309     1.78803
  28     20.050       43.339          -8.589       18.439       345499.4    0.6792      723.60       75.582      -74.914        0.980     1.70348
  29     31.852       41.191          47.022       43.825       344344.8    0.6094      720.56       83.013      -67.934        9.258     1.70339
  30     -2.182       33.819          31.505       21.757       341986.3    0.5963      682.75       61.586      -76.833        7.934     1.76591
  31     -4.217       31.283          -7.989       -7.774       337286.7    0.6747      665.20       60.305      -79.723       -5.456     1.78977
  32     -8.780       34.127         -17.284       -5.262       334833.3    0.6792      686.80       57.432      -80.405       -2.065     1.71691
  33      4.126       40.064          -7.972       16.984       333850.3    0.6465      723.06       65.557      -78.870        6.962     1.63409
  34      6.169       43.150          -8.697       15.150       334908.4    0.6483      721.47       66.844      -78.674        4.017     1.63519
  35     -1.227       46.215          -9.128       10.218       335338.4    0.6498      714.24       62.187      -79.304        4.630     1.64633
  36     -3.867       50.131          -9.034        7.878       335960.1    0.6462      718.66       60.525      -79.696        7.329     1.63858
  37    -10.307       53.693          -9.594       -0.716       335721.3    0.6461      720.01       56.470      -80.470        2.062     1.63401
  38      0.161       55.285          -5.978       -9.562       336049.9    0.6414      720.25       63.061      -79.342       -6.007     1.63507
  39      8.990       57.241          -3.389      -13.200       335792.3    0.6391      720.44       68.620      -78.410       -7.435     1.63389
  40     11.706       59.572          -1.125      -12.216       336118.8    0.6350      721.15       70.329      -78.189       -7.579     1.63388
  41     12.074       62.150           0.261      -10.690       336174.1    0.6314      723.28       70.561      -78.184       -7.975     1.62935
  42     15.128       64.834          -0.533      -11.729       336508.5    0.6327      726.50       72.484      -77.926       -9.365     1.62430
  43     22.212       68.197          -0.110      -14.843       335935.9    0.6327      730.86       76.944      -77.219      -11.560     1.61304
  44     27.764       69.036          -0.078      -17.965       336106.5    0.6328      735.25       80.439      -76.597      -12.454     1.60541
  45     32.688       71.241          -1.397      -19.799       336105.9    0.6376      734.41       83.540      -76.155      -12.774     1.60767
  46     35.172       74.892          -1.961      -19.467       335816.8    0.6417      731.03       85.103      -76.016      -13.629     1.61357
  47     35.494       78.172          -2.321      -17.447       335765.1    0.6443      729.51       85.306      -76.039      -13.485     1.61718
  48     38.912       81.623          -1.494      -16.197       335738.8    0.6447      730.21       87.458      -75.685      -12.016     1.61642
  49     44.341       84.700           0.139      -16.627       335447.9    0.6442      729.82       90.877      -75.039      -10.875     1.61660
  50     50.615       87.799           3.241      -20.111       335520.5    0.6425      726.82       94.826      -74.260      -12.658     1.62429
  51     56.532       91.418           9.567      -24.309       334843.5    0.6354      723.44       98.552      -73.423      -16.519     1.62921
  52     60.607       93.628          17.221      -27.002       334338.1    0.6247      721.40      101.117      -72.708      -18.906     1.63193
  53     63.465       95.396          23.702      -27.862       333417.1    0.6165      720.11      102.916      -72.182      -19.861     1.63121
  54     63.841       96.631          28.750      -26.542       332458.1    0.6104      720.19      103.154      -71.916      -19.602     1.62724
  55     63.306       98.297          33.567      -24.003       331291.8    0.6044      721.57      102.816      -71.699      -17.653     1.61941
  56     66.146      100.952          39.425      -21.523       329976.3    0.5977      722.32      104.604      -71.005       -9.559     1.61274
  57     71.896      104.222          46.948      -21.062       328437.7    0.5893      721.67      108.225      -69.851       -6.205     1.60826
  58     77.991      107.875          55.368      -21.910       326828.8    0.5801      720.06      112.062      -68.564       -5.610     1.60573
  59     84.143      111.564          64.114      -23.030       324986.4    0.5707      718.36      115.935      -67.157       -5.429     1.60230
