Span station K = 19

J    %dVm      Vx(m/s)     Vtheta(m/s)   Vr(m/s)      Pstat(Pa)    Mrel      T0(K)      Vm(m/s)     Swirl(deg)  Pitch(deg)  Density
  71     79.799      175.624         282.779       14.555       244634.0    0.4268      708.98      176.260      -10.750        4.471     1.29094
  72     78.679      174.456         298.833       15.159       238055.6    0.4236      708.99      175.162       -6.127        4.684     1.26293
  73     77.901      173.621         315.048       15.766       231132.1    0.4230      708.98      174.399       -1.386        4.901     1.23342
  74     77.756      173.408         331.481       16.373       223896.0    0.4258      709.02      174.257        3.419        5.107     1.20249
  75     78.063      173.641         348.249       16.958       216193.0    0.4320      709.04      174.558        8.252        5.295     1.16938
  76     78.696      174.203         365.182       17.491       208093.1    0.4414      708.99      175.179       13.029        5.456     1.13426
  77     79.585      175.015         382.599       18.043       199717.1    0.4547      709.09      176.050       17.776        5.617     1.09760
  78     80.664      176.000         400.832       18.715       190959.7    0.4726      709.43      177.108       22.402        5.815     1.05876
  79     81.797      177.036         417.808       19.391       181866.3    0.4920      709.31      178.218       26.323        6.006     1.01770
  80     81.612      176.865         428.602       19.271       174186.8    0.5029      708.65      178.038       28.729        5.908     0.98218
  81     78.497      173.892         431.995       17.505       170023.6    0.5000      708.64      174.983       29.861        5.097     0.96239
  82     74.239      169.609         433.602       14.608       168567.9    0.4927      709.37      170.809       31.082        3.689     0.95577
  83     71.760      166.835         437.148       11.442       166924.8    0.4901      709.68      168.379       32.737        2.255     0.94918
  84     70.973      165.688         442.184        8.601       163955.2    0.4930      709.36      167.608       34.402        1.078     0.93667
  85     70.059      164.573         447.008        6.562       160879.8    0.4973      709.13      166.711       35.698        0.224     0.92315
  86     68.331      162.940         450.743        5.637       158372.6    0.5009      709.16      165.018       36.551       -0.209     0.91176
  87     66.153      161.124         453.552        5.810       156472.0    0.5038      709.38      162.882       37.099       -0.160     0.90293
  88     63.998      159.426         455.743        6.718       154970.9    0.5058      709.59      160.770       37.500        0.301     0.89585
  89     62.648      158.418         457.511        7.826       153815.0    0.5073      709.72      159.446       37.782        0.930     0.89041
  90     61.657      157.580         459.067        8.592       152868.1    0.5076      709.60      158.475       38.103        1.391     0.88605
  91     61.070      156.991         461.225        8.815       151995.4    0.5080      709.61      157.899       38.754        1.511     0.88208
  92     60.576      156.417         463.986        8.568       150688.8    0.5091      709.42      157.415       39.782        1.398     0.87619
  93     60.860      156.589         467.371        8.087       149507.6    0.5125      709.50      157.694       41.026        1.230     0.87101
  94     60.521      156.127         471.244        7.223       147546.8    0.5154      709.20      157.362       42.486        0.886     0.86215
  95     62.577      157.989         479.596        6.032       145842.7    0.5252      709.91      159.377       45.707        0.658     0.85539
  96     62.741      157.802         488.802        4.262       143479.1    0.5349      710.11      159.537       49.511        0.126     0.84559
  97     53.605      148.426         490.978        2.664       143165.7    0.5244      708.79      150.581       51.869       -0.544     0.84441
  98     39.874      134.897         475.211        2.829       146672.9    0.4839      707.59      137.120       49.784       -0.704     0.85582
  99     29.713      125.607         459.761        4.554       152866.8    0.4533      708.90      127.160       44.296        0.300     0.87986
 100     31.832      128.328         460.837        5.862       156069.6    0.4580      710.07      129.237       44.236        1.613     0.89604
 101     35.928      132.510         467.136        5.684       154518.9    0.4692      709.66      133.253       46.581        1.856     0.89158
 102     37.234      133.734         473.981        4.700       153262.9    0.4773      709.87      134.532       49.176        1.515     0.88760
 103     39.067      135.499         480.294        3.410       151466.4    0.4878      709.84      136.330       50.837        1.066     0.88099
 104     39.660      136.054         485.385        1.924       149891.2    0.4954      709.80      136.911       52.164        0.487     0.87476
 105     40.333      136.654         490.397        0.263       148288.1    0.5039      709.83      137.571       53.209       -0.147     0.86836
 106     39.997      136.216         493.683       -1.657       146859.3    0.5083      709.52      137.242       54.101       -0.935     0.86222
 107     39.381      135.421         496.613       -3.650       145847.9    0.5122      709.47      136.638       54.861       -1.811     0.85797
 108     37.847      133.646         496.967       -5.835       145191.2    0.5103      708.81      135.134       55.427       -2.888     0.85484
 109     36.483      132.077         500.299       -7.078       145208.1    0.5142      709.46      133.796       56.284       -3.610     0.85571
 110     35.233      130.369         495.106       -9.353       144953.7    0.5034      707.95      132.571       55.774       -4.745     0.85303
 111     41.072      138.127         526.414        6.805       148811.9    0.5686      709.97      138.295       58.945        2.817     0.89238
 112     43.329      138.107         524.108       25.862       148981.8    0.5667      709.50      140.508       58.283       10.429     0.89291
 113     18.850      114.017         506.863       23.223       153766.8    0.5099      704.91      116.511       61.536       11.905     0.91314
 114     16.056      111.274         508.119       22.665       153827.7    0.5103      705.50      113.771       62.311       12.115     0.91319
 115     13.443      108.706         509.784       22.093       153155.2    0.5123      705.67      111.210       63.094       12.358     0.90994
 116     10.494      105.800         512.463       21.486       152913.6    0.5162      706.52      108.319       64.054       12.691     0.90889
 117      7.594      102.919         515.583       20.874       152029.3    0.5217      707.10      105.476       65.035       13.132     0.90483
 118      4.876      100.190         519.134       20.275       151491.3    0.5285      708.19      102.812       65.979       13.669     0.90242
 119      2.114       97.347         523.044       19.689       150429.1    0.5367      709.10      100.104       66.937       14.473     0.89752
 120     -0.127       94.930         527.197       19.195       149672.7    0.5460      710.41       97.907       67.749       15.492     0.89409
 121     -2.436       92.262         531.629       18.712       148298.2    0.5565      711.44       95.644       68.566       17.064     0.88770
 122     -3.974       90.205         536.501       18.153       147139.5    0.5686      712.85       94.136       69.185       18.743     0.88243
 123     -5.153       87.850         541.813       17.606       145332.3    0.5822      714.03       92.980       69.699       20.915     0.87404
 124     -4.658       86.527         547.421       17.007       143863.8    0.5970      715.64       93.466       69.807       21.794     0.86733
 125     -2.796       84.940         553.154       16.372       141790.6    0.6128      716.98       95.290       69.593       20.897     0.85753
 126      0.448       84.692         559.173       15.820       140134.1    0.6295      718.79       98.471       69.091       18.917     0.84984
 127      4.571       83.869         566.198       15.373       137742.1    0.6491      720.59      102.513       68.433       16.508     0.83854
 128      8.893       84.646         572.969       15.290       135773.9    0.6685      722.54      106.749       67.762       15.287     0.82936
 129     13.440       84.655         579.238       15.344       133023.6    0.6872      724.01      111.207       67.042       14.341     0.81567
 130     17.564       86.770         586.777       15.091       130986.0    0.7089      726.72      115.250       66.418       13.540     0.80567
 131     24.097       88.255         592.022       15.556       128420.0    0.7278      726.47      121.655       65.409       11.475     0.79461
 132     29.818       91.271         584.623       15.394       126098.6    0.7175      721.79      127.262       64.334       11.231     0.78070
 133     56.034      105.105         559.515       18.094       130762.6    0.6787      718.54      152.963       59.208       11.019     0.79869
 134     71.882      115.041         545.476       19.916       131901.6    0.6699      712.25      168.499       55.550       11.646     0.80565
 135     64.541      112.711         532.312       21.527       135151.9    0.6325      710.24      161.303       55.488       12.524     0.82028
 136     65.425      114.687         518.546       23.311       137096.7    0.6077      706.77      162.169       53.861       13.360     0.82885
 137     67.013      119.735         510.111       24.299       137990.7    0.5962      704.93      163.726       52.509       14.125     0.83240
 138     73.005      128.415         506.919       24.767       137316.8    0.6013      703.82      169.599       50.746       14.467     0.82894
 139     81.155      140.841         508.075       24.669       135721.9    0.6180      704.50      177.589       49.200       14.748     0.82056
 140     95.053      157.757         507.609       24.825       133449.8    0.6395      704.58      191.214       46.824       15.060     0.80805
 141     98.390      165.699         502.386       25.515       132869.0    0.6373      702.63      194.485       45.298       15.794     0.80436
 142     95.703      166.400         495.604       26.550       134300.0    0.6210      701.35      191.851       44.182       16.438     0.81136
 143     97.038      171.295         489.323       27.292       134444.0    0.6139      699.43      193.160       42.564       17.061     0.81182
 144    104.592      180.905         484.952       27.802       133948.1    0.6212      698.63      200.564       40.540       17.347     0.80864
 145    117.033      195.530         479.963       28.190       132336.0    0.6374      697.31      212.761       38.080       17.562     0.79932
 146    123.254      203.145         472.773       28.887       131935.0    0.6386      695.26      218.859       36.239       17.652     0.79592
 147    121.593      203.334         466.250       29.528       132961.9    0.6249      693.53      217.231       35.116       17.687     0.80124
 148    123.547      206.315         459.660       30.156       133811.2    0.6179      692.25      219.147       33.702       17.609     0.80511
 149    130.119      213.863         451.457       30.853       133760.6    0.6199      689.87      225.590       31.740       17.433     0.80418
 150    130.336      214.680         441.181       31.726       134773.0    0.6048      687.39      225.802       29.936       17.328     0.80812
 151    127.871      212.933         431.557       32.562       136607.1    0.5849      685.00      223.386       28.207       17.170     0.81721
 152    106.430      192.192         415.091       34.115       141939.0    0.5134      680.37      202.367       26.986       17.337     0.84398
 153     82.734      167.756         392.239       35.898       146462.0    0.4386      674.88      179.138       23.979       18.765     0.86455
 154     83.528      165.902         378.264       36.542       146704.3    0.4268      671.00      179.916       21.179       18.806     0.86505
 155     88.906      175.292         374.975       36.238       147266.7    0.4321      670.52      185.188       20.367       18.401     0.86847
 156     94.414      181.495         371.738       35.833       147809.4    0.4399      669.80      190.587       19.260       17.304     0.87178
 157     96.995      184.373         365.115       35.686       148139.9    0.4395      667.89      193.117       17.161       16.875     0.87363
 158     96.997      184.554         356.894       35.790       148813.4    0.4333      665.98      193.119       14.966       16.742     0.87660
 159     97.902      185.710         348.949       35.860       149254.7    0.4298      664.05      194.007       12.831       16.512     0.87857
 160     98.093      186.062         340.354       35.990       149764.2    0.4252      661.93      194.194       10.491       16.380     0.88080
 161     97.460      185.654         331.497       36.082       150275.3    0.4196      659.73      193.573        8.087       16.229     0.88300
 162     96.790      185.227         322.092       36.055       150807.9    0.4146      657.45      192.916        5.489       16.046     0.88529
 163     95.162      183.872         312.316       35.943       151179.7    0.4086      654.91      191.320        2.743       15.888     0.88674
 164     95.128      184.109         302.831       35.719       151567.1    0.4070      652.72      191.287        0.036       15.605     0.88839
 165     95.440      184.726         292.094       35.373       151479.3    0.4074      649.87      191.593       -3.038       15.274     0.88782
 166     94.551      184.106         281.147       35.169       151629.4    0.4066      647.11      190.721       -6.123       15.068     0.88845
 167     94.027      183.814         269.807       35.238       151555.5    0.4081      644.26      190.207       -9.321       14.877     0.88797
 168     92.784      182.836         257.745       35.092       151382.0    0.4100      641.38      188.989      -12.769       14.666     0.88671
 169     91.350      181.709         245.999       34.826       151220.1    0.4128      638.67      187.584      -16.054       14.411     0.88556
 170     89.951      180.573         234.131       34.645       150844.2    0.4175      635.82      186.212      -19.329       14.183     0.88347
 171     88.370      179.286         222.388       34.212       150396.2    0.4232      632.98      184.662      -22.505       13.907     0.88115
 172     86.867      178.124         210.699       33.494       149763.7    0.4306      630.08      183.189      -25.585       13.547     0.87803
 173     85.729      177.366         198.852       32.535       149028.1    0.4402      627.21      182.073      -28.558       13.085     0.87449
 174     84.593      176.623         186.812       31.349       148067.6    0.4514      624.23      180.959      -31.430       12.556     0.86993
 175     82.677      175.167         174.811       29.634       146946.5    0.4625      621.16      179.082      -34.297       11.902     0.86456
 176     80.353      173.324         163.374       27.515       145895.8    0.4734      618.19      176.803      -37.007       11.104     0.85964
 177     77.959      171.354         152.560       25.427       144796.2    0.4843      615.18      174.456      -39.518       10.303     0.85471
 178     75.513      169.287         142.167       23.261       143557.7    0.4955      612.11      172.059      -41.884        9.441     0.84922
 179     72.448      166.557         132.651       21.056       142267.6    0.5053      609.19      169.053      -44.145        8.513     0.84341
 180     68.797      163.206         124.629       18.979       141000.8    0.5125      606.68      165.474      -46.242        7.584     0.83752
 181     65.036      159.695         118.049       16.922       139703.4    0.5176      604.55      161.788      -48.115        6.587     0.83131
 182     61.332      156.173         112.715       14.911       138384.8    0.5212      602.83      158.157      -49.778        5.501     0.82479
 183     57.931      152.868         108.329       13.039       137034.2    0.5238      601.53      154.823      -51.229        4.333     0.81784
 184     55.356      150.003         104.366       10.099       135609.6    0.5270      600.42      152.298      -52.375        2.252     0.81041
 185     53.707      147.610         100.643        6.615       134227.5    0.5311      599.57      150.682      -53.187       -0.030     0.80306
 186     52.195      145.619          97.225        4.238       132907.8    0.5350      599.00      149.199      -53.999       -1.528     0.79584
 187     50.952      143.916          93.908        2.168       131617.1    0.5392      598.53      147.980      -54.768       -2.773     0.78872
 188     50.287      142.535          90.609       -0.053       130303.1    0.5442      598.05      147.329      -55.366       -4.041     0.78153
 189     50.250      141.684          87.365       -2.166       128970.4    0.5500      597.59      147.293      -55.762       -5.267     0.77428
 190     51.126      141.478          84.083       -4.520       127649.8    0.5569      597.14      148.151      -55.890       -6.508     0.76717
 191     52.725      141.678          81.118       -7.144       126383.9    0.5642      596.72      149.719      -55.796       -7.679     0.76039
 192     54.021      141.640          78.660       -9.498       125235.0    0.5703      596.34      150.990      -55.743       -8.601     0.75424
 193     55.161      141.706          76.416      -11.483       124210.2    0.5758      596.06      152.107      -55.792       -9.251     0.74867
 194     56.121      142.020          74.352      -12.941       123266.8    0.5809      595.83      153.048      -55.906       -9.598     0.74350
 195     57.142      142.703          73.117      -13.860       122510.1    0.5846      595.89      154.049      -55.908       -9.877     0.73918
 196     57.501      142.679          72.611      -14.745       121876.5    0.5861      595.99      154.401      -55.892      -10.217     0.73547
 197     58.162      142.987          72.052      -15.631       121557.6    0.5880      596.37      155.049      -55.778      -10.492     0.73325
 198     58.364      142.733          71.733      -16.552       120970.8    0.5891      596.35      155.247      -55.818      -10.730     0.72989
 199     58.812      143.043          71.341      -16.833       120836.6    0.5904      596.70      155.686      -55.828      -10.200     0.72871
 200     58.152      142.527          71.037      -16.528       120352.9    0.5904      596.44      155.039      -56.195       -9.691     0.72604
 201     59.605      143.705          69.487      -16.574       120663.1    0.5945      596.63      156.463      -55.813      -10.536     0.72753
 202     60.884      142.760          70.820      -18.463       120432.1    0.5932      596.72      157.717      -54.661      -11.276     0.72596
 203     58.107      134.879          77.332      -25.268       121209.0    0.5783      599.03      154.995      -53.567      -13.290     0.72768
 204     58.459      125.450          84.780      -34.321       121505.2    0.5665      601.53      155.340      -51.769      -15.339     0.72678
 205     56.553      122.517          80.689      -36.539       121464.3    0.5702      600.18      153.472      -53.355      -15.721     0.72678
 206     62.969      136.465          62.367      -29.255       121747.1    0.6098      595.86      159.761      -54.899      -11.667     0.73215
 207     72.268      151.997          43.595      -19.246       120070.0    0.6558      589.48      168.877      -55.553       -7.640     0.72987
 208     78.159      162.586          31.355       -9.998       119478.8    0.6864      585.69      174.652      -55.834       -4.415     0.73151
 209     83.607      171.563          25.661       -3.198       118735.0    0.7049      583.63      179.993      -55.412       -2.209     0.73055
 210     86.787      177.905          23.805       -0.223       118358.7    0.7139      583.08      183.111      -54.970       -1.306     0.72981
 211     88.627      182.500          24.499       -0.990       117974.3    0.7165      582.72      184.914      -54.567       -1.178     0.72852
 212     90.474      185.415          26.060       -3.342       117697.1    0.7161      582.30      186.725      -54.050       -0.878     0.72768
 213     93.435      187.624          27.044       -5.756       117633.7    0.7160      582.46      189.628      -53.400       -1.028     0.72732
 214     96.429      188.899          28.586       -8.562       117824.3    0.7140      582.91      192.563      -52.803       -1.914     0.72806
 215     96.737      188.436          33.085      -13.954       117998.7    0.7023      583.62      192.865      -52.452       -3.796     0.72784
 216     95.483      185.173          35.452      -22.552       118379.9    0.6937      584.56      191.635      -52.452       -6.468     0.72862
 217     68.191      162.517          66.302      -27.819       118169.6    0.5930      594.35      164.880      -53.845       -9.577     0.70915
 218     70.346      163.215          65.290      -35.319       117707.6    0.5978      593.80      166.993      -53.618      -11.942     0.70736
 219     63.024      155.728          61.734      -35.702       118563.1    0.5937      593.62      159.815      -55.178      -12.578     0.71124
 220     58.978      151.838          60.437      -34.824       119117.2    0.5905      593.56      155.848      -55.964      -12.582     0.71389
 221     56.797      149.672          59.853      -34.565       119445.9    0.5886      593.57      153.711      -56.374      -12.665     0.71546
 222     56.083      148.833          59.736      -34.868       119861.4    0.5877      593.88      153.010      -56.494      -12.837     0.71746
 223     54.964      147.369          59.926      -35.913       120137.2    0.5860      594.05      151.914      -56.655      -13.321     0.71875
 224     54.339      146.265          60.180      -37.330       120588.5    0.5846      594.47      151.301      -56.728      -13.903     0.72086
 225     52.695      144.016          60.352      -38.893       120889.0    0.5825      594.57      149.690      -56.988      -14.658     0.72230
 226     51.316      141.987          60.449      -40.392       121413.0    0.5806      594.93      148.337      -57.212      -15.381     0.72479
 227     48.856      138.759          60.509      -41.826       121693.0    0.5780      594.92      145.926      -57.634      -16.249     0.72615
 228     46.784      135.857          60.582      -43.155       122176.4    0.5756      595.12      143.895      -57.990      -17.068     0.72851
 229     43.799      131.909          60.880      -44.266       122371.9    0.5723      594.94      140.968      -58.496      -18.009     0.72956
 230     41.430      128.579          61.321      -45.160       122804.7    0.5693      595.03      138.646      -58.882      -18.824     0.73178
 231     38.438      124.377          61.938      -45.992       122930.0    0.5656      594.81      135.713      -59.371      -19.814     0.73254
 232     36.124      120.889          62.362      -46.598       123295.5    0.5630      594.87      133.444      -59.754      -20.650     0.73448
 233     33.400      116.579          62.979      -47.235       123282.6    0.5601      594.63      130.774      -60.188      -21.682     0.73458
 234     31.420      113.136          63.324      -47.530       123494.5    0.5583      594.67      128.833      -60.512      -22.462     0.73574
 235     29.355      108.832          64.531      -47.904       123276.1    0.5552      594.40      126.809      -60.737      -23.364     0.73487
 236     28.295      105.863          64.502      -47.883       123441.5    0.5550      594.18      125.770      -60.929      -23.830     0.73617
 237     26.102      101.990          66.615      -46.204       123067.4    0.5503      593.82      123.620      -61.060      -24.032     0.73480
 238     26.519       97.661          70.002      -44.100       123124.9    0.5443      594.55      124.029      -60.480      -23.072     0.73497
 239     37.167      119.096          65.830      -42.229       121634.6    0.5665      594.42      134.467      -58.143      -20.166     0.72722
 240     44.523      128.858          62.125      -41.062       120507.2    0.5840      593.37      141.679      -57.002      -18.690     0.72245
 241     46.791      132.206          58.143      -40.643       120957.6    0.5935      594.19      143.902      -56.965      -18.111     0.72435
 242     51.067      137.630          53.505      -40.030       120363.9    0.6075      593.61      148.093      -56.857      -17.351     0.72181
 243     52.873      140.328          49.877      -39.645       120630.0    0.6151      593.99      149.864      -56.989      -16.826     0.72303
 244     56.441      144.734          46.134      -39.051       120072.1    0.6262      593.55      153.361      -56.893      -16.136     0.72054
 245     57.362      146.248          42.868      -38.539       120256.0    0.6320      593.69      154.264      -57.123      -15.705     0.72146
 246     59.460      148.985          39.587      -37.905       119963.1    0.6400      593.48      156.322      -57.157      -15.134     0.72016
 247     60.249      150.348          36.428      -37.381       120112.4    0.6455      593.57      157.095      -57.340      -14.634     0.72096
 248     62.015      152.707          33.767      -36.838       119920.9    0.6513      593.43      158.826      -57.336      -13.975     0.72013
 249     62.791      153.912          31.788      -36.317       119975.3    0.6547      593.43      159.587      -57.419      -13.502     0.72049
 250     63.765      155.241          29.768      -35.757       119811.1    0.6590      593.28      160.541      -57.471      -13.080     0.71979
 251     64.336      156.145          27.867      -35.214       119808.9    0.6623      593.25      161.102      -57.555      -12.670     0.71990
 252     65.872      157.993          26.849      -34.630       119610.3    0.6651      593.14      162.607      -57.445      -12.172     0.71904
 253     66.219      158.556          26.344      -34.032       119568.2    0.6660      593.03      162.947      -57.483      -11.887     0.71897
 254     67.033      159.554          25.508      -33.420       119438.4    0.6682      592.97      163.745      -57.455      -11.601     0.71847
 255     68.759      161.440          25.495      -32.754       119194.6    0.6697      592.85      165.438      -57.266      -11.249     0.71746
 256     69.635      162.448          26.052      -32.016       119001.3    0.6697      592.66      166.296      -57.151      -11.001     0.71670
 257     70.791      163.697          25.987      -31.265       118828.7    0.6713      592.60      167.429      -57.038      -10.778     0.71606
 258     73.027      166.007          26.667      -30.444       118422.4    0.6727      592.40      169.621      -56.737      -10.496     0.71432
 259     74.892      167.908          27.716      -29.600       118130.4    0.6732      592.25      171.449      -56.472      -10.288     0.71317
 260     77.354      170.376          29.682      -28.724       117750.3    0.6728      592.12      173.863      -56.073      -10.090     0.71152
 261     77.100      170.142          32.068      -27.779       117582.0    0.6690      591.76      173.614      -55.977       -9.992     0.71091
 262     77.577      170.625          31.825      -26.825       117530.0    0.6710      591.71      174.081      -55.956       -9.869     0.71101
 263     82.365      175.316          33.037      -25.739       116602.7    0.6757      591.43      178.776      -55.340       -9.685     0.70694
 264     85.122      178.009          37.075      -24.538       115938.3    0.6734      590.96      181.478      -54.761       -9.522     0.70409
 265     86.667      179.471          40.109      -23.365       115721.4    0.6714      590.89      182.993      -54.377       -9.424     0.70337
 266     89.245      181.929          43.433      -22.104       115045.7    0.6709      590.46      185.520      -53.849       -9.320     0.70054
