Span station K = 19

J    %dVm      Vx(m/s)     Vtheta(m/s)   Vr(m/s)      Pstat(Pa)    Mrel      T0(K)      Vm(m/s)     Swirl(deg)  Pitch(deg)  Density
--------------------------------------------------------------------------------------------------------------------------------------------
   1     -1.077       96.975           0.000        0.310       336815.9    0.5943      709.00       96.976      -71.690        0.183     1.66488
   2     -1.612       96.448          -1.470        0.827       336999.0    0.5967      709.04       96.452      -71.869        0.490     1.66560
   3     -2.100       95.964          -2.859        1.277       336998.7    0.5990      709.01       95.973      -72.034        0.761     1.66560
   4     -2.756       95.315          -4.237        1.668       337085.0    0.6013      709.02       95.330      -72.225        0.998     1.66592
   5     -3.491       94.588          -5.701        2.011       337121.3    0.6036      709.01       94.609      -72.431        1.209     1.66604
   6     -4.295       93.793          -7.308        2.296       337220.8    0.6062      709.02       93.822      -72.655        1.387     1.66642
   7     -5.197       92.902          -9.025        2.533       337260.5    0.6090      709.02       92.937      -72.898        1.537     1.66655
   8     -6.281       91.833         -10.774        2.717       337339.1    0.6118      709.03       91.874      -73.170        1.659     1.66684
   9     -7.539       90.594         -12.476        2.860       337369.4    0.6144      709.01       90.641      -73.465        1.758     1.66695
  10     -8.952       89.205         -14.150        2.964       337428.8    0.6170      709.01       89.256      -73.780        1.836     1.66717
  11    -10.417       87.765         -15.833        3.042       337465.1    0.6196      709.01       87.820      -74.100        1.895     1.66730
  12    -11.962       86.247         -17.580        3.087       337505.4    0.6223      709.01       86.305      -74.432        1.934     1.66746
  13    -13.556       84.681         -19.325        3.109       337523.4    0.6251      709.02       84.742      -74.768        1.954     1.66752
  14    -15.287       82.982         -21.006        3.103       337523.7    0.6278      709.02       83.046      -75.119        1.953     1.66753
  15    -17.061       81.242         -22.538        3.081       337505.5    0.6302      709.02       81.307      -75.467        1.934     1.66746
  16    -18.901       79.436         -23.984        3.043       337461.4    0.6325      709.02       79.503      -75.820        1.899     1.66730
  17    -20.685       77.686         -25.368        3.001       337409.3    0.6348      709.02       77.754      -76.157        1.844     1.66711
  18    -22.492       75.914         -26.789        2.948       337330.5    0.6371      709.02       75.983      -76.495        1.769     1.66681
  19    -24.258       74.180         -28.136        2.889       337242.1    0.6395      709.03       74.251      -76.820        1.658     1.66649
  20    -26.065       72.407         -29.405        2.818       337122.1    0.6416      709.03       72.480      -77.147        1.506     1.66604
  21    -27.803       70.700         -30.526        2.743       336985.4    0.6437      709.02       70.775      -77.454        1.269     1.66557
  22    -29.540       68.993         -31.511        2.668       336820.0    0.6454      709.02       69.073      -77.758        0.944     1.66491
  23    -31.179       67.376         -32.631        2.585       336637.4    0.6476      709.00       67.467      -78.042        0.278     1.66430
  24    -32.768       65.791         -33.050        2.543       336434.5    0.6483      709.02       65.909      -78.307       -1.061     1.66340
  25    -34.349       63.914         -35.934        2.400       336192.9    0.6541      709.03       64.359      -78.590       -4.523     1.66284
  26    -34.602       62.060         -26.723        2.322       335854.5    0.6362      708.91       64.111      -78.571       -4.202     1.66024
  27    -33.258       64.247         -14.859        2.610       336203.1    0.6140      709.02       65.428      -78.177       -3.658     1.66136
  28    -29.302       69.091         -14.051        2.958       336231.4    0.6137      709.18       69.306      -77.533        0.204     1.66176
  29    -24.877       73.535         -15.893        3.256       335503.6    0.6188      709.13       73.645      -76.817        1.101     1.65917
  30    -20.683       77.643         -16.088        3.547       334906.5    0.6207      709.14       77.756      -76.134        1.455     1.65703
  31    -17.858       80.407         -15.697        3.770       334320.9    0.6214      709.07       80.525      -75.673        1.683     1.65494
  32    -15.075       83.130         -15.912        3.989       333860.6    0.6232      709.13       83.254      -75.238        1.823     1.65325
  33    -11.992       86.144         -16.137        4.227       332986.5    0.6255      709.02       86.276      -74.793        1.901     1.65004
  34     -8.406       89.651         -16.532        4.481       332292.9    0.6283      709.12       89.791      -74.280        1.962     1.64745
  35     -3.064       94.877         -16.130        4.823       331183.3    0.6306      709.09       95.028      -73.526        1.991     1.64329
  36      0.732       98.591         -14.332        5.087       330489.3    0.6296      709.06       98.749      -72.934        2.045     1.64065
  37      3.352      101.152         -12.734        5.293       330014.7    0.6286      709.07      101.317      -72.506        2.104     1.63890
  38      6.689      104.417         -12.045        5.533       329184.8    0.6299      709.09      104.589      -72.016        2.156     1.63580
  39     11.593      109.215         -10.752        5.847       328027.6    0.6313      709.11      109.396      -71.322        2.190     1.63138
  40     15.818      113.348          -8.038        6.135       327082.4    0.6298      709.07      113.539      -70.646        2.238     1.62773
  41     18.437      115.908          -5.456        6.349       326577.4    0.6276      709.05      116.105      -70.163        2.293     1.62587
  42     22.303      119.691          -3.913        6.607       325604.0    0.6284      709.10      119.896      -69.573        2.344     1.62222
  43     27.559      124.835          -0.672        6.929       324150.9    0.6277      709.10      125.048      -68.754        2.379     1.61649
  44     30.216      127.434           3.420        7.120       323461.3    0.6233      708.96      127.653      -68.151        2.433     1.61386
  45     33.638      130.782           5.726        7.357       322909.7    0.6230      709.11      131.008      -67.572        2.484     1.61206
  46     38.924      135.956           9.456        7.680       320941.7    0.6226      709.02      136.190      -66.701        2.530     1.60418
  47     42.390      139.348          14.545        7.898       319968.2    0.6181      709.07      139.587      -65.910        2.583     1.60021
  48     46.395      143.268          19.180        8.151       318991.9    0.6153      709.17      143.513      -65.073        2.638     1.59657
  49     49.784      146.585          24.729        8.368       317611.2    0.6107      708.99      146.836      -64.212        2.693     1.59114
  50     52.840      149.575          29.940        8.581       316806.1    0.6062      709.12      149.832      -63.379        2.755     1.58807
  51     56.753      153.405          35.763        8.822       315161.3    0.6025      709.08      153.668      -62.401        2.809     1.58150
  52     59.722      156.310          42.337        9.022       313921.3    0.5965      709.05      156.578      -61.395        2.869     1.57663
  53     63.047      159.564          48.733        9.237       312579.1    0.5916      709.12      159.838      -60.350        2.924     1.57137
  54     66.523      162.965          56.280        9.453       310738.5    0.5857      709.04      163.245      -59.127        2.976     1.56407
  55     69.329      165.710          64.309        9.650       309177.2    0.5785      709.06      165.996      -57.869        3.028     1.55788
  56     72.180      168.498          72.675        9.858       307387.2    0.5712      709.05      168.790      -56.499        3.081     1.55078
  57     75.056      171.311          81.970       10.069       305358.8    0.5634      709.09      171.610      -54.970        3.132     1.54263
  58     77.848      174.041          92.197       10.281       302973.3    0.5549      709.11      174.348      -53.245        3.180     1.53301
  59     80.275      176.413         103.232       10.488       300443.2    0.5455      709.14      176.727      -51.362        3.228     1.52279
  60     82.569      178.653         115.221       10.701       297549.4    0.5356      709.14      178.975      -49.244        3.279     1.51116
  61     84.446      180.484         128.199       10.925       294282.5    0.5250      709.05      180.815      -46.900        3.345     1.49811
  62     86.107      182.101         142.030       11.170       290693.1    0.5142      708.98      182.444      -44.297        3.420     1.48378
  63     87.189      183.149         156.730       11.409       286636.9    0.5030      708.92      183.505      -41.438        3.491     1.46724
  64     87.715      183.650         171.948       11.657       282286.6    0.4916      708.87      184.020      -38.327        3.562     1.44941
  65     87.732      183.649         187.525       11.924       277733.5    0.4805      708.91      184.037      -35.000        3.636     1.43060
  66     86.929      182.840         203.612       12.216       272696.8    0.4690      708.86      183.250      -31.388        3.719     1.40953
  67     85.770      181.676         219.434       12.563       267631.4    0.4581      708.89      182.114      -27.627        3.819     1.38826
  68     84.387      180.284         235.050       12.970       262389.8    0.4482      708.92      180.757      -23.715        3.943     1.36621
  69     82.776      178.660         250.890       13.437       256842.6    0.4394      708.97      179.178      -19.576        4.092     1.34275
  70     81.194      177.055         266.828       13.970       250844.9    0.4321      708.95      177.628      -15.230        4.270     1.31732
