STAGE PERFORMANCE
====================================================================================================
Stage  Location     Alpha1    Alpha2     Beta2     Beta3      Phi       Psi    Reaction
    1       Hub      -2.39      78.51     -73.66     -76.36    0.3064    0.8248      0.7119
    1      Mean      -3.87      72.46      47.70     -63.21    0.6828    1.4970      0.4243
    1       Tip      -5.42      79.58    -117.70     -50.61    0.4765    0.4562      0.4895
    2       Hub     -57.60      73.64       4.31     -68.45    0.4580    1.2868      0.5782
    2      Mean     -17.66      65.16      -4.64     -59.66    0.6882    1.1295      0.4912
    2       Tip      21.97      70.21     -46.41     -52.99    0.6131    0.7016      0.5770


Span station K = 19

  J       %dVm        Vx(m/s)      Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)    Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density(kg/m3)     mdot(kg/s)
--------------------------------------------------------------------------------------------------------------------------------------------
  45     74.328       92.121           9.501        0.775       334332.1          663.7    0.6094    0.2052      669.48       92.140      -73.387       -0.252     1.80035
  46     81.248       95.779          12.532        0.736       333286.8          661.6    0.6078    0.2126      667.81       95.798      -72.686       -0.289     1.80368
  47     86.118       98.355          16.217        0.669       332816.7          659.6    0.6042    0.2179      666.14       98.372      -72.070       -0.321     1.80953
  48     92.009      101.469          19.684        0.615       332193.9          657.7    0.6016    0.2248      664.63      101.486      -71.388       -0.341     1.81458
  49     96.784      103.994          23.835        0.538       331423.7          656.0    0.5973    0.2306      663.28      104.009      -70.718       -0.362     1.81808
  50    101.713      106.600          27.604        0.469       330930.3          654.4    0.5939    0.2369      661.99      106.615      -70.044       -0.379     1.82336
  51    107.353      109.582          32.082        0.379       329934.1          652.2    0.5901    0.2445      660.28      109.595      -69.259       -0.405     1.82780
  52    111.873      111.971          36.896        0.271       329246.8          650.0    0.5852    0.2512      658.44      111.984      -68.489       -0.432     1.83413
  53    117.346      114.865          41.700        0.162       328320.0          647.5    0.5812    0.2594      656.52      114.878      -67.638       -0.459     1.84025
  54    122.441      117.558          47.350        0.028       327244.5          645.1    0.5757    0.2678      654.65      117.570      -66.703       -0.490     1.84550
  55    127.277      120.115          53.164       -0.113       326256.3          642.8    0.5700    0.2764      652.86      120.127      -65.727       -0.521     1.85124
  56    132.348      122.794          59.495       -0.268       325005.4          640.0    0.5640    0.2860      650.77      122.806      -64.643       -0.553     1.85744
  57    137.457      125.494          66.581       -0.440       323689.7          637.2    0.5570    0.2969      648.70      125.507      -63.434       -0.592     1.86431
  58    142.697      128.263          73.873       -0.634       322029.5          634.9    0.5502    0.3077      647.23      128.276      -62.102       -0.642     1.86453
  59    146.839      130.451          81.651       -0.847       320287.8          633.2    0.5424    0.3181      646.38      130.466      -60.755       -0.694     1.85965
  60    150.501      132.385          90.412       -1.065       318361.4          631.5    0.5329    0.3298      645.70      132.402      -59.257       -0.738     1.85320
  61    153.918      134.188          99.909       -1.294       315940.2          629.6    0.5229    0.3428      644.98      134.207      -57.553       -0.785     1.84415
  62    156.918      135.771         110.101       -1.525       313463.8          627.8    0.5121    0.3571      644.48      135.793      -55.665       -0.832     1.83472
  63    159.187      136.966         121.089       -1.753       310486.2          626.0    0.5002    0.3727      644.15      136.992      -53.555       -0.880     1.82180
  64    160.728      137.777         132.550       -1.965       307364.1          624.3    0.4878    0.3892      643.99      137.807      -51.245       -0.928     1.80756
  65    161.570      138.218         144.516       -2.150       303993.3          622.6    0.4748    0.4069      644.07      138.252      -48.721       -0.972     1.79141
  66    161.184      138.010         156.957       -2.301       300187.6          621.0    0.4609    0.4253      644.28      138.048      -45.966       -1.017     1.77233
  67    160.364      137.573         169.307       -2.406       296411.8          619.6    0.4472    0.4442      644.79      137.614      -43.062       -1.056     1.75259
  68    159.206      136.958         181.810       -2.465       292317.8          618.3    0.4339    0.4639      645.48      137.002      -39.947       -1.089     1.73070
  69    157.832      136.229         194.633       -2.477       287920.9          617.0    0.4210    0.4847      646.41      136.276      -36.579       -1.114     1.70655
  70    156.457      135.499         207.719       -2.441       283156.1          615.6    0.4089    0.5068      647.44      135.549      -32.969       -1.124     1.68043
  71    155.109      134.783         221.083       -2.364       278065.3          614.3    0.3978    0.5300      648.68      134.837      -29.149       -1.118     1.65185
  72    154.203      134.300         234.706       -2.263       272704.8          613.0    0.3881    0.5545      650.25      134.358      -25.121       -1.104     1.62069
  73    153.729      134.046         248.528       -2.137       266842.1          611.0    0.3808    0.5802      651.25      134.107      -20.921       -1.078     1.58976
  74    153.314      133.823         263.131       -1.965       260919.6          607.1    0.3752    0.6084      650.73      133.888      -16.656       -1.014     1.56856
  75    153.834      134.096         277.491       -1.828       254362.4          601.9    0.3722    0.6379      648.99      134.163      -12.366       -0.946     1.55030
  76    154.268      134.324         289.671       -1.883       247733.5          596.9    0.3713    0.6635      647.00      134.392       -8.567       -0.969     1.53012
  77    152.549      133.410         299.142       -2.165       242374.2          593.0    0.3684    0.6828      645.33      133.484       -5.614       -1.109     1.51329
  78    149.314      131.692         306.344       -2.515       238047.0          590.1    0.3630    0.6968      644.00      131.774       -3.127       -1.294     1.49789
  79    145.505      129.675         312.756       -2.708       234586.4          587.9    0.3570    0.7089      643.10      129.761       -0.643       -1.403     1.48457
  80    142.369      128.022         319.421       -2.663       230940.9          585.6    0.3526    0.7220      642.22      128.103        2.012       -1.386     1.46925
  81    140.208      126.884         326.044       -2.510       226923.6          583.1    0.3505    0.7357      641.24      126.961        4.553       -1.325     1.45140
  82    138.342      125.893         331.832       -2.410       222995.0          580.7    0.3494    0.7481      640.27      125.975        6.640       -1.319     1.43301
  83    136.374      124.840         336.393       -2.402       219563.2          578.7    0.3486    0.7581      639.40      124.935        8.232       -1.383     1.41608
  84    134.180      123.664         339.900       -2.419       216621.7          576.9    0.3475    0.7659      638.54      123.775        9.429       -1.468     1.40091
  85    132.010      122.503         342.720       -2.390       214055.0          575.5    0.3463    0.7723      637.75      122.628       10.392       -1.526     1.38694
  86    129.931      121.396         345.021       -2.293       211682.1          574.1    0.3453    0.7778      636.90      121.529       11.189       -1.538     1.37357
  87    128.102      120.421         347.021       -2.147       209516.0          572.8    0.3444    0.7827      636.14      120.563       11.880       -1.520     1.36085
  88    126.395      119.507         348.818       -1.996       207336.0          571.8    0.3433    0.7875      635.49      119.660       12.487       -1.511     1.34689
  89    125.505      119.021         350.350       -1.862       205389.7          571.0    0.3430    0.7919      635.11      119.190       13.126       -1.499     1.33310
  90    124.720      118.592         351.519       -1.754       203691.3          570.1    0.3427    0.7954      634.44      118.775       13.665       -1.465     1.32138
  91    124.324      118.367         352.825       -1.672       202319.0          569.5    0.3424    0.7991      634.12      118.565       14.368       -1.437     1.31129
  92    123.715      118.029         353.978       -1.623       200730.6          568.8    0.3415    0.8025      633.61      118.243       15.123       -1.425     1.29921
  93    123.982      118.158         355.635       -1.584       199705.8          569.6    0.3402    0.8066      634.69      118.385       16.309       -1.380     1.28684
  94    123.730      118.004         357.072       -1.645       198599.8          571.6    0.3370    0.8093      636.73      118.252       17.636       -1.424     1.27409
  95    124.208      118.252         360.371       -1.735       199558.3          575.6    0.3316    0.8138      641.35      118.504       20.013       -1.335     1.27246
  96    120.559      116.299         361.012       -1.914       200720.2          575.3    0.3255    0.8114      640.96      116.576       20.913       -1.458     1.27679
  97    109.571      110.400         353.986       -2.398       202467.8          572.0    0.3202    0.7918      635.62      110.768       17.050       -2.112     1.28981
