STAGE PERFORMANCE
====================================================================================================
Stage  Location     Alpha1    Alpha2     Beta2     Beta3      Phi       Psi    Reaction
    1       Hub      -2.39      78.51     -73.66     -76.36    0.3064    0.8248      0.7119
    1      Mean      -3.87      72.46      47.70     -63.21    0.6828    1.4970      0.4243
    1       Tip      -5.42      79.58    -117.70     -50.61    0.4765    0.4562      0.4895
    2       Hub     -57.60      73.64       4.31     -68.45    0.4580    1.2868      0.5782
    2      Mean     -17.66      65.16      -4.64     -59.66    0.6882    1.1295      0.4912
    2       Tip      21.97      70.21     -46.41     -52.99    0.6131    0.7016      0.5770


Span station K = 19

  J       %dVm        Vx(m/s)      Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)    Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density(kg/m3)     mdot(kg/s)
--------------------------------------------------------------------------------------------------------------------------------------------
 190    226.294      172.394           5.102        2.079       140986.8          560.1    0.7402    0.4055      575.86      172.461      -59.631        0.792     0.87616
 191    225.271      171.852           1.153        1.921       139317.2          559.0    0.7477    0.4044      574.66      171.921      -60.110        0.677     0.86796
 192    223.304      170.813          -1.739        1.792       137934.7          558.2    0.7526    0.4032      573.74      170.881      -60.569        0.585     0.86100
 193    220.535      169.341          -3.861        1.360       136897.8          557.7    0.7555    0.4017      573.12      169.418      -61.041        0.273     0.85560
 194    218.244      168.102          -5.321        0.771       135968.7          557.3    0.7573    0.4010      572.62      168.206      -61.407       -0.154     0.85070
 195    216.255      167.033          -5.889        0.360       135232.2          557.0    0.7576    0.4011      572.38      167.155      -61.682       -0.430     0.84664
 196    213.133      165.368          -5.700        0.036       134821.8          557.0    0.7556    0.3999      572.29      165.505      -61.971       -0.630     0.84416
 197    210.969      164.205          -5.463       -0.217       134793.3          557.2    0.7539    0.3987      572.45      164.361      -62.132       -0.765     0.84361
 198    208.118      162.685          -4.718       -0.301       134477.6          557.2    0.7507    0.3965      572.30      162.855      -62.326       -0.803     0.84167
 199    206.502      161.829          -4.164       -0.255       134868.3          557.9    0.7483    0.3943      572.81      162.000      -62.354       -0.704     0.84306
 200    202.474      159.690          -3.412       -0.113       134710.5          558.1    0.7443    0.3892      572.65      159.871      -62.697       -0.644     0.84183
 201    202.181      159.543          -3.711        0.233       135486.8          558.7    0.7440    0.3850      572.91      159.717      -62.590       -0.297     0.84574
 202    195.758      156.139          -1.988        1.134       136013.7          559.9    0.7362    0.3737      573.27      156.322      -62.981        0.419     0.84732
 203    173.195      144.022           6.624        2.848       137662.0          562.9    0.7069    0.3590      575.40      144.396      -64.435        2.195     0.85277
 204    150.871      131.805          23.013        4.084       140167.8          566.7    0.6631    0.3617      579.40      132.597      -65.260        4.387     0.86201
 205    136.739      124.302          33.142        4.109       142752.2          569.4    0.6348    0.3632      582.24      125.127      -65.634        4.201     0.87317
 206    148.342      130.458          27.812        4.347       143290.6          569.2    0.6495    0.3576      581.51      131.260      -64.222        3.089     0.87670
 207    161.848      137.219          18.573        6.477       141069.5          566.5    0.6740    0.3493      578.21      138.399      -63.565        3.739     0.86754
 208    168.972      140.211          10.212       10.042       140208.0          565.1    0.6937    0.3411      576.23      142.164      -63.692        5.126     0.86457
 209    178.926      144.355           2.767       14.671       138699.8          562.8    0.7138    0.3410      573.92      147.425      -63.440        6.547     0.85885
 210    187.603      147.479          -4.059       19.694       137722.7          560.8    0.7322    0.3435      572.07      152.011      -63.290        7.939     0.85585
 211    197.614      151.110          -9.958       25.171       136648.5          558.5    0.7500    0.3508      570.18      157.303      -62.960        9.246     0.85268
 212    207.600      154.464         -14.227       31.056       135897.8          556.3    0.7647    0.3600      568.48      162.581      -62.516       10.583     0.85138
 213    217.385      157.667         -16.404       37.005       135280.4          554.1    0.7754    0.3702      566.92      167.753      -61.938       11.891     0.85080
 214    223.373      159.696         -15.839       40.532       134994.6          552.7    0.7783    0.3763      565.88      170.917      -61.445       12.719     0.85112
 215    223.572      160.043         -13.202       40.754       134795.0          552.1    0.7736    0.3759      565.14      171.023      -61.213       12.903     0.85084
 216    224.753      160.205         -11.178       41.774       135105.8          551.9    0.7705    0.3772      565.02      171.647      -60.951       12.956     0.85305
 217    213.465      165.627         -29.803        4.234       137326.8          552.3    0.7995    0.3662      564.67      165.681      -63.204        1.464     0.86631
 218    214.167      166.038         -30.119       -2.143       137257.6          552.2    0.8006    0.3672      564.58      166.052      -63.174       -0.739     0.86611
 219    197.546      157.227         -31.528       -3.153       138419.2          553.3    0.7943    0.3488      564.49      157.267      -64.511       -1.169     0.87173
 220    192.613      154.612         -32.330       -3.406       138713.8          553.4    0.7934    0.3436      564.35      154.660      -64.935       -1.290     0.87331
 221    186.166      151.194         -33.119       -3.695       139079.0          553.7    0.7917    0.3368      564.23      151.252      -65.475       -1.440     0.87515
 222    180.252      148.055         -33.948       -3.996       139464.4          554.0    0.7905    0.3307      564.18      148.126      -65.981       -1.604     0.87709
 223    173.743      144.596         -34.735       -4.349       139753.7          554.3    0.7891    0.3240      564.03      144.686      -66.531       -1.806     0.87853
 224    167.694      141.377         -35.515       -4.724       140122.2          554.5    0.7880    0.3179      564.00      141.488      -67.049       -2.031     0.88038
 225    161.103      137.862         -36.345       -5.199       140402.5          554.8    0.7869    0.3114      563.88      138.005      -67.614       -2.327     0.88179
 226    154.921      134.558         -37.305       -5.689       140761.8          555.0    0.7863    0.3056      563.88      134.738      -68.156       -2.653     0.88358
 227    148.231      130.971         -38.390       -6.240       140988.3          555.2    0.7860    0.2996      563.77      131.202      -68.747       -3.054     0.88471
 228    141.930      127.578         -39.561       -6.801       141274.2          555.4    0.7862    0.2943      563.76      127.871      -69.311       -3.503     0.88614
 229    135.213      123.948         -40.607       -7.365       141409.3          555.5    0.7861    0.2887      563.65      124.321      -69.904       -4.032     0.88680
 230    129.057      120.601         -41.636       -7.890       141618.2          555.7    0.7864    0.2841      563.65      121.067      -70.452       -4.600     0.88783
 231    122.741      117.129         -42.809       -8.481       141678.0          555.8    0.7872    0.2799      563.57      117.729      -71.018       -5.336     0.88813
 232    117.055      113.958         -44.303       -9.024       141811.3          555.9    0.7890    0.2771      563.61      114.724      -71.542       -6.154     0.88878
 233    111.168      110.594         -46.250       -9.645       141746.9          555.8    0.7920    0.2757      563.57      111.612      -72.091       -7.281     0.88844
 234    105.983      107.498         -48.329      -10.222       141729.2          555.8    0.7956    0.2759      563.64      108.871      -72.580       -8.642     0.88833
 235    101.305      104.344         -50.909      -10.964       141454.2          555.6    0.8007    0.2786      563.63      106.399      -73.030      -10.664     0.88695
 236     98.330      101.805         -52.554      -11.375       141242.4          555.2    0.8044    0.2813      563.40      104.827      -73.319      -12.402     0.88627
 237     96.672       98.847         -56.002      -11.384       140731.3          554.2    0.8127    0.2894      562.88      103.950      -73.516      -13.733     0.88469
 238     96.444       96.362         -42.824      -10.430       140239.7          554.5    0.7841    0.2657      562.40      103.830      -73.369      -12.610     0.88102
 239    107.050      105.851         -26.659       -8.935       140279.2          555.0    0.7524    0.2695      562.96      109.435      -71.943       -9.943     0.88050
 240    119.968      114.135         -25.858       -8.409       140021.8          554.7    0.7543    0.2874      563.33      116.263      -70.658       -7.574     0.87936
 241    130.376      120.794         -29.290       -7.989       139616.8          554.2    0.7650    0.3029      563.40      121.764      -69.700       -6.015     0.87767
 242    140.859      126.602         -31.823       -7.599       138970.8          553.6    0.7742    0.3170      563.41      127.305      -68.782       -4.885     0.87457
 243    150.185      131.679         -32.996       -7.224       138568.6          552.9    0.7803    0.3281      563.33      132.234      -67.982       -4.104     0.87305
 244    159.630      136.768         -33.197       -6.785       137976.0          551.7    0.7853    0.3389      562.71      137.227      -67.114       -3.520     0.87128
 245    165.983      140.168         -33.648       -6.463       137662.0          550.9    0.7897    0.3454      562.29      140.584      -66.616       -3.224     0.87063
 246    172.552      143.671         -34.580       -6.157       137217.4          550.1    0.7951    0.3530      561.93      144.056      -66.130       -2.966     0.86920
 247    179.283      147.273         -36.081       -5.867       136786.9          549.3    0.8017    0.3606      561.60      147.614      -65.728       -2.674     0.86779
 248    186.852      151.330         -36.971       -5.525       136319.1          548.4    0.8071    0.3682      561.26      151.615      -65.243       -2.326     0.86623
 249    192.698      154.454         -36.892       -5.218       135969.0          547.8    0.8100    0.3731      560.92      154.704      -64.861       -2.096     0.86512
 250    197.188      156.842         -37.148       -4.950       135659.1          547.1    0.8130    0.3772      560.56      157.078      -64.583       -1.949     0.86428
 251    202.425      159.635         -37.823       -4.649       135304.1          546.4    0.8173    0.3829      560.24      159.846      -64.294       -1.757     0.86326
 252    209.211      163.258         -37.361       -4.281       134826.3          545.5    0.8200    0.3890      559.84      163.432      -63.835       -1.508     0.86165
 253    212.608      165.066         -35.887       -4.015       134603.6          544.8    0.8192    0.3908      559.35      165.227      -63.572       -1.388     0.86136
 254    216.747      167.263         -35.412       -3.736       134368.9          544.1    0.8210    0.3953      559.02      167.415      -63.280       -1.267     0.86110
 255    223.740      170.987         -33.908       -3.355       133837.0          543.2    0.8222    0.4016      558.59      171.111      -62.769       -1.057     0.85927
 256    227.373      172.916         -31.269       -3.048       133554.1          542.5    0.8195    0.4036      558.04      173.032      -62.386       -0.939     0.85875
 257    231.439      175.073         -29.855       -2.736       133389.1          541.8    0.8197    0.4078      557.78      175.181      -62.053       -0.821     0.85884
 258    238.720      178.939         -27.573       -2.333       132710.1          540.7    0.8202    0.4148      557.24      179.029      -61.457       -0.641     0.85635
 259    244.536      182.024         -24.860       -1.982       132353.2          539.8    0.8192    0.4200      556.85      182.103      -60.948       -0.509     0.85551
 260    251.225      185.569         -20.556       -1.637       131936.9          539.0    0.8156    0.4250      556.50      185.639      -60.267       -0.371     0.85424
 261    250.219      185.033         -15.309       -1.478       131942.0          538.7    0.8055    0.4213      555.81      185.107      -59.962       -0.339     0.85503
 262    251.515      185.714         -14.525       -1.255       132186.7          538.3    0.8055    0.4238      555.66      185.792      -59.809       -0.289     0.85745
 263    263.906      192.282         -12.034       -0.721       130922.3          536.5    0.8102    0.4384      555.22      192.341      -58.905       -0.086     0.85210
 264    271.537      196.324          -5.135       -0.232       129958.8          535.1    0.8041    0.4451      554.41      196.374      -57.963        0.054     0.84805
 265    273.712      197.475           0.321        0.113       130162.9          534.9    0.7961    0.4464      554.32      197.524      -57.411        0.136     0.85004
 266    278.658      200.091           6.004        0.496       129644.8          533.8    0.7905    0.4520      553.77      200.138      -56.664        0.231     0.84849
 267    282.694      202.225          12.658        0.880       129287.5          532.9    0.7827    0.4569      553.33      202.271      -55.874        0.318     0.84774
 268    287.129      204.568          19.571        1.299       128808.8          531.9    0.7750    0.4631      552.85      204.615      -54.999        0.409     0.84644
 269    291.780      207.025          27.648        1.748       128264.0          530.8    0.7661    0.4702      552.40      207.074      -53.987        0.501     0.84476
 270    294.538      208.479          36.445        2.208       127726.9          529.7    0.7548    0.4760      551.79      208.531      -52.967        0.591     0.84320
 271    296.798      209.668          45.259        2.650       127368.5          528.6    0.7433    0.4824      551.31      209.726      -51.937        0.671     0.84274
 272    301.221      211.998          55.421        3.097       126577.6          527.1    0.7322    0.4930      550.79      212.064      -50.600        0.741     0.84007
 273    304.338      213.634          67.278        3.590       125588.1          525.4    0.7184    0.5042      550.12      213.711      -49.075        0.811     0.83632
 274    305.222      214.087          79.004        4.076       124835.0          523.9    0.7030    0.5139      549.49      214.178      -47.589        0.883     0.83392
 275    305.066      213.988          91.240        4.535       124046.3          522.3    0.6864    0.5243      548.86      214.096      -46.014        0.945     0.83137
 276    304.993      213.931         103.966        4.977       123053.7          520.6    0.6700    0.5368      548.28      214.058      -44.250        1.006     0.82761
 277    303.759      213.261         116.790        5.357       121958.4          518.8    0.6530    0.5495      547.62      213.405      -42.421        1.061     0.82330
 278    300.981      211.773         129.704        5.679       120929.5          517.1    0.6347    0.5621      547.05      211.937      -40.529        1.113     0.81927
 279    297.972      210.164         142.227        5.976       119814.3          515.4    0.6171    0.5754      546.49      210.346      -38.571        1.175     0.81471
 280    294.498      208.313         154.815        6.232       118599.8          513.5    0.5996    0.5895      545.86      208.510      -36.502        1.236     0.80974
 281    290.797      206.342         167.488        6.351       117261.8          511.5    0.5824    0.6049      545.28      206.554      -34.293        1.262     0.80400
 282    286.891      204.263         179.958        6.345       115779.5          509.4    0.5659    0.6208      544.71      204.490      -31.986        1.259     0.79732
 283    282.873      202.130         192.509        6.279       114201.9          507.3    0.5499    0.6380      544.16      202.366      -29.536        1.250     0.79018
 284    278.926      200.038         205.543        6.185       112456.3          504.9    0.5341    0.6571      543.59      200.280      -26.814        1.246     0.78232
 285    275.062      197.989         217.453        5.994       110501.9          502.7    0.5207    0.6751      543.23      198.237      -24.189        1.215     0.77211
 286    269.686      195.148         228.143        5.627       108548.3          501.1    0.5078    0.6898      543.20      195.396      -21.865        1.128     0.76061
 287    263.454      191.860         238.793        5.107       106578.9          499.6    0.4946    0.7046      543.33      192.102      -19.519        0.997     0.74879
 288    258.458      189.229         248.616        4.416       104555.7          498.2    0.4837    0.7193      543.58      189.461      -17.162        0.814     0.73646
 289    252.587      186.137         257.333        3.564       102662.3          497.1    0.4725    0.7317      543.86      186.358      -15.031        0.573     0.72468
 290    245.364      182.323         264.422        2.614       100987.5          496.5    0.4605    0.7404      544.15      182.541      -13.287        0.273     0.71393
 291    237.405      178.106         269.886        1.687        99672.9          496.3    0.4482    0.7454      544.55      178.334      -11.938       -0.057     0.70508
 292    229.142      173.721         274.550        0.941        98545.1          496.5    0.4358    0.7490      545.02      173.966      -10.768       -0.355     0.69719
 293    221.753      169.790         278.962        0.365        97507.1          496.7    0.4249    0.7528      545.65      170.061       -9.575       -0.612     0.68973
 294    215.187      166.281         282.929       -0.166        96445.2          496.9    0.4159    0.7567      546.24      166.591       -8.480       -0.887     0.68213
 295    208.819      162.863         286.173       -0.731        95508.3          497.2    0.4084    0.7593      546.89      163.225       -7.670       -1.229     0.67517
 296    202.730      159.569         288.482       -1.418        94680.3          497.6    0.4024    0.7604      547.55      160.006       -7.193       -1.690     0.66873
 297    197.132      156.513         289.879       -2.172        93966.7          498.1    0.3982    0.7601      548.17      157.048       -7.022       -2.230     0.66292
 298    191.983      153.688         290.703       -2.859        93338.5          498.7    0.3952    0.7591      548.79      154.327       -7.077       -2.783     0.65750
 299    188.547      151.761         291.067       -3.508        92801.1          499.3    0.3942    0.7581      549.41      152.510       -7.179       -3.288     0.65250
 300    186.027      150.358         291.232       -4.050        92487.7          499.8    0.3929    0.7571      549.83      151.179       -7.202       -3.578     0.64919
 301    182.995      148.727         291.615       -4.383        92340.3          500.3    0.3898    0.7559      550.28      149.576       -7.170       -3.737     0.64710
 302    179.584      146.908         291.956       -4.645        92244.6          501.0    0.3855    0.7542      550.78      147.773       -7.123       -3.845     0.64521
 303    176.288      145.146         291.429       -4.927        92335.8          502.0    0.3813    0.7505      551.31      146.031       -7.207       -3.957     0.64435
 304    171.386      142.535         292.740       -5.106        92515.7          501.6    0.3735    0.7505      550.79      143.440       -6.805       -4.062     0.64646
 305    170.518      142.084         295.667       -5.234        92592.1          500.4    0.3700    0.7574      550.07      142.981       -5.560       -4.008     0.64922
 306    169.219      141.387         297.011       -5.409        92250.6          498.6    0.3676    0.7615      548.36      142.294       -5.065       -4.072     0.64971
 307    168.054      140.737         299.034       -5.646        92879.1          498.8    0.3614    0.7650      548.71      141.679       -4.032       -4.007     0.65469
 308    162.876      137.651         298.177       -6.681        93006.8          499.9    0.3523    0.7593      549.05      138.942       -4.460       -4.809     0.65449
 309    146.778      128.161         292.715       -8.410        93918.0          502.9    0.3366    0.7362      549.84      130.434       -7.595       -6.743     0.65675
 310    135.690      121.051         284.936      -10.018        95054.5          507.2    0.3364    0.7125      552.19      124.573      -10.888       -8.678     0.65891
 311    129.083      117.118         278.964      -10.852        95735.7          510.4    0.3389    0.6956      554.06      121.081      -12.897       -9.594     0.65851
 312    131.416      119.268         279.710      -10.742        95960.1          511.4    0.3378    0.6973      555.23      122.314      -12.028       -8.531     0.65758
 313    134.808      121.644         283.352      -10.538        95388.4          511.2    0.3318    0.7053      555.56      124.107      -10.694       -7.533     0.65335
 314    136.322      122.642         286.776      -10.572        95264.1          511.8    0.3253    0.7119      556.72      124.907       -9.522       -7.141     0.65114
 315    139.632      124.523         290.389      -10.791        94814.8          512.1    0.3208    0.7200      557.71      126.656       -7.829       -6.783     0.64736
 316    141.872      125.737         293.992      -11.139        94561.2          512.6    0.3164    0.7277      558.91      127.840       -6.154       -6.674     0.64474
 317    145.299      127.561         297.555      -11.530        94125.4          512.7    0.3145    0.7361      559.82      129.652       -4.231       -6.538     0.64148
 318    148.249      129.079         300.944      -12.095        93825.9          512.8    0.3133    0.7439      560.78      131.211       -2.399       -6.550     0.63909
 319    151.793      130.907         304.122      -12.596        93407.5          512.6    0.3140    0.7519      561.45      133.084       -0.626       -6.517     0.63633
 320    155.004      132.530         307.045      -13.315        93136.2          512.6    0.3151    0.7592      562.20      134.781        0.965       -6.607     0.63446
 321    158.273      134.276         309.522      -13.580        92806.2          512.3    0.3173    0.7658      562.68      136.509        2.287       -6.499     0.63244
 322    162.390      136.232         311.710      -14.976        92482.1          511.9    0.3212    0.7723      563.09      138.685        3.430       -6.834     0.63058
 323    185.018      150.644         333.470        0.425        93161.2          503.9    0.3516    0.8334      562.20      150.645       12.595        0.162     0.64415
 324    184.502      150.050         333.396       -9.833        93273.5          504.0    0.3509    0.8329      562.21      150.372       12.590       -3.741     0.64483
 325    166.425      140.557         337.091       -8.503        93841.0          504.8    0.3321    0.8319      562.97      140.818       14.989       -3.446     0.64774
 326    163.822      139.211         337.751       -7.930        94064.0          505.0    0.3297    0.8321      563.27      139.442       15.423       -3.238     0.64896
 327    161.205      137.853         338.576       -7.389        93966.9          504.9    0.3276    0.8330      563.23      138.059       15.932       -3.036     0.64848
 328    158.073      136.218         339.551       -6.892        94138.2          505.0    0.3250    0.8337      563.55      136.403       16.555       -2.852     0.64943
 329    154.541      134.366         340.677       -6.487        94056.4          504.9    0.3222    0.8349      563.60      134.537       17.291       -2.707     0.64903
 330    151.238      132.630         341.907       -6.177        94200.5          505.1    0.3199    0.8363      563.97      132.791       18.075       -2.600     0.64983
 331    147.386      130.600         343.252       -5.935        94149.2          505.0    0.3174    0.8380      564.14      130.755       18.987       -2.526     0.64958
 332    144.028      128.828         344.657       -5.767        94304.2          505.1    0.3155    0.8399      564.60      128.980       19.900       -2.484     0.65045
 333    139.841      126.614         346.174       -5.644        94234.9          505.0    0.3133    0.8421      564.82      126.767       20.988       -2.474     0.65010
 334    136.200      124.685         347.753       -5.590        94331.8          505.1    0.3119    0.8445      565.29      124.842       22.072       -2.503     0.65065
 335    131.693      122.293         349.524       -5.578        94197.2          504.9    0.3102    0.8474      565.56      122.461       23.402       -2.575     0.64994
 336    128.030      120.340         351.349       -5.629        94257.8          504.9    0.3099    0.8507      566.11      120.524       24.668       -2.695     0.65031
 337    123.543      117.943         353.358       -5.717        94106.8          504.7    0.3096    0.8544      566.49      118.153       26.183       -2.877     0.64951
 338    119.939      116.002         355.308       -5.839        94153.0          504.7    0.3105    0.8583      567.11      116.248       27.538       -3.104     0.64982
 339    115.272      113.479         357.505       -6.001        93939.0          504.4    0.3116    0.8629      567.55      113.781       29.221       -3.456     0.64868
 340    111.438      111.368         359.695       -6.216        93887.7          504.3    0.3141    0.8676      568.20      111.755       30.725       -3.953     0.64848
 341    106.504      108.622         362.244       -6.475        93544.3          503.8    0.3174    0.8735      568.71      109.147       32.618       -4.816     0.64664
 342    102.761      106.400         364.943       -6.732        93394.9          503.5    0.3230    0.8801      569.50      107.169       34.128       -6.274     0.64598
 343     99.620      103.714         368.856       -7.184        92928.6          502.8    0.3319    0.8901      570.37      105.508       35.720       -9.579     0.64367
 344    103.032      101.371         368.929       -7.065        92512.2          502.3    0.3347    0.8917      570.27      107.312       34.799       -5.280     0.64135
 345    128.305      118.245         360.624       -6.344        92174.7          502.3    0.3379    0.8798      568.75      120.670       27.854       -1.419     0.63888
 346    142.715      127.548         354.653       -5.644        91429.9          500.9    0.3418    0.8724      566.46      128.286       16.917        1.180     0.63537
 347    152.621      132.888         351.570       -5.295        91323.5          500.8    0.3492    0.8687      565.90      133.522       13.153        0.381     0.63480
 348    162.633      138.255         348.196       -4.919        90907.7          500.2    0.3562    0.8655      564.76      138.814       11.167        0.314     0.63260
 349    165.705      139.916         345.696       -4.503        90969.4          500.3    0.3575    0.8611      564.19      140.437       10.475        0.227     0.63293
 350    172.035      143.274         344.371       -4.322        90597.6          499.7    0.3641    0.8615      563.71      143.783        9.592        0.261     0.63097
 351    177.418      146.119         343.292       -4.148        90295.4          499.3    0.3703    0.8621      563.40      146.628        8.747        0.334     0.62938
 352    186.019      150.669         342.219       -4.039        89780.4          498.5    0.3801    0.8648      563.10      151.174        7.679        0.448     0.62661
 353    195.652      155.785         339.804       -3.803        89340.8          497.9    0.3888    0.8650      562.53      156.266        6.383        0.618     0.62417
 354    200.342      158.302         336.045       -3.318        89128.9          497.6    0.3907    0.8598      561.32      158.745        5.369        0.731     0.62300
 355    202.138      159.268         333.659       -2.925        89211.0          497.8    0.3912    0.8557      560.80      159.694        4.759        0.811     0.62349
 356    208.382      162.573         332.242       -2.731        88746.0          497.0    0.3984    0.8570      560.28      162.994        4.008        0.907     0.62100
 357    215.387      166.287         329.922       -2.449        88373.9          496.5    0.4055    0.8569      559.70      166.696        3.053        1.036     0.61896
 358    220.540      169.029         326.510       -2.029        88042.0          496.0    0.4095    0.8535      558.65      169.420        1.985        1.179     0.61712
 359    222.796      170.233         323.643       -1.608        88017.5          496.0    0.4110    0.8491      557.93      170.612        1.181        1.286     0.61703
 360    229.036      173.538         321.648       -1.360        87601.4          495.4    0.4181    0.8498      557.36      173.910        0.415        1.379     0.61479
 361    236.105      177.285         318.233       -0.992        87152.3          494.7    0.4253    0.8484      556.44      177.647       -0.711        1.520     0.61228
 362    239.009      178.835         314.228       -0.496        86950.0          494.4    0.4273    0.8426      555.20      179.182       -1.729        1.631     0.61119
 363    243.095      181.002         311.539       -0.131        86786.7          494.1    0.4319    0.8405      554.59      181.342       -2.520        1.729     0.61036
 364    250.739      185.049         307.883        0.229        86179.8          493.2    0.4408    0.8398      553.51      185.382       -3.644        1.848     0.60697
 365    254.670      187.137         303.423        0.721        85922.5          492.8    0.4447    0.8345      552.27      187.459       -4.772        1.962     0.60556
 366    259.579      189.741         299.436        1.150        85622.6          492.4    0.4504    0.8310      551.25      190.054       -5.791        2.056     0.60393
 367    264.528      192.364         294.727        1.619        85201.3          491.8    0.4564    0.8266      549.88      192.670       -6.964        2.162     0.60157
 368    268.913      194.689         289.997        2.103        84909.3          491.3    0.4618    0.8217      548.65      194.987       -8.083        2.256     0.59999
 369    273.964      197.364         284.866        2.612        84480.2          490.7    0.4685    0.8169      547.24      197.657       -9.289        2.360     0.59758
 370    277.907      199.453         279.317        3.181        84112.1          490.2    0.4741    0.8106      545.70      199.741      -10.529        2.466     0.59554
 371    281.971      201.604         273.762        3.720        83751.8          489.6    0.4804    0.8046      544.24      201.889      -11.780        2.565     0.59353
 372    286.509      204.006         267.568        4.237        83283.8          489.0    0.4877    0.7981      542.53      204.288      -13.099        2.644     0.59092
 373    290.438      206.083         260.997        4.763        82850.6          488.3    0.4948    0.7908      540.78      206.364      -14.477        2.725     0.58849
 374    294.229      208.089         253.940        5.292        82366.8          487.6    0.5025    0.7827      538.85      208.368      -15.924        2.794     0.58578
 375    297.744      209.948         246.388        5.806        81860.5          486.9    0.5106    0.7739      536.82      210.226      -17.444        2.854     0.58295
 376    301.304      211.831         238.294        6.303        81292.3          486.1    0.5198    0.7646      534.63      212.108      -19.038        2.904     0.57976
 377    304.791      213.675         229.659        6.780        80663.0          485.2    0.5299    0.7548      532.30      213.951      -20.678        2.944     0.57622
 378    308.054      215.399         220.462        7.238        79963.0          484.1    0.5409    0.7446      529.82      215.676      -22.385        2.978     0.57226
 379    310.946      216.927         210.738        7.686        79196.6          483.0    0.5527    0.7336      527.19      217.204      -24.156        3.009     0.56791
 380    313.698      218.379         200.718        8.113        78381.2          481.8    0.5656    0.7226      524.51      218.658      -25.920        3.036     0.56327
 381    315.814      219.496         190.411        8.496        77521.4          480.6    0.5789    0.7111      521.75      219.777      -27.708        3.056     0.55833
 382    317.507      220.390         180.115        8.829        76636.2          479.4    0.5925    0.6996      519.01      220.672      -29.435        3.061     0.55325
 383    318.871      221.111         169.801        9.107        75731.6          478.1    0.6066    0.6883      516.30      221.392      -31.124        3.055     0.54803
 384    319.529      221.460         159.413        9.340        74770.9          476.7    0.6209    0.6765      513.52      221.740      -32.801        3.041     0.54246
 385    319.919      221.668         149.448        9.525        73824.9          475.4    0.6350    0.6653      510.86      221.946      -34.354        3.019     0.53698
 386    320.217      221.829         139.665        9.644        72843.6          474.1    0.6495    0.6548      508.22      222.104      -35.832        2.985     0.53131
 387    320.379      221.920         129.661        9.691        71802.9          472.6    0.6648    0.6445      505.53      222.189      -37.330        2.941     0.52526
 388    320.902      222.204         119.730        9.669        70695.8          471.0    0.6812    0.6353      502.87      222.466      -38.707        2.876     0.51881
 389    321.094      222.313         109.812        9.617        69548.5          469.3    0.6977    0.6266      500.22      222.568      -40.068        2.814     0.51211
 390    321.128      222.336          99.850        9.578        68388.3          467.7    0.7148    0.6181      497.62      222.586      -41.395        2.765     0.50526
 391    320.446      221.981          90.415        9.507        67191.5          466.0    0.7309    0.6099      495.05      222.225      -42.642        2.715     0.49819
 392    319.029      221.240          81.575        9.376        66150.1          464.6    0.7455    0.6013      492.80      221.476      -43.872        2.650     0.49196
 393    316.125      219.717          74.483        9.143        65164.2          463.5    0.7559    0.5928      490.79      219.941      -44.911        2.560     0.48606
 394    309.900      216.439          68.844        8.840        64500.8          462.9    0.7606    0.5816      489.20      216.651      -46.088        2.480     0.48201
 395    303.586      213.111          63.564        8.538        64019.9          462.8    0.7644    0.5686      487.89      213.314      -47.309        2.394     0.47906
 396    298.275      210.315          59.552        8.220        63506.0          462.6    0.7670    0.5575      486.73      210.507      -48.209        2.284     0.47604
 397    291.795      206.900          56.161        7.883        63246.7          462.6    0.7677    0.5462      485.84      207.082      -49.121        2.184     0.47450
 398    285.863      203.774          52.481        7.597        62946.4          462.5    0.7695    0.5356      484.87      203.947      -50.056        2.100     0.47271
 399    281.160      201.295          49.094        7.352        62573.8          462.3    0.7721    0.5272      483.93      201.460      -50.843        2.023     0.47050
 400    276.468      198.821          46.047        7.138        62250.0          462.1    0.7742    0.5194      483.11      198.980      -51.605        1.956     0.46854
 401    271.848      196.386          43.524        6.925        61940.6          461.9    0.7754    0.5124      482.35      196.539      -52.313        1.886     0.46666
 402    267.382      194.031          41.573        6.708        61715.5          461.8    0.7757    0.5061      481.79      194.178      -52.930        1.812     0.46525
 403    262.715      191.569          39.929        6.479        61575.2          461.8    0.7753    0.4998      481.37      191.712      -53.543        1.731     0.46433
 404    258.228      189.202          38.548        6.278        61430.5          461.8    0.7745    0.4943      480.95      189.340      -54.105        1.658     0.46340
 405    254.355      187.158          37.372        6.100        61326.9          461.9    0.7738    0.4895      480.64      187.293      -54.591        1.596     0.46270
 406    250.792      185.277          36.358        5.950        61212.8          461.9    0.7731    0.4852      480.38      185.409      -55.053        1.543     0.46191
 407    247.796      183.696          35.491        5.809        61172.2          462.0    0.7725    0.4817      480.23      183.826      -55.416        1.497     0.46157
 408    244.574      181.993          34.697        5.711        61018.3          461.9    0.7718    0.4784      479.87      182.123      -55.843        1.462     0.46061
 409    243.247      181.293          34.228        5.647        60965.9          462.0    0.7718    0.4769      479.79      181.422      -56.001        1.441     0.46023
 410    240.452      179.817          34.119        5.555        60939.8          462.0    0.7699    0.4739      479.65      179.945      -56.271        1.420     0.46000
