Span station K = 19

J          %dVm         Vx(m/s)     Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)   Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density
  50     92.596      108.618          21.770        0.225       329177.5          701.2    0.5878    0.2269      709.31      108.648      -70.297       -1.088     1.63504
  51     98.091      111.717          26.265        0.097       328044.6          700.7    0.5837    0.2339      709.28      111.747      -69.503       -1.166     1.63053
  52    102.439      114.168          31.133       -0.052       327305.7          700.2    0.5782    0.2400      709.28      114.200      -68.724       -1.236     1.62775
  53    107.748      117.162          36.029       -0.201       326273.6          699.6    0.5736    0.2476      709.24      117.195      -67.859       -1.307     1.62390
  54    112.807      120.015          41.860       -0.376       325085.2          698.9    0.5675    0.2557      709.13      120.049      -66.888       -1.371     1.61946
  55    117.464      122.641          47.941       -0.563       323987.9          698.3    0.5609    0.2638      709.09      122.676      -65.885       -1.436     1.61537
  56    122.393      125.420          54.525       -0.765       322643.5          697.6    0.5540    0.2730      709.04      125.457      -64.765       -1.503     1.61024
  57    127.382      128.233          61.830       -0.982       321147.7          696.8    0.5464    0.2833      709.06      128.271      -63.517       -1.564     1.60438
  58    132.424      131.076          69.916       -1.217       319398.2          695.9    0.5379    0.2947      709.10      131.116      -62.111       -1.623     1.59747
  59    137.201      133.768          78.850       -1.471       317439.9          694.9    0.5286    0.3073      709.13      133.810      -60.549       -1.683     1.58971
  60    141.871      136.400          88.624       -1.736       315230.0          693.8    0.5184    0.3213      709.18      136.445      -58.794       -1.738     1.58094
  61    146.065      138.763          99.292       -2.013       312678.9          692.4    0.5072    0.3366      709.19      138.811      -56.843       -1.796     1.57078
  62    150.030      140.996         110.711       -2.292       309902.3          691.0    0.4956    0.3534      709.24      141.047      -54.672       -1.853     1.55975
  63    153.174      142.765         122.965       -2.568       306697.5          689.3    0.4831    0.3714      709.20      142.821      -52.277       -1.913     1.54697
  64    155.611      144.135         135.752       -2.827       303287.8          687.4    0.4702    0.3904      709.15      144.196      -49.661       -1.966     1.53343
  65    157.322      145.095         149.042       -3.055       299636.7          685.4    0.4570    0.4105      709.15      145.161      -46.824       -2.015     1.51880
  66    157.781      145.348         162.832       -3.240       295531.7          683.2    0.4430    0.4314      709.02      145.420      -43.742       -2.048     1.50222
  67    157.775      145.340         176.488       -3.374       291473.1          681.1    0.4295    0.4526      709.01      145.417      -40.511       -2.066     1.48577
  68    157.369      145.105         190.265       -3.451       287096.8          678.7    0.4165    0.4746      708.96      145.188      -37.074       -2.068     1.46793
  69    156.752      144.751         204.313       -3.468       282425.7          676.2    0.4042    0.4977      708.95      144.839      -33.387       -2.049     1.44877
  70    156.090      144.371         218.592       -3.430       277363.3          673.5    0.3930    0.5219      708.91      144.466      -29.468       -2.007     1.42789
  71    155.517      144.042         233.081       -3.347       272010.3          670.7    0.3831    0.5472      708.90      144.143      -25.339       -1.943     1.40573
  72    155.368      143.950         247.763       -3.234       266309.9          667.6    0.3748    0.5737      708.88      144.058      -21.013       -1.862     1.38206
  73    155.708      144.134         262.638       -3.109       260276.3          664.3    0.3686    0.6014      708.88      144.251      -16.512       -1.770     1.35693
