Span station K = 19

J          %dVm         Vx(m/s)     Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)   Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density
 221    172.358      153.550         -57.242       -4.756       134003.8          571.8    0.8284    0.3511      583.64      153.643      -66.640       -1.833     0.81650
 222    166.897      150.447         -58.241       -5.127       134363.5          572.0    0.8278    0.3459      583.50      150.562      -67.121       -2.039     0.81842
 223    160.841      147.002         -59.205       -5.508       134618.7          572.1    0.8271    0.3402      583.29      147.146      -67.647       -2.274     0.81979
 224    154.917      143.626         -60.178       -5.900       134929.7          572.3    0.8265    0.3348      583.17      143.804      -68.165       -2.534     0.82140
 225    148.631      140.032         -61.208       -6.389       135163.3          572.4    0.8260    0.3292      582.99      140.258      -68.718       -2.872     0.82264
 226    142.661      136.608         -62.457       -6.883       135432.2          572.6    0.8263    0.3245      582.92      136.890      -69.256       -3.243     0.82402
 227    136.541      133.082         -63.928       -7.433       135593.8          572.7    0.8272    0.3202      582.79      133.438      -69.817       -3.696     0.82489
 228    130.749      129.721         -65.555       -8.020       135755.2          572.7    0.8287    0.3168      582.70      130.171      -70.357       -4.218     0.82579
 229    124.853      126.284         -67.136       -8.579       135803.9          572.7    0.8303    0.3136      582.57      126.845      -70.903       -4.810     0.82610
 230    119.362      123.062         -68.821       -9.071       135854.2          572.7    0.8324    0.3114      582.52      123.747      -71.416       -5.436     0.82637
 231    114.037      119.899         -70.801       -9.585       135795.5          572.6    0.8354    0.3103      582.44      120.743      -71.923       -6.190     0.82616
 232    109.197      116.990         -73.303      -10.007       135729.7          572.5    0.8398    0.3111      582.43      118.012      -72.397       -6.993     0.82591
 233    104.667      114.171         -76.370      -10.509       135523.5          572.2    0.8458    0.3140      582.41      115.457      -72.852       -8.068     0.82502
 234    100.652      111.530         -79.569      -10.974       135284.6          571.9    0.8524    0.3182      582.44      113.192      -73.258       -9.383     0.82395
 235     97.268      109.029         -83.306      -11.309       134855.6          571.5    0.8605    0.3247      582.52      111.283      -73.617      -11.087     0.82191
 236     94.855      107.100         -85.842      -10.968       134370.5          571.2    0.8663    0.3298      582.51      109.922      -73.867      -12.204     0.81946
 237     94.291      104.763         -92.877      -10.778       133769.2          569.8    0.8829    0.3457      582.31      109.604      -74.023      -13.390     0.81778
 238     94.946      103.119         -76.637       -9.496       132824.1          570.5    0.8480    0.3134      581.27      109.973      -73.801      -12.001     0.81090
 239    100.035      108.438         -50.803       -8.050       133794.2          572.4    0.7941    0.2880      582.28      112.844      -72.789      -10.515     0.81386
 240    111.062      116.550         -47.689       -7.804       134263.5          572.9    0.7903    0.2965      583.11      119.065      -71.761       -8.108     0.81622
 241    121.651      124.147         -50.708       -7.453       133841.3          572.1    0.7999    0.3119      582.94      125.038      -70.804       -6.025     0.81475
 242    131.787      130.141         -52.198       -7.101       133407.3          571.5    0.8065    0.3273      582.97      130.756      -69.864       -4.719     0.81299
 243    141.578      135.810         -52.729       -6.701       132929.2          570.8    0.8113    0.3395      582.93      136.280      -68.969       -3.806     0.81098
 244    149.911      140.590         -52.598       -6.321       132527.5          570.3    0.8145    0.3487      582.95      140.981      -68.201       -3.238     0.80923
 245    156.211      144.176         -52.199       -6.021       132162.5          569.9    0.8166    0.3552      582.89      144.534      -67.622       -2.918     0.80763
 246    162.359      147.661         -52.398       -5.754       131791.7          569.5    0.8201    0.3624      582.92      148.003      -67.098       -2.674     0.80596
 247    169.539      151.746         -53.263       -5.477       131270.9          568.8    0.8254    0.3708      582.88      152.053      -66.568       -2.380     0.80359
 248    177.215      156.122         -53.502       -5.159       130814.5          568.3    0.8296    0.3787      582.92      156.383      -66.001       -2.057     0.80149
 249    183.410      159.644         -52.670       -4.875       130406.6          567.9    0.8312    0.3838      582.85      159.878      -65.511       -1.834     0.79958
 250    187.729      162.085         -52.065       -4.643       130158.0          567.6    0.8324    0.3876      582.89      162.314      -65.171       -1.709     0.79842
 251    193.428      165.321         -52.042       -4.353       129723.3          567.1    0.8357    0.3938      582.92      165.529      -64.780       -1.520     0.79636
 252    200.317      169.240         -50.872       -4.002       129256.5          566.6    0.8372    0.3999      582.96      169.416      -64.258       -1.283     0.79410
 253    203.926      171.286         -48.590       -3.747       128977.2          566.3    0.8350    0.4015      582.84      171.452      -63.920       -1.169     0.79273
 254    207.920      173.544         -47.507       -3.481       128764.8          566.1    0.8355    0.4056      583.00      173.705      -63.602       -1.062     0.79170
 255    215.111      177.630         -45.461       -3.088       128179.3          565.5    0.8361    0.4120      583.01      177.761      -63.038       -0.849     0.78878
 256    218.393      179.487         -42.110       -2.766       127938.9          565.3    0.8318    0.4130      582.92      179.613      -62.637       -0.735     0.78757
 257    222.238      181.663         -40.132       -2.420       127777.1          565.1    0.8308    0.4166      583.15      181.781      -62.285       -0.609     0.78671
 258    229.350      185.694         -37.364       -1.955       127096.3          564.4    0.8306    0.4233      583.09      185.794      -61.671       -0.417     0.78335
 259    234.959      188.869         -34.054       -1.538       126728.2          564.0    0.8285    0.4280      583.18      188.958      -61.138       -0.268     0.78151
 260    241.184      192.389         -29.133       -1.146       126348.6          563.8    0.8238    0.4321      583.35      192.469      -60.449       -0.124     0.77945
 261    239.195      191.259         -23.137       -0.942       126435.9          564.1    0.8114    0.4264      583.07      191.347      -60.161       -0.083     0.77965
 262    239.580      191.469         -21.927       -0.668       126761.1          564.3    0.8098    0.4274      583.46      191.564      -60.045       -0.025     0.78141
 263    251.757      198.357         -19.253       -0.036       125469.2          562.8    0.8148    0.4422      583.51      198.434      -59.143        0.208     0.77506
 264    259.164      202.544         -11.761        0.575       124443.7          561.7    0.8082    0.4486      583.07      202.612      -58.188        0.380     0.76986
 265    260.084      203.062          -5.625        0.993       124723.9          562.2    0.7982    0.4479      583.51      203.132      -57.675        0.474     0.77111
 266    263.587      205.036           0.476        1.427       124315.1          561.8    0.7911    0.4514      583.49      205.107      -56.998        0.573     0.76902
 267    266.550      206.705           7.427        1.868       123991.6          561.5    0.7824    0.4547      583.57      206.779      -56.273        0.669     0.76732
 268    269.750      208.507          14.644        2.330       123575.3          561.1    0.7736    0.4590      583.60      208.584      -55.469        0.769     0.76521
 269    273.047      210.362          23.056        2.812       123108.0          560.6    0.7635    0.4642      583.70      210.444      -54.531        0.871     0.76279
 270    274.396      211.117          32.176        3.296       122634.2          560.1    0.7509    0.4679      583.61      211.205      -53.594        0.963     0.76036
 271    275.113      211.514          41.172        3.722       122341.7          559.8    0.7383    0.4718      583.68      211.609      -52.674        1.034     0.75894
 272    277.994      213.130          51.384        4.159       121619.3          558.9    0.7265    0.4801      583.69      213.235      -51.462        1.090     0.75540
 273    279.657      214.056          63.296        4.688       120687.6          557.8    0.7121    0.4890      583.49      214.173      -50.064        1.159     0.75079
 274    279.093      213.724          75.014        5.185       119990.3          557.0    0.6961    0.4962      583.43      213.855      -48.710        1.224     0.74737
 275    277.620      212.876          87.007        5.595       119255.7          556.2    0.6793    0.5040      583.34      213.024      -47.295        1.252     0.74376
 276    276.410      212.177          99.446        5.917       118339.5          555.2    0.6627    0.5139      583.26      212.341      -45.686        1.260     0.73923
 277    274.235      210.934         112.006        6.112       117312.4          554.0    0.6457    0.5243      583.13      211.114      -44.000        1.244     0.73409
 278    270.865      209.018         124.585        6.220       116314.9          552.9    0.6276    0.5348      583.02      209.213      -42.251        1.216     0.72909
 279    267.316      207.005         136.784        6.279       115269.1          551.8    0.6100    0.5459      582.92      207.211      -40.433        1.199     0.72387
 280    263.501      204.846         149.068        6.334       114090.4          550.5    0.5926    0.5581      582.75      205.059      -38.498        1.196     0.71801
 281    259.713      202.705         161.427        6.204       112802.7          549.1    0.5757    0.5717      582.62      202.922      -36.419        1.150     0.71157
 282    255.827      200.511         173.753        5.870       111352.0          547.5    0.5594    0.5863      582.45      200.730      -34.211        1.047     0.70426
 283    252.041      198.371         186.288        5.533       109792.5          545.8    0.5437    0.6023      582.37      198.594      -31.830        0.943     0.69633
 284    248.645      196.450         199.124        5.228       108002.6          543.9    0.5289    0.6203      582.27      196.679      -29.226        0.852     0.68718
 285    245.793      194.831         212.133        4.884       106058.6          541.9    0.5156    0.6400      582.25      195.069      -26.415        0.750     0.67718
 286    243.431      193.492         225.172        4.386       103966.4          539.7    0.5040    0.6611      582.32      193.737      -23.442        0.607     0.66632
 287    241.228      192.244         238.215        3.691       101731.6          537.4    0.4936    0.6831      582.42      192.494      -20.343        0.412     0.65463
 288    239.703      191.378         250.763        2.755        99486.1          535.1    0.4852    0.7053      582.64      191.634      -17.222        0.152     0.64282
 289    237.096      189.888         261.781        1.558        97271.9          533.1    0.4765    0.7243      582.73      190.163      -14.437       -0.205     0.63098
 290    231.764      186.817         269.578        0.059        95451.1          531.9    0.4655    0.7352      582.69      187.155      -12.526       -0.737     0.62098
 291    223.892      182.266         273.950       -1.475        94325.7          531.9    0.4523    0.7373      582.82      182.715      -11.556       -1.397     0.61445
 292    214.919      177.106         277.117       -2.513        93647.1          532.5    0.4383    0.7364      583.20      177.652      -10.885       -1.968     0.61027
 293    207.215      172.714         280.853       -3.061        93014.7          533.0    0.4258    0.7377      583.72      173.307       -9.899       -2.331     0.60642
 294    201.178      169.284         285.013       -3.432        92161.2          533.0    0.4162    0.7415      584.15      169.901       -8.685       -2.598     0.60146
 295    195.876      166.245         288.841       -3.817        91285.3          533.0    0.4090    0.7454      584.58      166.910       -7.628       -2.916     0.59631
 296    191.020      163.410         291.778       -4.356        90458.8          533.0    0.4040    0.7481      584.97      164.171       -6.896       -3.373     0.59135
 297    186.714      160.854         293.825       -4.953        89728.0          533.0    0.4010    0.7495      585.31      161.742       -6.463       -3.899     0.58690
 298    182.795      158.525         295.478       -5.397        89043.3          533.0    0.3993    0.7506      585.60      159.531       -6.220       -4.389     0.58270
 299    180.604      157.210         296.839       -5.655        88435.9          532.9    0.3998    0.7523      585.89      158.295       -5.998       -4.706     0.57895
 300    179.123      156.361         298.110       -5.770        87986.3          532.8    0.3997    0.7541      586.12      157.459       -5.703       -4.761     0.57614
 301    177.477      155.441         299.541       -5.785        87701.0          532.9    0.3983    0.7560      586.47      156.531       -5.365       -4.743     0.57419
 302    175.568      154.371         300.732       -5.812        87392.0          532.9    0.3960    0.7571      586.67      155.454       -5.057       -4.718     0.57212
 303    173.759      153.348         301.422       -5.883        87332.2          533.3    0.3931    0.7571      587.04      154.433       -4.810       -4.691     0.57129
 304    170.422      151.442         301.289       -6.017        87289.6          533.7    0.3882    0.7545      587.10      152.551       -4.822       -4.740     0.57057
 305    167.568      149.816         300.581       -6.155        87678.4          534.7    0.3829    0.7505      587.56      150.941       -4.812       -4.687     0.57205
 306    162.180      146.729         298.986       -6.348        87957.4          535.7    0.3743    0.7432      587.48      147.902       -5.249       -4.796     0.57299
 307    159.046      144.889         299.171       -6.631        88855.1          536.9    0.3646    0.7403      588.11      146.134       -4.797       -4.754     0.57755
 308    151.512      140.272         296.604       -7.721        89465.7          538.5    0.3511    0.7295      588.14      141.884       -5.800       -5.545     0.57992
 309    134.051      129.426         289.713       -9.581        90505.9          541.7    0.3373    0.7050      588.66      132.034       -9.564       -7.730     0.58323
 310    124.119      122.704         280.468      -11.233        91461.4          544.4    0.3405    0.6804      589.24      126.431      -13.052       -9.543     0.58618
 311    117.062      118.218         274.364      -12.171        92104.8          546.2    0.3426    0.6638      589.63      122.449      -15.260      -10.530     0.58815
 312    120.169      120.573         276.601      -12.354        92286.4          546.4    0.3391    0.6693      590.14      124.202      -14.040       -9.558     0.58900
 313    124.350      123.307         280.441      -12.547        91739.9          545.5    0.3339    0.6788      589.82      126.561      -12.417       -8.738     0.58661
 314    125.970      124.297         283.975      -12.879        91680.4          545.3    0.3277    0.6862      590.23      127.474      -11.159       -8.490     0.58635
 315    129.290      126.230         287.472      -13.388        91270.6          544.7    0.3237    0.6947      590.23      129.348       -9.491       -8.216     0.58449
 316    131.175      127.278         291.011      -13.890        91108.9          544.3    0.3192    0.7025      590.56      130.411       -7.914       -8.148     0.58381
 317    134.336      129.033         294.534      -14.506        90751.0          543.6    0.3169    0.7111      590.66      132.194       -6.052       -8.053     0.58228
 318    136.927      130.403         297.944      -15.224        90533.0          543.1    0.3151    0.7192      590.95      133.656       -4.263       -8.092     0.58140
 319    140.104      132.147         301.303      -15.803        90180.9          542.4    0.3151    0.7276      591.04      135.448       -2.431       -8.042     0.57996
 320    142.852      133.671         304.605      -16.276        89965.3          541.8    0.3153    0.7358      591.30      136.998       -0.683       -7.996     0.57921
 321    145.806      135.331         307.542      -16.535        89661.2          541.1    0.3168    0.7434      591.45      138.665        0.862       -7.866     0.57797
 322    149.304      137.195         310.687      -17.358        89377.7          540.3    0.3196    0.7518      591.57      140.638        2.467       -7.951     0.57701
 323    172.690      153.814         337.984        2.293        89963.8          528.1    0.3526    0.8262      588.10      153.831       13.936        0.854     0.59359
 324    172.005      153.136         337.960       -9.716        90033.5          528.2    0.3518    0.8257      588.11      153.444       13.961       -3.623     0.59397
 325    153.097      142.564         342.333       -7.758        90578.4          529.1    0.3319    0.8251      589.06      142.778       16.770       -3.100     0.59652
 326    149.788      140.747         343.249       -6.677        90794.1          529.4    0.3287    0.8253      589.51      140.911       17.366       -2.689     0.59752
 327    146.952      139.180         344.314       -5.859        90651.8          529.3    0.3265    0.8265      589.53      139.311       17.996       -2.373     0.59674
 328    143.566      137.292         345.535       -5.187        90811.0          529.5    0.3237    0.8275      589.96      137.401       18.753       -2.120     0.59752
 329    140.083      135.340         346.863       -4.711        90699.0          529.4    0.3212    0.8291      590.06      135.436       19.586       -1.948     0.59693
 330    136.785      133.485         348.292       -4.366        90826.4          529.5    0.3191    0.8308      590.52      133.575       20.463       -1.830     0.59757
 331    133.093      131.403         349.832       -4.098        90749.7          529.5    0.3170    0.8329      590.75      131.493       21.457       -1.750     0.59716
 332    129.862      129.574         351.410       -3.940        90884.8          529.6    0.3155    0.8351      591.29      129.670       22.433       -1.716     0.59785
 333    125.923      127.340         353.077       -3.871        90792.1          529.5    0.3138    0.8375      591.57      127.448       23.569       -1.737     0.59736
 334    122.497      125.387         354.831       -3.900        90867.7          529.6    0.3129    0.8403      592.13      125.516       24.694       -1.808     0.59775
 335    118.290      122.985         356.749       -4.004        90709.9          529.4    0.3119    0.8436      592.44      123.142       26.046       -1.943     0.59692
 336    114.865      121.017         358.734       -4.198        90746.8          529.4    0.3122    0.8471      593.06      121.210       27.321       -2.133     0.59713
 337    110.680      118.608         360.904       -4.433        90571.5          529.2    0.3126    0.8513      593.49      118.849       28.832       -2.393     0.59623
 338    107.353      116.670         363.020       -4.749        90591.7          529.1    0.3142    0.8555      594.17      116.972       30.167       -2.730     0.59639
 339    103.045      114.154         365.379       -5.133        90352.6          528.8    0.3161    0.8605      594.65      114.542       31.805       -3.230     0.59518
 340     99.564      112.071         367.774       -5.579        90273.5          528.6    0.3194    0.8658      595.36      112.579       33.252       -3.915     0.59485
 341     95.081      109.347         370.492       -6.112        89903.7          528.1    0.3235    0.8721      595.91      110.049       35.042       -5.091     0.59297
 342     91.981      107.186         373.428       -6.769        89722.5          527.6    0.3300    0.8792      596.76      108.301       36.397       -7.183     0.59219
 343     90.080      104.553         377.788       -7.586        89230.5          526.8    0.3402    0.8902      597.78      107.228       37.665      -10.294     0.58984
 344     93.902      102.348         377.875       -7.532        88761.2          526.3    0.3432    0.8920      597.70      109.384       36.692       -7.207     0.58726
 345    117.840      119.562         368.314       -6.645        88557.7          526.5    0.3432    0.8778      595.96      122.888       30.156       -2.487     0.58554
 346    130.593      129.116         361.347       -5.901        87878.6          525.0    0.3432    0.8687      593.31      130.083       21.478        2.251     0.58255
 347    139.768      134.530         357.931       -5.588        87819.3          524.9    0.3489    0.8644      592.69      135.258       15.551        0.978     0.58227
 348    149.318      140.008         354.141       -5.237        87464.2          524.4    0.3551    0.8605      591.48      140.646       12.977        0.737     0.58042
 349    152.137      141.647         351.279       -4.846        87568.1          524.6    0.3559    0.8551      590.85      142.236       12.096        0.508     0.58092
 350    158.241      145.104         349.670       -4.687        87249.7          524.1    0.3623    0.8550      590.34      145.679       11.014        0.506     0.57930
 351    163.619      148.138         348.352       -4.535        86969.2          523.6    0.3686    0.8552      589.99      148.714       10.000        0.548     0.57787
 352    172.065      152.905         347.077       -4.443        86494.3          522.9    0.3784    0.8576      589.67      153.478        8.787        0.658     0.57541
 353    181.617      158.321         344.430       -4.219        86075.3          522.2    0.3873    0.8577      589.06      158.866        7.404        0.809     0.57319
 354    186.072      160.874         340.294       -3.720        85913.6          522.1    0.3888    0.8518      587.78      161.380        6.310        0.912     0.57231
 355    187.803      161.869         337.618       -3.317        86024.8          522.3    0.3891    0.8471      587.22      162.356        5.640        0.978     0.57292
 356    193.887      165.303         335.992       -3.116        85608.8          521.6    0.3963    0.8481      586.68      165.788        4.818        1.079     0.57078
 357    200.862      169.249         333.462       -2.822        85258.7          521.0    0.4036    0.8478      586.07      169.723        3.806        1.208     0.56894
 358    205.849      172.079         329.766       -2.376        84973.2          520.6    0.4075    0.8440      584.98      172.536        2.677        1.359     0.56740
 359    208.089      173.353         326.656       -1.926        84970.8          520.6    0.4089    0.8392      584.23      173.800        1.829        1.468     0.56742
 360    214.169      176.787         324.477       -1.648        84597.5          520.0    0.4161    0.8397      583.66      177.230        1.023        1.574     0.56548
 361    221.177      180.749         320.851       -1.249        84174.3          519.3    0.4235    0.8382      582.71      181.183       -0.134        1.725     0.56320
 362    223.958      182.329         316.591       -0.706        84015.3          519.1    0.4253    0.8320      581.45      182.752       -1.190        1.848     0.56237
 363    227.961      184.590         313.708       -0.294        83879.7          518.9    0.4299    0.8297      580.83      185.010       -2.012        1.962     0.56171
 364    235.416      188.798         309.844        0.116        83314.0          517.9    0.4389    0.8289      579.73      189.215       -3.174        2.104     0.55869
 365    239.312      191.003         305.139        0.661        83083.2          517.6    0.4429    0.8234      578.46      191.414       -4.332        2.233     0.55746
 366    244.046      193.677         300.939        1.142        82824.8          517.2    0.4485    0.8197      577.44      194.084       -5.374        2.345     0.55611
 367    248.832      196.380         296.030        1.664        82435.0          516.6    0.4544    0.8152      576.03      196.784       -6.564        2.469     0.55402
 368    253.057      198.767         291.113        2.200        82171.9          516.2    0.4598    0.8101      574.79      199.167       -7.708        2.579     0.55265
 369    257.949      201.527         285.761        2.760        81781.2          515.5    0.4665    0.8053      573.36      201.927       -8.941        2.698     0.55055
 370    261.778      203.690         279.972        3.379        81452.8          515.1    0.4721    0.7988      571.81      204.087      -10.206        2.814     0.54880
 371    265.700      205.902         274.203        3.964        81125.0          514.6    0.4783    0.7926      570.32      206.299      -11.473        2.922     0.54705
 372    270.004      208.331         267.812        4.522        80688.6          513.9    0.4855    0.7861      568.59      208.727      -12.805        3.008     0.54471
 373    273.720      210.426         261.040        5.087        80281.5          513.3    0.4925    0.7787      566.80      210.824      -14.203        3.098     0.54253
 374    277.317      212.453         253.768        5.664        79831.6          512.6    0.5001    0.7706      564.85      212.853      -15.670        3.181     0.54011
 375    280.673      214.343         245.993        6.236        79363.9          511.9    0.5081    0.7617      562.80      214.746      -17.206        3.259     0.53759
 376    284.039      216.238         237.668        6.802        78836.6          511.1    0.5172    0.7524      560.60      216.645      -18.817        3.330     0.53475
 377    287.276      218.061         228.820        7.346        78247.0          510.2    0.5270    0.7426      558.24      218.471      -20.471        3.389     0.53158
 378    290.294      219.760         219.425        7.863        77588.5          509.2    0.5378    0.7324      555.73      220.174      -22.190        3.441     0.52802
 379    292.917      221.235         209.506        8.358        76872.5          508.1    0.5494    0.7215      553.07      221.653      -23.971        3.486     0.52412
 380    295.351      222.608         199.286        8.795        76108.3          506.9    0.5618    0.7105      550.36      223.026      -25.749        3.508     0.51997
 381    297.161      223.630         188.769        9.178        75295.7          505.7    0.5747    0.6990      547.54      224.047      -27.555        3.517     0.51553
 382    298.518      224.397         178.290        9.511        74461.7          504.4    0.5879    0.6875      544.73      224.813      -29.299        3.511     0.51098
 383    299.522      224.967         167.854        9.778        73611.6          503.1    0.6014    0.6761      541.98      225.379      -31.001        3.495     0.50632
 384    299.886      225.177         157.411        9.981        72712.6          501.8    0.6150    0.6645      539.16      225.584      -32.685        3.465     0.50136
 385    300.040      225.271         147.425       10.122        71839.3          500.5    0.6285    0.6534      536.51      225.671      -34.239        3.419     0.49655
 386    300.093      225.309         137.629       10.210        70943.7          499.2    0.6422    0.6429      533.92      225.701      -35.718        3.366     0.49161
 387    299.906      225.212         127.620       10.254        69998.8          497.8    0.6567    0.6325      531.27      225.596      -37.224        3.307     0.48638
 388    299.896      225.218         117.734       10.233        68998.0          496.3    0.6719    0.6230      528.64      225.590      -38.615        3.226     0.48084
 389    299.348      224.919         107.986       10.161        67968.4          494.7    0.6868    0.6137      526.02      225.281      -39.994        3.147     0.47512
 390    298.443      224.415          98.430       10.079        66954.0          493.2    0.7017    0.6044      523.50      224.770      -41.332        3.072     0.46942
 391    296.563      223.363          89.719        9.941        65947.3          491.9    0.7146    0.5950      521.11      223.710      -42.579        2.988     0.46377
 392    293.721      221.770          81.841        9.742        65135.2          490.9    0.7253    0.5849      519.10      222.107      -43.811        2.888     0.45914
 393    289.461      219.381          75.717        9.441        64392.2          490.2    0.7319    0.5747      517.33      219.703      -44.864        2.761     0.45491
 394    282.673      215.564          70.613        9.098        63922.6          489.9    0.7344    0.5625      515.91      215.874      -46.062        2.650     0.45219
 395    276.784      212.250          65.237        8.798        63531.1          489.7    0.7382    0.5496      514.61      212.552      -47.290        2.535     0.44992
 396    272.362      209.766          60.864        8.478        63014.4          489.4    0.7421    0.5395      513.34      210.058      -48.185        2.386     0.44704
 397    266.683      206.573          57.307        8.128        62712.7          489.3    0.7435    0.5295      512.37      206.854      -49.087        2.253     0.44531
 398    261.158      203.464          53.770        7.847        62432.5          489.2    0.7451    0.5198      511.47      203.737      -50.009        2.145     0.44367
 399    256.199      200.675          50.697        7.583        62138.7          489.1    0.7466    0.5115      510.66      200.940      -50.818        2.039     0.44196
 400    251.280      197.907          48.058        7.339        61901.9          489.0    0.7474    0.5037      509.95      198.165      -51.588        1.941     0.44056
 401    246.859      195.420          45.921        7.107        61676.2          488.9    0.7477    0.4971      509.32      195.671      -52.256        1.844     0.43922
 402    242.599      193.022          44.095        6.902        61496.6          488.9    0.7477    0.4910      508.82      193.268      -52.870        1.758     0.43813
 403    238.084      190.480          42.512        6.691        61370.5          488.9    0.7470    0.4850      508.38      190.721      -53.494        1.667     0.43733
 404    233.803      188.068          41.329        6.516        61258.5          488.9    0.7458    0.4798      508.01      188.306      -54.037        1.588     0.43662
 405    230.028      185.942          40.262        6.349        61183.4          489.0    0.7448    0.4750      507.72      186.176      -54.529        1.521     0.43610
 406    226.476      183.940          39.304        6.222        61088.5          489.1    0.7439    0.4708      507.44      184.172      -54.996        1.466     0.43547
 407    223.369      182.191          38.612        6.119        61067.1          489.2    0.7427    0.4673      507.30      182.420      -55.363        1.429     0.43527
 408    220.268      180.441          37.970        6.071        60987.5          489.2    0.7415    0.4640      507.04      180.670      -55.773        1.408     0.43475
 409    218.865      179.651          37.557        6.036        61032.1          489.4    0.7412    0.4622      507.11      179.879      -55.927        1.399     0.43491
 410    215.273      177.626          37.825        5.942        60966.8          489.3    0.7380    0.4589      506.81      177.853      -56.280        1.374     0.43453
 411    213.376      176.560          38.301        5.853        61173.7          489.7    0.7354    0.4567      507.02      176.782      -56.310        1.389     0.43565
 412    210.463      174.920          38.395        5.767        61231.0          489.9    0.7328    0.4524      506.87      175.139      -56.570        1.419     0.43592
 413    209.827      174.561          35.961        5.819        61598.3          490.3    0.7365    0.4463      506.90      174.780      -56.874        1.475     0.43808
 414    208.582      173.862          38.031        5.702        61576.9          490.1    0.7323    0.4438      506.50      174.078      -56.672        1.445     0.43816
 415    189.699      163.238          47.140        4.595        62413.3          492.7    0.6998    0.4355      508.57      163.426      -57.176        1.048     0.44166
 416    167.068      150.425          58.789        3.121        63639.4          496.6    0.6594    0.4352      512.45      150.659      -58.267       -0.105     0.44662
 417    151.132      141.341          64.471        1.949        64368.5          498.1    0.6361    0.4313      513.75      141.669      -59.778       -1.364     0.45014
 418    159.598      146.164          57.031        2.283        64617.6          497.5    0.6554    0.4218      512.35      146.445      -59.110       -0.413     0.45240
 419    170.774      152.518          49.055        2.987        64088.5          495.2    0.6786    0.4143      509.51      152.750      -58.566        0.362     0.45082
 420    175.782      155.336          42.769        3.492        64147.2          494.5    0.6941    0.4079      508.29      155.575      -58.726        0.731     0.45192
 421    182.117      158.925          38.650        4.062        63705.9          493.2    0.7066    0.4069      506.87      159.148      -58.460        1.088     0.45008
 422    185.356      160.706          34.326        4.662        63512.9          492.5    0.7173    0.4044      506.01      160.976      -58.612        1.425     0.44937
 423    188.748      162.666          32.140        4.255        63135.1          491.9    0.7240    0.4038      505.29      162.889      -58.514        1.238     0.44733
 424    191.462      164.047          27.867        0.201        62837.1          491.5    0.7344    0.4025      504.75      164.420      -58.693       -0.409     0.44569
 425    193.263      165.249          24.043        4.590        62452.6          490.5    0.7432    0.3986      503.52      165.436      -58.952        1.502     0.44384
 426    195.713      166.465          20.900        8.433        62167.0          489.4    0.7516    0.3979      502.32      166.818      -59.054        3.030     0.44280
 427    198.184      167.719          18.149       10.191        61984.0          488.4    0.7592    0.3983      501.34      168.212      -59.093        3.641     0.44236
 428    199.979      168.722          15.481       10.340        61815.2          487.4    0.7663    0.3985      500.36      169.225      -59.197        3.660     0.44202
 429    200.910      169.281          13.139        9.990        61706.3          486.5    0.7721    0.3983      499.41      169.750      -59.344        3.521     0.44205
 430    201.614      169.718          11.485        9.474        61678.7          485.8    0.7764    0.3984      498.65      170.147      -59.443        3.328     0.44251
 431    201.719      169.833          10.315        8.613        61768.9          485.3    0.7791    0.3980      498.19      170.207      -59.544        3.026     0.44353
 432    201.721      169.897           9.359        7.613        61887.4          485.0    0.7813    0.3977      497.81      170.207      -59.633        2.671     0.44468
 433    201.956      170.084           8.254        6.509        62033.7          484.6    0.7840    0.3977      497.43      170.340      -59.711        2.274     0.44606
 434    202.579      170.478           7.347        5.569        62115.5          484.2    0.7865    0.3983      497.05      170.691      -59.733        1.920     0.44702
