Span station K = 6

J    %dVm      Vx(m/s)     Vtheta(m/s)   Vr(m/s)      Pstat(Pa)    Mrel      T0(K)      Vm(m/s)     Swirl(deg)  Pitch(deg)  Density
--------------------------------------------------------------------------------------------------------------------------------------------
   1    -20.479       32.800           0.000        0.092       343820.8    0.5328      709.00       32.800      -83.210        0.163     1.69080
   2    -28.462       26.056          -1.957        6.326       352313.9    0.5370      706.18       29.507      -83.901       13.835     1.73949
   3     -2.913       27.667           6.248       12.552       343174.8    0.5249      703.50       40.045      -81.560       16.504     1.70206
   4     10.291       13.774          18.923       17.042       345778.8    0.5052      700.98       45.491      -79.988       18.052     1.72371
   5     17.533        5.593          29.804       16.300       340287.2    0.4894      696.76       48.479      -78.881       18.476     1.70907
   6     12.717       -6.075          28.149       10.872       342155.7    0.4918      700.24       46.492      -79.301       17.714     1.70975
   7     10.146      -12.267          20.465        6.646       340767.3    0.5048      701.80       45.432      -79.815       16.341     1.69729
   8      6.564      -19.456          18.422        6.425       341961.6    0.5084      699.36       43.954      -80.427       17.067     1.70798
   9      0.143      -20.977          22.218        5.499       340464.9    0.4988      699.71       41.306      -80.953       16.457     1.69944
  10     -1.501      -21.807          25.363        5.304       341759.0    0.4861      715.27       40.628      -80.998       14.674     1.66920
  11     -2.247      -21.751          24.156        3.924       341092.8    0.4822      731.26       40.320      -81.077        9.592     1.63033
  12     -5.913      -22.533          19.887        1.114       342634.5    0.4877      737.01       38.808      -81.564        5.154     1.62511
  13     -6.968      -23.115          14.811        0.151       342244.8    0.4954      741.74       38.373      -81.819       -0.089     1.61337
  14     -3.996      -23.719          10.455        0.094       342818.2    0.5019      747.74       39.598      -81.739       -4.821     1.60406
  15      1.710      -24.122           6.460        1.523       342451.5    0.5085      752.86       41.952      -81.422       -5.786     1.59269
  16      9.208      -26.855          -0.032        2.956       343236.5    0.5188      761.17       45.045      -81.065       -3.278     1.58366
  17     22.160      -30.422          -6.472       -0.134       342693.9    0.5289      770.78       50.387      -80.287       -1.278     1.56955
  18     41.012      -35.390          -9.864       -9.513       343418.1    0.5320      790.96       58.163      -79.009       -5.634     1.54826
  19     78.475      -38.627          -5.621      -35.954       345413.6    0.5213      843.82       73.615      -76.264      -19.134     1.50300
  20    126.494      -38.836           4.184      -63.031       345904.9    0.5105      892.88       93.422      -72.328      -28.094     1.46268
  21    140.995      -30.318           9.907      -76.122       345730.9    0.5035      906.07       99.403      -70.703      -31.186     1.44379
  22    143.741      -19.311          10.805      -79.991       343904.4    0.5062      890.52      100.535      -70.301      -30.902     1.45196
  23    125.975       -8.738          10.346      -70.663       341525.1    0.5068      861.64       93.208      -71.555      -29.722     1.47530
  24    108.098       -5.651          11.233      -57.538       339216.8    0.5089      824.79       85.834      -72.175      -27.717     1.51795
  25     92.910       -1.376           9.419      -46.762       339095.7    0.5262      768.35       79.569      -73.278      -24.777     1.60131
  26    109.847        4.011          -2.999      -64.252       337986.7    0.5658      726.43       86.555      -73.284      -29.963     1.66059
  27    128.011        1.282          -0.749      -66.700       340305.8    0.5742      729.73       94.047      -72.479      -21.533     1.66589
  28    200.804       -8.051          20.104      -18.418       342985.0    0.5434      796.11      124.072      -65.727       -1.887     1.58799
  29    230.601      -19.742          18.438        4.292       348070.0    0.5614      800.33      136.362      -62.265       -6.248     1.61250
  30    206.512      -26.583           2.261      -37.828       348093.0    0.5988      721.98      126.426      -66.979      -19.247     1.73961
  31    203.378      -20.192          11.100      -84.060       344775.2    0.6010      675.28      125.134      -65.637      -21.802     1.82969
  32    200.890      -13.459          21.209      -80.629       350237.1    0.5906      683.52      124.108      -63.986      -16.697     1.84061
  33    133.979       -8.937          -0.515      -41.375       354114.3    0.5933      689.87       96.509      -71.742       -9.879     1.82952
  34     86.457       -6.518          -7.003      -10.806       353801.2    0.5864      673.31       76.908      -75.170       -1.481     1.85199
  35     96.354       -1.381           9.329        1.618       350087.1    0.5708      656.78       80.990      -73.920        0.876     1.88178
  36    115.884        3.945          14.249        6.451       348626.7    0.5669      656.73       89.045      -72.545        4.068     1.87829
  37     99.461       10.266           8.374        4.368       349971.5    0.5676      665.88       82.271      -73.839        2.748     1.85871
  38     54.770       16.136           7.232       -4.358       353087.1    0.5536      672.69       63.838      -77.138        1.720     1.84945
  39     29.146       21.647          12.832       -8.693       353527.7    0.5353      674.14       53.268      -78.686       -0.551     1.83959
  40     16.844       26.291          18.351      -10.222       351696.6    0.5205      676.58       48.194      -79.400       -6.392     1.81980
  41     15.897       29.969          22.725      -10.352       350218.3    0.5093      681.16       47.804      -79.344      -12.580     1.79898
  42     21.928       34.349          24.852       -8.583       348267.9    0.5051      683.59       50.291      -78.802      -12.801     1.78272
  43     28.734       39.260          31.705       -6.262       346903.4    0.4928      685.12       53.099      -77.850      -10.305     1.77272
  44     37.323       43.989          40.303       -3.393       345140.9    0.4786      685.12       56.641      -76.453       -7.102     1.76599
  45     44.261       48.237          43.369       -1.708       344085.1    0.4742      686.37       59.503      -75.575       -5.490     1.75861
  46     49.338       52.520          45.705        0.500       342835.1    0.4717      685.07       61.597      -75.120       -4.361     1.75636
  47     52.233       55.881          46.082        2.071       341997.1    0.4718      684.99       62.791      -75.122       -3.040     1.75280
  48     58.035       60.419          46.668        3.071       341506.0    0.4705      689.13       65.184      -74.870        1.069     1.73947
  49     64.794       64.342          48.289        3.473       341678.0    0.4667      695.63       67.972      -74.277        4.220     1.72353
