Span station K = 6

J    %dVm      Vx(m/s)     Vtheta(m/s)   Vr(m/s)      Pstat(Pa)    Mrel      T0(K)      Vm(m/s)     Swirl(deg)  Pitch(deg)  Density
  50     74.902       68.789          49.127        3.320       341873.4    0.4652      703.79       72.142      -73.344        3.963     1.70465
  51     86.355       73.741          52.690        5.255       341474.7    0.4605      708.65       76.865      -72.037        4.036     1.69186
  52     98.790       78.799          56.143        8.710       340754.8    0.4575      711.29       81.994      -70.557        5.036     1.68333
  53    114.264       84.467          60.113       12.164       339692.2    0.4546      715.73       88.377      -68.727        5.872     1.66973
  54    128.827       89.725          65.632       15.466       338815.2    0.4497      716.54       94.384      -66.844        7.325     1.66537
  55    143.573       95.603          71.156       16.641       337776.9    0.4436      722.85      100.466      -64.903        7.481     1.64772
  56    157.026      101.158          78.364       17.039       336723.9    0.4332      735.69      106.015      -62.843        7.086     1.61705
  57    171.675      107.060          85.475       18.929       334721.9    0.4262      739.80      112.057      -60.667        7.891     1.60157
  58    187.967      113.413          92.849       22.260       332701.0    0.4224      737.53      118.777      -58.258        9.470     1.60026
  59    208.500      121.172         102.387       28.324       330235.7    0.4201      727.82      127.247      -55.158       12.540     1.61285
  60    229.093      128.648         111.745       34.189       327112.4    0.4201      716.55      135.741      -51.937       15.062     1.62530
  61    248.143      135.861         120.486       37.617       322400.8    0.4220      708.16      143.598      -48.907       16.083     1.62437
  62    261.489      141.400         127.911       38.401       318115.3    0.4240      703.83      149.103      -46.608       16.181     1.61662
  63    270.072      145.409         136.536       37.702       313741.5    0.4233      703.22      152.643      -44.376       15.784     1.59933
  64    278.491      148.456         146.638       38.092       308632.0    0.4223      704.23      156.115      -41.645       15.876     1.57567
  65    290.202      151.904         157.038       40.673       302836.7    0.4248      704.07      160.946      -38.325       16.610     1.55264
  66    299.568      154.960         169.356       43.231       297039.6    0.4250      701.58      164.809      -34.702       17.165     1.53395
  67    307.233      157.709         182.591       45.314       291258.4    0.4247      697.50      167.971      -30.963       17.500     1.51851
  68    311.011      159.212         196.616       46.928       285281.1    0.4227      691.68      169.529      -27.160       17.710     1.50560
  69    310.611      159.594         212.316       47.113       278628.3    0.4169      688.15      169.364      -23.184       17.529     1.48422
  70    308.109      159.249         228.241       46.608       271810.7    0.4111      685.23      168.332      -19.157       17.175     1.46081
  71    305.318      158.964         244.512       45.206       264886.0    0.4066      682.64      167.181      -15.008       16.529     1.43631
  72    303.814      159.126         261.924       43.647       257608.0    0.4024      682.97      166.561      -10.490       15.768     1.40326
  73    302.397      159.299         279.363       42.414       250040.8    0.4004      683.72      165.976       -5.809       15.088     1.36732
  74    301.501      159.596         296.224       41.249       242207.5    0.4010      683.17      165.606       -1.104       14.371     1.33246
  75    301.793      160.075         312.846       40.421       234119.4    0.4035      682.41      165.727        3.794       13.818     1.29668
  76    300.830      159.942         327.146       39.577       226315.2    0.4058      681.03      165.330        8.113       13.396     1.26259
  77    295.889      158.164         336.778       38.300       220144.2    0.4034      679.73      163.292       11.197       13.022     1.23561
  78    286.399      154.591         341.737       36.498       216687.3    0.3952      679.65      159.377       13.123       12.670     1.21990
  79    275.941      150.672         345.698       34.376       214786.2    0.3864      680.44      155.064       14.885       12.174     1.21099
  80    267.862      147.728         351.919       32.129       212106.0    0.3813      681.61      151.731       17.441       11.550     1.19794
  81    263.256      146.211         359.519       30.141       208456.3    0.3812      682.50      149.832       20.378       10.995     1.18032
  82    258.674      144.650         365.868       28.411       204581.6    0.3820      682.95      147.942       22.669       10.601     1.16139
  83    254.655      143.333         370.841       26.503       201191.0    0.3838      682.65      146.284       24.223       10.120     1.14607
  84    250.515      141.937         375.133       24.639       198271.2    0.3859      681.69      144.576       25.536        9.582     1.13427
  85    247.011      140.755         378.842       22.927       195720.1    0.3882      680.65      143.131       26.672        9.061     1.12432
  86    243.563      139.558         382.123       21.373       193238.8    0.3906      679.14      141.709       27.675        8.583     1.11526
  87    240.174      138.353         385.097       19.971       191200.2    0.3930      678.62      140.311       28.530        8.167     1.10678
  88    236.663      137.039         387.521       18.800       189207.2    0.3949      678.34      138.863       29.208        7.812     1.09771
  89    233.549      135.870         389.556       17.532       187637.3    0.3968      678.32      137.578       29.703        7.358     1.09030
  90    229.517      134.349         390.969       16.015       186220.8    0.3969      678.58      135.915       30.198        6.753     1.08260
  91    226.403      133.192         391.735       14.524       185543.8    0.3960      677.98      134.631       30.696        6.135     1.08005
  92    221.685      131.346         391.983       13.140       184833.8    0.3927      676.86      132.685       31.244        5.548     1.07757
  93    218.540      130.143         391.906       11.829       185127.4    0.3890      677.61      131.387       31.931        4.986     1.07722
  94    210.485      126.910         390.542       10.549       185088.9    0.3800      677.45      128.065       32.429        4.486     1.07533
  95    206.742      125.347         390.413       10.435       186937.6    0.3719      678.96      126.522       33.966        4.650     1.08189
  96    193.195      119.760         387.326       10.287       188528.8    0.3530      678.64      120.934       34.943        4.985     1.08773
  97    165.829      108.457         377.228        9.880       191192.5    0.3247      677.37      109.646       32.093        5.917     1.09752
  98    142.123       98.858         360.882        7.471       194097.8    0.3080      676.12       99.868       23.430        5.451     1.10698
  99    127.351       92.460         350.797        2.060       197154.0    0.3000      675.64       93.775       17.902        1.314     1.11964
 100    134.616       95.045         355.621       -1.198       197398.6    0.3007      677.10       96.772       22.230       -0.494     1.12058
 101    142.001       98.163         363.416       -2.236       195743.2    0.3032      678.32       99.818       27.380       -0.935     1.11305
 102    139.895       97.507         367.883       -2.464       195493.1    0.3020      679.00       98.949       30.395       -1.118     1.11217
 103    143.508       99.199         371.030       -2.961       195319.3    0.3057      679.94      100.439       32.198       -1.256     1.11124
 104    140.203       97.924         373.794       -3.718       194676.4    0.3063      680.08       99.076       33.844       -1.716     1.10845
 105    140.764       98.316         375.571       -4.469       194704.4    0.3085      680.21       99.307       34.795       -2.201     1.10928
 106    133.367       95.367         376.160       -4.538       193944.1    0.3052      678.97       96.257       35.590       -2.517     1.10690
 107    128.377       93.430         375.035       -5.283       194672.8    0.3008      677.55       94.198       35.620       -3.170     1.11253
 108    113.842       87.600         372.871       -1.958       193198.0    0.2894      673.89       88.203       35.855       -1.287     1.10843
 109    109.277       85.961         367.530        1.174       194764.0    0.2777      673.82       86.320       34.562        0.753     1.11389
 110     95.201       78.993         357.725       13.933       192514.8    0.2563      669.49       80.514       31.742        9.763     1.10242
 111     69.953       68.911         400.744       12.858       194686.5    0.2849      682.94       70.100       59.404       10.394     1.11041
 112     64.538       65.950         396.674       16.017       194614.5    0.2729      692.31       67.867       59.340       13.279     1.09050
 113    146.222       30.429         346.445       48.779       192022.0    0.2553      679.85      101.559       32.339       27.601     1.07595
 114    114.147       27.994         330.027       38.312       193129.8    0.2172      658.03       88.329       30.587       25.611     1.11431
 115     89.765       29.658         347.603       22.540       188660.3    0.2386      668.52       78.272       42.116       19.183     1.07694
 116     85.199       17.358         349.695       10.762       187779.4    0.2456      671.37       76.389       40.124        8.639     1.06890
 117     90.231       10.984         346.927        5.655       184733.1    0.2512      664.16       78.464       38.706        6.916     1.06240
 118     82.102       11.048         343.988       -6.147       183159.8    0.2510      656.33       75.111       39.156       -6.100     1.06517
 119     85.399       18.386         339.948      -22.970       182666.5    0.2512      648.90       76.471       36.972      -19.838     1.07356
 120    105.332       25.516         334.668      -40.021       183571.5    0.2548      649.22       84.693       30.989      -23.826     1.07589
 121    135.507       34.169         321.646      -57.505       184942.3    0.2590      655.41       97.139       20.680      -25.208     1.06764
 122    159.144       37.138         311.010      -70.819       184822.3    0.2708      660.22      106.889       13.144      -26.201     1.05599
 123    173.693       49.868         309.474      -76.720       186357.3    0.2833      660.66      112.890       11.251      -26.547     1.06440
 124    157.131       58.071         301.465      -66.811       186178.1    0.2653      655.32      106.059        7.348      -25.603     1.06708
 125    156.629       63.126         297.313      -57.586       186007.0    0.2687      652.71      105.851        4.317      -21.481     1.06997
 126    192.647       59.074         316.294      -71.073       185309.9    0.3057      654.52      120.708       10.836      -20.860     1.07739
 127    205.630       57.685         338.984      -75.142       185597.4    0.3411      651.51      126.063       17.853      -20.017     1.10009
 128    177.450       54.832         348.637      -52.530       184336.3    0.3453      655.49      114.439       20.974      -15.520     1.08783
 129    208.737       45.389         334.295      -12.873       177388.8    0.3455      679.04      127.344       13.752       -3.503     1.00849
 130    206.615       42.122         336.382        3.815       177858.5    0.3526      692.84      126.469       16.979       -0.026     1.01472
 131    234.354       52.945         379.563       -1.017       191148.9    0.4183      727.23      137.911       17.933       -4.070     1.05003
 132    327.096       40.979         392.190       -3.496       192648.6    0.4967      754.99      176.164       19.723       -9.289     1.02816
 133    275.653       21.258         299.408      -18.912       179856.0    0.4695      765.09      154.945       12.092       -7.460     0.94714
 134    317.760       37.287         247.530      -81.320       181155.9    0.5386      764.54      172.313        6.659      -14.172     0.95683
 135    262.890       57.105         250.565     -100.497       184268.0    0.5034      670.38      149.681        6.361      -11.983     1.07656
 136    156.321       43.527         303.592      -56.296       180053.8    0.3753      615.48      105.724       11.549      -14.013     1.17702
 137    180.852       29.576         350.681      -29.512       172689.3    0.4519      612.68      115.843       22.867       -7.644     1.17855
 138    146.889       41.535         358.529      -27.995       178835.3    0.4080      631.54      101.834       25.205       -8.761     1.15184
 139    118.241       59.053         350.234      -25.852       185152.9    0.3539      631.88       90.017       25.580       -9.712     1.18119
 140    127.406       71.950         342.735      -23.868       185036.8    0.3371      638.63       93.798       20.676       -9.723     1.14782
 141    136.134       77.847         336.021      -20.029       185186.5    0.3295      642.77       97.398       16.876       -8.497     1.12779
 142    140.844       82.590         332.650      -17.203       186057.7    0.3261      646.28       99.341       14.583       -6.847     1.11872
 143    155.078       89.643         329.401      -17.832       186330.0    0.3354      653.04      105.212       11.519       -6.315     1.10155
 144    174.608       97.337         322.877      -19.189       185348.8    0.3496      651.39      113.267        8.153       -5.988     1.09627
 145    190.318      104.630         318.223      -19.574       183712.4    0.3605      649.07      119.747        5.782       -4.742     1.08957
 146    204.235      109.866         314.865      -22.376       184264.2    0.3643      649.23      125.487        5.448       -4.045     1.09211
 147    208.105      112.967         313.350      -22.037       186645.5    0.3666      645.18      127.084        5.424       -3.756     1.11435
 148    210.842      115.595         308.882      -19.711       188169.8    0.3716      641.13      128.212        4.418       -3.534     1.12914
 149    212.306      117.159         302.289      -16.308       188466.8    0.3740      637.64      128.816        3.125       -3.021     1.13361
 150    204.599      116.525         302.541      -11.939       188991.4    0.3685      638.43      125.637        2.744       -1.742     1.13458
 151    192.715      113.441         300.865       -9.602       188671.2    0.3597      641.57      120.736        1.322       -0.774     1.12486
 152    177.399      106.526         296.564      -14.473       187966.2    0.3442      639.24      114.418        0.215       -3.453     1.11990
 153    161.704       97.945         292.512      -20.431       187189.4    0.3258      634.51      107.944       -0.061       -5.065     1.11990
 154    167.563       91.113         290.170      -26.076       185959.2    0.3197      636.16      110.361       -2.403       -7.098     1.10747
 155    206.528       87.025         289.654      -32.152       184605.0    0.3341      641.41      126.433       -3.895       -6.341     1.09136
 156    251.561       82.996         271.634      -27.946       181777.9    0.3537      642.59      145.008       -8.186       -3.119     1.06719
 157    293.303       78.258         253.352      -18.677       177120.2    0.3837      637.52      162.225      -14.956       -1.500     1.04458
 158    303.148       75.812         248.744       -6.019       177113.5    0.4032      630.64      166.286      -15.915        0.253     1.05604
 159    292.437       80.646         241.967        6.193       181114.5    0.3928      627.67      161.868      -17.787        3.024     1.07942
 160    286.292       87.821         233.168       17.003       182300.0    0.3895      622.95      159.333      -20.681        6.230     1.08995
 161    268.515       92.704         220.408       26.104       183973.0    0.3820      621.51      152.001      -25.276        9.135     1.09618
 162    232.311       92.950         210.728       27.940       187031.2    0.3600      624.19      137.068      -30.193       10.017     1.10055
 163    190.733       91.694         201.291       25.822       189917.7    0.3390      624.42      119.918      -35.219        9.443     1.10798
 164    150.008       87.087         193.508       23.077       190495.3    0.3217      620.23      103.121      -40.203        8.680     1.11245
 165    123.422       81.097         193.112       21.991       189269.6    0.3071      614.75       92.155      -43.154        9.163     1.11315
 166    112.628       78.403         189.802       23.250       189540.9    0.3092      614.52       87.702      -44.976        8.891     1.11434
 167    119.576       81.986         181.190       20.631       187640.6    0.3290      613.63       90.568      -44.849        3.114     1.10424
 168    141.297       90.059         169.119       12.405       186091.1    0.3574      612.46       99.527      -44.925       -1.768     1.09559
 169    159.638       95.676         156.102        4.103       186142.3    0.3835      615.93      107.093      -45.695       -5.354     1.08781
 170    176.483      101.802         145.271       -0.584       185058.9    0.4054      621.35      114.040      -46.099       -7.209     1.07104
 171    191.714      109.217         135.868       -1.023       183678.4    0.4246      625.50      120.323      -46.632       -7.377     1.05526
 172    204.964      116.362         126.289       -0.692       182541.2    0.4441      627.35      125.788      -47.392       -7.237     1.04495
 173    220.157      124.129         115.866       -0.565       181058.6    0.4673      627.46      132.055      -47.968       -6.730     1.03580
 174    237.461      131.917         104.798       -0.779       179183.8    0.4935      626.99      139.192      -48.368       -6.154     1.02549
 175    256.124      139.671          93.183       -1.531       176475.1    0.5227      624.03      146.890      -48.800       -5.786     1.01442
 176    272.739      146.577          80.008       -1.846       173569.1    0.5542      618.48      153.743      -49.556       -5.119     1.00583
 177    284.786      151.856          66.188       -1.472       170554.1    0.5844      613.74      158.712      -50.545       -4.259     0.99496
 178    295.842      156.723          51.833       -0.339       167478.2    0.6156      609.47      163.272      -51.693       -3.442     0.98296
 179    304.897      160.776          36.079        1.554       164239.0    0.6487      605.49      167.007      -53.037       -2.534     0.96928
 180    310.236      163.130          21.019        2.827       160288.0    0.6792      602.06      169.209      -54.339       -1.931     0.95021
 181    313.442      164.441           6.775        3.568       156061.8    0.7076      598.88      170.532      -55.599       -1.477     0.92921
 182    311.527      163.577          -5.980        4.529       152651.6    0.7303      596.60      169.742      -56.987       -0.872     0.91151
 183    303.684      160.159         -14.392        5.385       150160.8    0.7421      594.15      166.507      -58.277       -0.241     0.89969
 184    293.216      155.595         -21.339        6.223       148619.8    0.7500      591.63      162.189      -59.551        0.572     0.89384
 185    281.773      150.450         -28.535        7.676       147580.8    0.7577      590.03      157.469      -60.896        1.658     0.88968
 186    272.584      146.148         -34.875        9.009       146317.7    0.7649      589.00      153.679      -62.063        2.603     0.88342
 187    265.436      142.839         -40.760        9.625       144721.1    0.7725      588.30      150.731      -63.054        3.334     0.87475
 188    257.755      139.342         -46.576        9.917       143264.7    0.7797      588.13      147.563      -64.078        4.008     0.86602
 189    250.624      136.187         -52.992        9.957       141903.5    0.7886      587.96      144.621      -65.125        4.618     0.85810
 190    247.689      134.813         -58.754        9.940       140122.5    0.7983      588.04      143.411      -65.845        5.141     0.84776
 191    245.705      133.930         -63.238        9.797       138225.3    0.8057      588.52      142.592      -66.414        5.420     0.83611
 192    243.078      133.125         -67.714        9.539       136669.5    0.8134      588.56      141.509      -67.009        5.449     0.82715
 193    242.694      133.099         -70.769        9.320       135061.1    0.8191      589.03      141.351      -67.377        5.116     0.81736
 194    242.103      132.832         -72.347        8.819       133764.4    0.8214      589.77      141.107      -67.655        4.365     0.80880
 195    241.512      132.687         -74.051        8.064       132802.3    0.8248      589.41      140.863      -67.899        3.786     0.80381
 196    240.505      132.430         -75.239        7.496       131997.9    0.8271      588.65      140.448      -68.100        3.372     0.80024
 197    240.972      132.827         -75.656        6.829       131951.3    0.8282      588.47      140.640      -68.110        2.914     0.80031
 198    238.625      132.165         -75.441        6.756       131623.8    0.8270      587.52      139.672      -68.274        2.836     0.79947
 199    239.655      132.891         -74.097        6.442       132090.2    0.8245      587.63      140.097      -68.108        2.517     0.80195
 200    236.800      131.873         -72.407        6.281       132069.3    0.8197      587.22      138.919      -68.168        2.383     0.80203
 201    237.330      132.482         -74.573        5.633       132693.0    0.8235      587.11      139.138      -68.345        1.954     0.80557
 202    241.072      134.287         -71.784        6.254       132018.3    0.8220      584.57      140.681      -67.770        1.810     0.80471
 203    224.187      126.608         -69.183       11.192       133797.8    0.8105      582.49      133.717      -68.255        3.595     0.81657
 204    196.916      113.970         -64.527       14.459       137601.6    0.7885      583.89      122.468      -69.552        6.181     0.83514
 205    168.480      103.210         -59.846       12.004       140950.3    0.7663      586.32      110.740      -71.512        7.519     0.84937
 206    177.646      109.476         -64.318        6.716       140502.3    0.7777      585.99      114.520      -71.277        4.537     0.84776
 207    209.004      123.844         -70.460        3.468       136026.5    0.8023      582.54      127.454      -69.753        2.058     0.82852
 208    233.526      134.681         -75.144        1.797       134842.3    0.8209      582.15      137.569      -68.688        0.447     0.82394
 209    257.688      144.381         -78.058       -0.071       133647.6    0.8361      581.29      147.535      -67.565       -1.067     0.81984
 210    270.102      149.208         -81.703       -1.572       132529.6    0.8474      580.11      152.655      -67.127       -1.645     0.81557
 211    281.069      153.872         -84.488       -2.485       131224.4    0.8571      578.37      157.179      -66.697       -1.778     0.81087
 212    287.085      156.956         -86.987       -2.971       130424.5    0.8643      576.61      159.660      -66.535       -1.705     0.80898
 213    282.107      155.701         -90.045       -4.799       129880.0    0.8688      574.68      157.607      -66.959       -2.001     0.80804
 214    274.195      152.886         -90.021       -8.025       129709.6    0.8663      573.29      154.343      -67.358       -2.959     0.80820
 215    273.366      152.473         -86.105      -11.898       129605.4    0.8584      572.42      154.002      -67.159       -4.327     0.80835
 216    288.495      158.318         -79.392      -16.712       130595.2    0.8516      571.56      160.242      -65.893       -5.948     0.81644
 217    315.546      168.461         -78.694      -31.603       129557.3    0.8544      578.40      171.400      -64.388      -10.447     0.80192
 218    317.426      169.436         -83.789      -30.588       130029.0    0.8641      580.06      172.175      -64.602      -10.074     0.80316
 219    313.526      168.138         -89.207      -28.655       130483.2    0.8723      580.98      170.567      -65.118       -9.538     0.80493
 220    317.239      169.709         -91.485      -28.540       129537.4    0.8789      580.02      172.098      -65.045       -9.424     0.80108
 221    313.693      168.144         -92.444      -29.008       130031.2    0.8791      579.86      170.635      -65.274       -9.659     0.80418
 222    309.675      166.480         -93.837      -28.903       129656.8    0.8808      578.88      168.978      -65.555       -9.717     0.80313
 223    306.404      165.307         -95.818      -27.781       130030.4    0.8835      578.70      167.629      -65.825       -9.413     0.80572
 224    298.370      162.274         -97.873      -25.766       129992.9    0.8853      577.79      164.315      -66.349       -8.889     0.80649
 225    288.340      158.437         -99.379      -23.305       130355.0    0.8851      577.31      160.178      -66.945       -8.171     0.80891
 226    276.934      153.821        -101.456      -22.275       130297.2    0.8861      576.62      155.473      -67.660       -8.046     0.80912
 227    264.674      148.933        -103.837      -20.455       130691.0    0.8874      576.62      150.416      -68.420       -7.449     0.81119
 228    255.829      145.383        -107.869      -19.458       130542.5    0.8953      574.64      146.768      -69.047       -7.214     0.81345
 229    250.457      143.351        -109.505      -17.117       129861.0    0.8988      573.58      144.553      -69.385       -6.136     0.81079
 230    254.166      144.979        -112.942      -16.105       129511.0    0.9079      573.11      146.082      -69.326       -5.724     0.81029
 231    257.639      146.457        -117.181      -13.840       128600.1    0.9196      572.56      147.515      -69.313       -4.542     0.80661
 232    265.725      149.781        -120.044      -12.496       129037.2    0.9283      572.92      150.850      -69.063       -3.937     0.81024
 233    250.461      143.398        -121.667      -15.063       127289.7    0.9298      571.93      144.554      -69.892       -5.067     0.80054
 234    249.400      142.401        -131.701      -18.430       128066.5    0.9537      570.83      144.116      -70.247       -7.561     0.80949
 235    231.919      133.985        -131.161      -23.043       125238.6    0.9570      566.10      136.906      -71.010      -12.550     0.79831
 236    257.304      134.779        -137.399      -38.327       125330.4    0.9654      576.90      147.376      -69.894      -18.156     0.78653
 237    299.094      124.008        -164.524      -32.537       121689.6    0.9978      630.25      164.614      -68.075      -10.563     0.72839
 238    362.909      120.519        -139.135      -39.110       115766.6       inf      581.08      190.935      -65.141       -9.947     0.72806
 239    381.616      113.305        -111.220      -36.916       127956.9    1.0014      576.84      198.651      -60.846      -11.056     0.83198
 240    400.676      124.338         -55.352       17.147       139981.6    0.9083      582.09      206.513      -56.452       -4.802     0.90267
 241    382.546      133.850         -43.315       17.757       131319.2    0.8914      553.09      199.035      -56.752       -2.772     0.90328
 242    451.090       84.126        -149.879      -46.846       109082.5    1.2053      548.21      227.307      -61.811      -12.111     0.76841
 243    505.255       66.088        -212.039      -61.929       107085.9       inf      616.57      249.649      -62.841      -15.028     0.67368
 244    434.999      106.437        -181.208      -22.288       118040.9    1.0020      791.33      220.670      -63.171      -12.416     0.65112
 245    374.242      139.175        -163.608      -38.602       122224.6    0.9482      751.67      195.610      -65.207      -13.494     0.66875
 246    357.759      159.515        -108.113      -32.850       124340.1    0.8943      658.08      188.811      -63.640       -9.291     0.70758
 247    375.248      173.488         -90.423      -21.614       123139.0    0.8851      646.65      196.025      -61.747       -6.898     0.71085
 248    380.116      178.677         -85.945      -15.489       123274.0    0.8854      635.43      198.032      -61.368       -5.549     0.71984
 249    373.290      179.384         -85.883      -12.952       124076.9    0.8859      618.92      195.217      -61.558       -4.905     0.73489
 250    372.091      181.731         -84.890      -12.691       123918.6    0.8875      605.60      194.723      -61.613       -3.970     0.74551
 251    367.420      182.613         -82.664      -13.911       124112.4    0.8838      596.06      192.796      -61.726       -4.062     0.75551
 252    368.350      185.309         -81.110      -14.876       124239.7    0.8856      587.25      193.180      -61.639       -3.944     0.76637
 253    369.456      187.681         -78.341      -17.178       124304.8    0.8810      583.10      193.636      -61.469       -4.229     0.77120
 254    370.236      189.401         -73.908      -18.861       124449.8    0.8743      579.93      193.957      -61.120       -4.471     0.77578
 255    375.449      192.593         -70.007      -19.931       124253.5    0.8711      576.23      196.107      -60.576       -4.881     0.77983
 256    378.571      194.489         -64.478      -21.596       124086.6    0.8616      574.72      197.395      -60.090       -5.309     0.78048
 257    378.303      194.718         -58.856      -23.433       124193.2    0.8505      574.11      197.285      -59.734       -5.971     0.78181
 258    382.503      196.663         -53.116      -25.087       123621.5    0.8415      572.85      199.017      -59.176       -6.415     0.78064
 259    384.410      197.472         -48.045      -26.645       123606.2    0.8333      572.36      199.804      -58.833       -6.871     0.78136
 260    390.433      199.876         -42.288      -28.133       123005.6    0.8259      572.10      202.288      -58.196       -7.357     0.77849
 261    389.525      199.189         -35.915      -30.002       122812.7    0.8140      572.01      201.913      -57.843       -8.102     0.77723
 262    390.168      199.178         -32.432      -31.730       122687.1    0.8082      572.12      202.179      -57.569       -8.681     0.77601
 263    393.633      200.542         -28.014      -32.501       122375.1    0.8030      571.30      203.608      -57.135       -8.871     0.77550
